date,epiweek,year,cases,geography
2/1/20,4,2020,2,California
2/8/20,5,2020,4,California
2/15/20,6,2020,0,California
2/22/20,7,2020,1,California
2/29/20,8,2020,2,California
3/7/20,9,2020,24,California
3/14/20,10,2020,79,California
3/21/20,11,2020,366,California
3/28/20,12,2020,1373,California
4/4/20,13,2020,4470,California
4/11/20,14,2020,8881,California
4/18/20,15,2020,8121,California
4/25/20,16,2020,8221,California
5/2/20,17,2020,12147,California
5/9/20,18,2020,11381,California
5/16/20,19,2020,12979,California
5/23/20,20,2020,12315,California
5/30/20,21,2020,14377,California
6/6/20,22,2020,18371,California
6/13/20,23,2020,18883,California
6/20/20,24,2020,20956,California
6/27/20,25,2020,25854,California
7/4/20,26,2020,38148,California
7/11/20,27,2020,54632,California
7/18/20,28,2020,56089,California
7/25/20,29,2020,63784,California
8/1/20,30,2020,67878,California
8/8/20,31,2020,56599,California
8/15/20,32,2020,47307,California
8/22/20,33,2020,65264,California
8/29/20,34,2020,41436,California
9/5/20,35,2020,36645,California
9/12/20,36,2020,33644,California
9/19/20,37,2020,23157,California
9/26/20,38,2020,24688,California
10/3/20,39,2020,23621,California
10/10/20,40,2020,22937,California
10/17/20,41,2020,22441,California
10/24/20,42,2020,21318,California
10/31/20,43,2020,30950,California
11/7/20,44,2020,29552,California
11/14/20,45,2020,39964,California
11/21/20,46,2020,57147,California
11/28/20,47,2020,82665,California
12/5/20,48,2020,100838,California
12/12/20,49,2020,152474,California
12/19/20,50,2020,218741,California
12/26/20,51,2020,299188,California
1/2/21,52,2020,277389,California
1/9/21,53,2020,140557,California
1/9/21,1,2021,295942,California
1/16/21,2,2021,277108,California
1/23/21,3,2021,179070,California
1/30/21,4,2021,138028,California
2/6/21,5,2021,93499,California
2/13/21,6,2021,67970,California
2/20/21,7,2021,46524,California
2/27/21,8,2021,37521,California
3/6/21,9,2021,30250,California
3/13/21,10,2021,23637,California
3/20/21,11,2021,19313,California
3/27/21,12,2021,18324,California
4/3/21,13,2021,18866,California
4/10/21,14,2021,20827,California
4/17/21,15,2021,17572,California
4/24/21,16,2021,13533,California
5/1/21,17,2021,13239,California
5/8/21,18,2021,13164,California
5/15/21,19,2021,10749,California
5/22/21,20,2021,8354,California
5/29/21,21,2021,12090,California
6/5/21,22,2021,6463,California
6/12/21,23,2021,6431,California
6/19/21,24,2021,6343,California
6/26/21,25,2021,7312,California
7/3/21,26,2021,52353,California
7/10/21,27,2021,39030,California
7/17/21,28,2021,26500,California
7/24/21,29,2021,46146,California
7/31/21,30,2021,60737,California
8/7/21,31,2021,93564,California
8/14/21,32,2021,85241,California
8/21/21,33,2021,108692,California
8/28/21,34,2021,93938,California
9/4/21,35,2021,96330,California
9/11/21,36,2021,64716,California
9/18/21,37,2021,71238,California
9/25/21,38,2021,42877,California
10/2/21,39,2021,52091,California
10/9/21,40,2021,42509,California
10/16/21,41,2021,38303,California
10/23/21,42,2021,38823,California
10/30/21,43,2021,48550,California
11/6/21,44,2021,44099,California
11/13/21,45,2021,45178,California
11/20/21,46,2021,33074,California
11/27/21,47,2021,23277,California
12/4/21,48,2021,48158,California
12/11/21,49,2021,47295,California
12/18/21,50,2021,50083,California
12/25/21,51,2021,103552,California
1/1/22,52,2021,203214,California
1/8/22,53,2021,126056,California
1/8/22,1,2022,522960,California
1/15/22,2,2022,836226,California
1/22/22,3,2022,768913,California
1/29/22,4,2022,599113,California
2/5/22,5,2022,333825,California
2/12/22,6,2022,179420,California
2/19/22,7,2022,90821,California
2/26/22,8,2022,67392,California
3/5/22,9,2022,44108,California
3/12/22,10,2022,32200,California
3/19/22,11,2022,28938,California
3/26/22,12,2022,24377,California
4/2/22,13,2022,19586,California
4/9/22,14,2022,23817,California
4/16/22,15,2022,26429,California
4/23/22,16,2022,33309,California
4/30/22,17,2022,44179,California
5/7/22,18,2022,53773,California
5/14/22,19,2022,61544,California
5/21/22,20,2022,98154,California
5/28/22,21,2022,107940,California
6/4/22,22,2022,103813,California
6/11/22,23,2022,128701,California
6/18/22,24,2022,104533,California
6/25/22,25,2022,130716,California
7/2/22,26,2022,131533,California
7/9/22,27,2022,123255,California
7/16/22,28,2022,155643,California
7/23/22,29,2022,143229,California
7/30/22,30,2022,121283,California
8/6/22,31,2022,107520,California
8/13/22,32,2022,90975,California
8/20/22,33,2022,81078,California
8/27/22,34,2022,74818,California
9/3/22,35,2022,62928,California
9/10/22,36,2022,46386,California
9/17/22,37,2022,32689,California
9/24/22,38,2022,34064,California
10/1/22,39,2022,33316,California
10/8/22,40,2022,27062,California
10/15/22,41,2022,26731,California
10/22/22,42,2022,21226,California
10/29/22,43,2022,23551,California
11/5/22,44,2022,23080,California
11/12/22,45,2022,25973,California
11/19/22,46,2022,37277,California
11/26/22,47,2022,41243,California
12/3/22,48,2022,50846,California
12/10/22,49,2022,79434,California
12/17/22,50,2022,68199,California
12/24/22,51,2022,84136,California
12/31/22,52,2022,98591,California
1/7/23,1,2023,55162,California
1/14/23,2,2023,45047,California
1/21/23,3,2023,28928,California
1/28/23,4,2023,24652,California
2/4/23,5,2023,25759,California
2/11/23,6,2023,26250,California
2/18/23,7,2023,27165,California
2/25/23,8,2023,25639,California
3/4/23,9,2023,24889,California
3/11/23,10,2023,23051,California
3/18/23,11,2023,20018,California
3/25/23,12,2023,16075,California
12/30/23,52,2023,57,California
