date,epiweek,year,cases,geography
3/14/20,10,2020,1,Connecticut
3/21/20,11,2020,25,Connecticut
3/28/20,12,2020,301,Connecticut
4/4/20,13,2020,1666,Connecticut
4/11/20,14,2020,3682,Connecticut
4/18/20,15,2020,6360,Connecticut
4/25/20,16,2020,5927,Connecticut
5/2/20,17,2020,7307,Connecticut
5/9/20,18,2020,4018,Connecticut
5/16/20,19,2020,4267,Connecticut
5/23/20,20,2020,3865,Connecticut
5/30/20,21,2020,3049,Connecticut
6/6/20,22,2020,1733,Connecticut
6/13/20,23,2020,1767,Connecticut
6/20/20,24,2020,1120,Connecticut
6/27/20,25,2020,667,Connecticut
7/4/20,26,2020,548,Connecticut
7/11/20,27,2020,414,Connecticut
7/18/20,28,2020,570,Connecticut
7/25/20,29,2020,606,Connecticut
8/1/20,30,2020,883,Connecticut
8/8/20,31,2020,1034,Connecticut
8/15/20,32,2020,510,Connecticut
8/22/20,33,2020,577,Connecticut
8/29/20,34,2020,622,Connecticut
9/5/20,35,2020,976,Connecticut
9/12/20,36,2020,870,Connecticut
9/19/20,37,2020,961,Connecticut
9/26/20,38,2020,1201,Connecticut
10/3/20,39,2020,1060,Connecticut
10/10/20,40,2020,1710,Connecticut
10/17/20,41,2020,1741,Connecticut
10/24/20,42,2020,2792,Connecticut
10/31/20,43,2020,3222,Connecticut
11/7/20,44,2020,5155,Connecticut
11/14/20,45,2020,6918,Connecticut
11/21/20,46,2020,10520,Connecticut
11/28/20,47,2020,12824,Connecticut
12/5/20,48,2020,11112,Connecticut
12/12/20,49,2020,15134,Connecticut
12/19/20,50,2020,19046,Connecticut
12/26/20,51,2020,16021,Connecticut
1/2/21,52,2020,9961,Connecticut
1/9/21,53,2020,12965,Connecticut
1/9/21,1,2021,15874,Connecticut
1/16/21,2,2021,17428,Connecticut
1/23/21,3,2021,14393,Connecticut
1/30/21,4,2021,12208,Connecticut
2/6/21,5,2021,9349,Connecticut
2/13/21,6,2021,7965,Connecticut
2/20/21,7,2021,5764,Connecticut
2/27/21,8,2021,6845,Connecticut
3/6/21,9,2021,5384,Connecticut
3/13/21,10,2021,5247,Connecticut
3/20/21,11,2021,6114,Connecticut
3/27/21,12,2021,8519,Connecticut
4/3/21,13,2021,8746,Connecticut
4/10/21,14,2021,7630,Connecticut
4/17/21,15,2021,7476,Connecticut
4/24/21,16,2021,5704,Connecticut
5/1/21,17,2021,4467,Connecticut
5/8/21,18,2021,3485,Connecticut
5/15/21,19,2021,2259,Connecticut
5/22/21,20,2021,1348,Connecticut
5/29/21,21,2021,1016,Connecticut
6/5/21,22,2021,550,Connecticut
6/12/21,23,2021,459,Connecticut
6/19/21,24,2021,315,Connecticut
6/26/21,25,2021,455,Connecticut
7/3/21,26,2021,356,Connecticut
7/10/21,27,2021,493,Connecticut
7/17/21,28,2021,706,Connecticut
7/24/21,29,2021,1362,Connecticut
7/31/21,30,2021,2298,Connecticut
8/7/21,31,2021,3741,Connecticut
