date,epiweek,year,cases,geography
3/7/20,9,2020,2,Florida
3/14/20,10,2020,11,Florida
3/21/20,11,2020,96,Florida
3/28/20,12,2020,891,Florida
4/4/20,13,2020,3943,Florida
4/11/20,14,2020,7399,Florida
4/18/20,15,2020,7513,Florida
4/25/20,16,2020,6451,Florida
5/2/20,17,2020,5214,Florida
5/9/20,18,2020,4550,Florida
5/16/20,19,2020,4518,Florida
5/23/20,20,2020,4992,Florida
5/30/20,21,2020,5279,Florida
6/6/20,22,2020,5296,Florida
6/13/20,23,2020,7775,Florida
6/20/20,24,2020,11630,Florida
6/27/20,25,2020,21723,Florida
7/4/20,26,2020,43784,Florida
7/11/20,27,2020,59036,Florida
7/18/20,28,2020,69700,Florida
7/25/20,29,2020,80236,Florida
8/1/20,30,2020,73808,Florida
8/8/20,31,2020,63277,Florida
8/15/20,32,2020,45674,Florida
8/22/20,33,2020,40610,Florida
8/29/20,34,2020,27155,Florida
9/5/20,35,2020,21015,Florida
9/12/20,36,2020,24845,Florida
9/19/20,37,2020,17563,Florida
9/26/20,38,2020,19760,Florida
10/3/20,39,2020,16810,Florida
10/10/20,40,2020,15895,Florida
10/17/20,41,2020,18032,Florida
10/24/20,42,2020,20529,Florida
10/31/20,43,2020,23616,Florida
11/7/20,44,2020,28776,Florida
11/14/20,45,2020,36485,Florida
11/21/20,46,2020,41304,Florida
11/28/20,47,2020,53213,Florida
12/5/20,48,2020,54246,Florida
12/12/20,49,2020,65414,Florida
12/19/20,50,2020,67857,Florida
12/26/20,51,2020,75635,Florida
1/2/21,52,2020,70413,Florida
1/9/21,53,2020,51336,Florida
1/9/21,1,2021,111574,Florida
1/16/21,2,2021,94269,Florida
1/23/21,3,2021,78170,Florida
1/30/21,4,2021,71928,Florida
2/6/21,5,2021,56606,Florida
2/13/21,6,2021,49390,Florida
2/20/21,7,2021,41399,Florida
2/27/21,8,2021,40449,Florida
3/6/21,9,2021,35774,Florida
3/13/21,10,2021,31813,Florida
3/20/21,11,2021,31541,Florida
3/27/21,12,2021,35656,Florida
4/3/21,13,2021,37821,Florida
4/10/21,14,2021,42407,Florida
4/17/21,15,2021,44668,Florida
4/24/21,16,2021,39683,Florida
5/1/21,17,2021,34194,Florida
5/8/21,18,2021,27028,Florida
5/15/21,19,2021,22198,Florida
5/22/21,20,2021,18331,Florida
5/29/21,21,2021,10483,Florida
6/5/21,22,2021,-31478,Florida
6/12/21,23,2021,13352,Florida
6/19/21,24,2021,8197,Florida
6/26/21,25,2021,11048,Florida
7/3/21,26,2021,15684,Florida
7/10/21,27,2021,23747,Florida
7/17/21,28,2021,45449,Florida
7/24/21,29,2021,73166,Florida
7/31/21,30,2021,110724,Florida
8/7/21,31,2021,134751,Florida
8/14/21,32,2021,151943,Florida
8/21/21,33,2021,163197,Florida
8/28/21,34,2021,160092,Florida
9/4/21,35,2021,108234,Florida
9/11/21,36,2021,109244,Florida
9/18/21,37,2021,76794,Florida
9/25/21,38,2021,51338,Florida
10/2/21,39,2021,34735,Florida
10/9/21,40,2021,23819,Florida
10/16/21,41,2021,18200,Florida
10/23/21,42,2021,12080,Florida
10/30/21,43,2021,13817,Florida
11/6/21,44,2021,10312,Florida
11/13/21,45,2021,10234,Florida
11/20/21,46,2021,10059,Florida
11/27/21,47,2021,5451,Florida
12/4/21,48,2021,14625,Florida
12/11/21,49,2021,13590,Florida
12/18/21,50,2021,34934,Florida
12/25/21,51,2021,116065,Florida
1/1/22,52,2021,302179,Florida
1/8/22,53,2021,42121,Florida
1/8/22,1,2022,466685,Florida
1/15/22,2,2022,408841,Florida
1/22/22,3,2022,261900,Florida
1/29/22,4,2022,197781,Florida
2/5/22,5,2022,128003,Florida
2/12/22,6,2022,112169,Florida
2/19/22,7,2022,38911,Florida
2/26/22,8,2022,22655,Florida
3/5/22,9,2022,12938,Florida
3/12/22,10,2022,8453,Florida
3/19/22,11,2022,9330,Florida
3/26/22,12,2022,7411,Florida
4/2/22,13,2022,11706,Florida
4/9/22,14,2022,11691,Florida
4/16/22,15,2022,13538,Florida
4/23/22,16,2022,20784,Florida
4/30/22,17,2022,26480,Florida
5/7/22,18,2022,38457,Florida
5/14/22,19,2022,33873,Florida
5/21/22,20,2022,69608,Florida
5/28/22,21,2022,57509,Florida
6/4/22,22,2022,82932,Florida
6/11/22,23,2022,73967,Florida
6/18/22,24,2022,63649,Florida
6/25/22,25,2022,84919,Florida
7/2/22,26,2022,63395,Florida
7/9/22,27,2022,67856,Florida
7/16/22,28,2022,78213,Florida
7/23/22,29,2022,76066,Florida
7/30/22,30,2022,73386,Florida
8/6/22,31,2022,65736,Florida
8/13/22,32,2022,54182,Florida
8/20/22,33,2022,45418,Florida
8/27/22,34,2022,43727,Florida
9/3/22,35,2022,38870,Florida
9/10/22,36,2022,28803,Florida
9/17/22,37,2022,22946,Florida
9/24/22,38,2022,17473,Florida
10/1/22,39,2022,11845,Florida
10/8/22,40,2022,10747,Florida
10/15/22,41,2022,9904,Florida
10/22/22,42,2022,10151,Florida
10/29/22,43,2022,0,Florida
11/5/22,44,2022,23157,Florida
11/12/22,45,2022,0,Florida
11/19/22,46,2022,23486,Florida
11/26/22,47,2022,0,Florida
12/3/22,48,2022,30932,Florida
12/10/22,49,2022,0,Florida
12/17/22,50,2022,42553,Florida
12/24/22,51,2022,0,Florida
12/31/22,52,2022,0,Florida
1/7/23,1,2023,80749,Florida
1/14/23,2,2023,0,Florida
1/21/23,3,2023,50242,Florida
1/28/23,4,2023,0,Florida
2/4/23,5,2023,39903,Florida
2/11/23,6,2023,0,Florida
2/18/23,7,2023,33049,Florida
2/25/23,8,2023,0,Florida
3/4/23,9,2023,57684,Florida
3/11/23,10,2023,0,Florida
3/18/23,11,2023,11814,Florida
3/25/23,12,2023,0,Florida
12/30/23,52,2023,0,Florida
