date,epiweek,year,cases,geography
3/21/20,11,2020,5,Idaho
3/28/20,12,2020,42,Idaho
4/4/20,13,2020,263,Idaho
4/11/20,14,2020,790,Idaho
4/18/20,15,2020,357,Idaho
4/25/20,16,2020,215,Idaho
5/2/20,17,2020,225,Idaho
5/9/20,18,2020,162,Idaho
5/16/20,19,2020,173,Idaho
5/23/20,20,2020,189,Idaho
5/30/20,21,2020,229,Idaho
6/6/20,22,2020,205,Idaho
6/13/20,23,2020,298,Idaho
6/20/20,24,2020,260,Idaho
6/27/20,25,2020,612,Idaho
7/4/20,26,2020,1518,Idaho
7/11/20,27,2020,2256,Idaho
7/18/20,28,2020,3172,Idaho
7/25/20,29,2020,3989,Idaho
8/1/20,30,2020,3302,Idaho
8/8/20,31,2020,3203,Idaho
8/15/20,32,2020,3332,Idaho
8/22/20,33,2020,2997,Idaho
8/29/20,34,2020,2179,Idaho
9/5/20,35,2020,2061,Idaho
9/12/20,36,2020,2019,Idaho
9/19/20,37,2020,1640,Idaho
9/26/20,38,2020,2075,Idaho
10/3/20,39,2020,2733,Idaho
10/10/20,40,2020,3463,Idaho
10/17/20,41,2020,4191,Idaho
10/24/20,42,2020,4937,Idaho
10/31/20,43,2020,6252,Idaho
11/7/20,44,2020,5928,Idaho
11/14/20,45,2020,7940,Idaho
11/21/20,46,2020,9333,Idaho
11/28/20,47,2020,9390,Idaho
12/5/20,48,2020,8823,Idaho
12/12/20,49,2020,9795,Idaho
12/19/20,50,2020,10690,Idaho
12/26/20,51,2020,8796,Idaho
1/2/21,52,2020,6242,Idaho
1/9/21,53,2020,5107,Idaho
1/9/21,1,2021,7174,Idaho
1/16/21,2,2021,5875,Idaho
1/23/21,3,2021,3964,Idaho
1/30/21,4,2021,3181,Idaho
2/6/21,5,2021,2497,Idaho
2/13/21,6,2021,2307,Idaho
2/20/21,7,2021,1663,Idaho
2/27/21,8,2021,1980,Idaho
3/6/21,9,2021,1802,Idaho
3/13/21,10,2021,2294,Idaho
3/20/21,11,2021,2196,Idaho
3/27/21,12,2021,2010,Idaho
4/3/21,13,2021,1798,Idaho
4/10/21,14,2021,1949,Idaho
4/17/21,15,2021,1629,Idaho
4/24/21,16,2021,1413,Idaho
5/1/21,17,2021,1428,Idaho
5/8/21,18,2021,1129,Idaho
5/15/21,19,2021,1125,Idaho
5/22/21,20,2021,1157,Idaho
5/29/21,21,2021,945,Idaho
6/5/21,22,2021,786,Idaho
6/12/21,23,2021,723,Idaho
6/19/21,24,2021,491,Idaho
6/26/21,25,2021,684,Idaho
7/3/21,26,2021,481,Idaho
7/10/21,27,2021,661,Idaho
7/17/21,28,2021,1025,Idaho
7/24/21,29,2021,1371,Idaho
7/31/21,30,2021,2258,Idaho
8/7/21,31,2021,3606,Idaho
