date,epiweek,year,cases,geography
2/1/20,4,2020,1,Illinois
2/8/20,5,2020,1,Illinois
2/15/20,6,2020,0,Illinois
2/22/20,7,2020,0,Illinois
2/29/20,8,2020,0,Illinois
3/7/20,9,2020,1,Illinois
3/14/20,10,2020,4,Illinois
3/21/20,11,2020,87,Illinois
3/28/20,12,2020,953,Illinois
4/4/20,13,2020,3568,Illinois
4/11/20,14,2020,6661,Illinois
4/18/20,15,2020,9576,Illinois
4/25/20,16,2020,9505,Illinois
5/2/20,17,2020,13546,Illinois
5/9/20,18,2020,17596,Illinois
5/16/20,19,2020,16163,Illinois
5/23/20,20,2020,16698,Illinois
5/30/20,21,2020,16181,Illinois
6/6/20,22,2020,10047,Illinois
6/13/20,23,2020,7482,Illinois
6/20/20,24,2020,5649,Illinois
6/27/20,25,2020,4435,Illinois
7/4/20,26,2020,4963,Illinois
7/11/20,27,2020,5613,Illinois
7/18/20,28,2020,6625,Illinois
7/25/20,29,2020,7929,Illinois
8/1/20,30,2020,9795,Illinois
8/8/20,31,2020,10635,Illinois
8/15/20,32,2020,12183,Illinois
8/22/20,33,2020,12171,Illinois
8/29/20,34,2020,14224,Illinois
9/5/20,35,2020,13487,Illinois
9/12/20,36,2020,16527,Illinois
9/19/20,37,2020,12034,Illinois
9/26/20,38,2020,13033,Illinois
10/3/20,39,2020,13898,Illinois
10/10/20,40,2020,13947,Illinois
10/17/20,41,2020,17767,Illinois
10/24/20,42,2020,25885,Illinois
10/31/20,43,2020,31195,Illinois
11/7/20,44,2020,44795,Illinois
11/14/20,45,2020,64120,Illinois
11/21/20,46,2020,85742,Illinois
11/28/20,47,2020,82680,Illinois
12/5/20,48,2020,64085,Illinois
12/12/20,49,2020,67435,Illinois
12/19/20,50,2020,61490,Illinois
12/26/20,51,2020,51512,Illinois
1/2/21,52,2020,37747,Illinois
1/9/21,53,2020,26169,Illinois
1/9/21,1,2021,49183,Illinois
1/16/21,2,2021,40019,Illinois
1/23/21,3,2021,32899,Illinois
1/30/21,4,2021,24544,Illinois
2/6/21,5,2021,20197,Illinois
2/13/21,6,2021,15796,Illinois
2/20/21,7,2021,12558,Illinois
2/27/21,8,2021,12621,Illinois
3/6/21,9,2021,11838,Illinois
3/13/21,10,2021,11135,Illinois
3/20/21,11,2021,12341,Illinois
3/27/21,12,2021,15951,Illinois
4/3/21,13,2021,18814,Illinois
4/10/21,14,2021,23109,Illinois
4/17/21,15,2021,22494,Illinois
4/24/21,16,2021,19006,Illinois
5/1/21,17,2021,18663,Illinois
5/8/21,18,2021,15443,Illinois
5/15/21,19,2021,11378,Illinois
5/22/21,20,2021,9317,Illinois
5/29/21,21,2021,6259,Illinois
6/5/21,22,2021,3617,Illinois
6/12/21,23,2021,2375,Illinois
6/19/21,24,2021,1071,Illinois
6/26/21,25,2021,1721,Illinois
7/3/21,26,2021,2152,Illinois
7/10/21,27,2021,2919,Illinois
7/17/21,28,2021,4464,Illinois
7/24/21,29,2021,7856,Illinois
7/31/21,30,2021,11745,Illinois
8/7/21,31,2021,17068,Illinois
8/14/21,32,2021,21430,Illinois
8/21/21,33,2021,24787,Illinois
8/28/21,34,2021,25512,Illinois
9/4/21,35,2021,30483,Illinois
