date,epiweek,year,cases,geography
3/21/20,11,2020,12,Maine
3/28/20,12,2020,77,Maine
4/4/20,13,2020,164,Maine
4/11/20,14,2020,217,Maine
4/18/20,15,2020,163,Maine
4/25/20,16,2020,234,Maine
5/2/20,17,2020,148,Maine
5/9/20,18,2020,170,Maine
5/16/20,19,2020,251,Maine
5/23/20,20,2020,251,Maine
5/30/20,21,2020,368,Maine
6/6/20,22,2020,270,Maine
6/13/20,23,2020,245,Maine
6/20/20,24,2020,223,Maine
6/27/20,25,2020,164,Maine
7/4/20,26,2020,234,Maine
7/11/20,27,2020,224,Maine
7/18/20,28,2020,124,Maine
7/25/20,29,2020,148,Maine
8/1/20,30,2020,127,Maine
8/8/20,31,2020,144,Maine
8/15/20,32,2020,84,Maine
8/22/20,33,2020,126,Maine
8/29/20,34,2020,167,Maine
9/5/20,35,2020,177,Maine
9/12/20,36,2020,170,Maine
9/19/20,37,2020,181,Maine
9/26/20,38,2020,216,Maine
10/3/20,39,2020,209,Maine
10/10/20,40,2020,231,Maine
10/17/20,41,2020,204,Maine
10/24/20,42,2020,216,Maine
10/31/20,43,2020,262,Maine
11/7/20,44,2020,514,Maine
11/14/20,45,2020,978,Maine
11/21/20,46,2020,1251,Maine
11/28/20,47,2020,1415,Maine
12/5/20,48,2020,1149,Maine
12/12/20,49,2020,1840,Maine
12/19/20,50,2020,2575,Maine
12/26/20,51,2020,3023,Maine
1/2/21,52,2020,2934,Maine
1/9/21,53,2020,2321,Maine
1/9/21,1,2021,3706,Maine
1/16/21,2,2021,4261,Maine
1/23/21,3,2021,3039,Maine
1/30/21,4,2021,2726,Maine
2/6/21,5,2021,1894,Maine
2/13/21,6,2021,1311,Maine
2/20/21,7,2021,968,Maine
2/27/21,8,2021,1137,Maine
3/6/21,9,2021,1160,Maine
3/13/21,10,2021,1231,Maine
3/20/21,11,2021,1439,Maine
3/27/21,12,2021,1386,Maine
4/3/21,13,2021,1913,Maine
4/10/21,14,2021,2197,Maine
4/17/21,15,2021,3325,Maine
4/24/21,16,2021,2491,Maine
5/1/21,17,2021,2071,Maine
5/8/21,18,2021,2147,Maine
5/15/21,19,2021,1721,Maine
5/22/21,20,2021,1264,Maine
5/29/21,21,2021,759,Maine
6/5/21,22,2021,494,Maine
6/12/21,23,2021,358,Maine
6/19/21,24,2021,236,Maine
6/26/21,25,2021,150,Maine
7/3/21,26,2021,142,Maine
7/10/21,27,2021,101,Maine
7/17/21,28,2021,255,Maine
7/24/21,29,2021,430,Maine
7/31/21,30,2021,559,Maine
8/7/21,31,2021,843,Maine
8/14/21,32,2021,1215,Maine
8/21/21,33,2021,1138,Maine
8/28/21,34,2021,1722,Maine
9/4/21,35,2021,2690,Maine
9/11/21,36,2021,2439,Maine
9/18/21,37,2021,3400,Maine
9/25/21,38,2021,3279,Maine
10/2/21,39,2021,4279,Maine
10/9/21,40,2021,3473,Maine
10/16/21,41,2021,2784,Maine
10/23/21,42,2021,3242,Maine
10/30/21,43,2021,3292,Maine
11/6/21,44,2021,3513,Maine
11/13/21,45,2021,3373,Maine
11/20/21,46,2021,4712,Maine
11/27/21,47,2021,2632,Maine
12/4/21,48,2021,4629,Maine
