date,epiweek,year,cases,geography
3/21/20,11,2020,10,Mississippi
3/28/20,12,2020,197,Mississippi
4/4/20,13,2020,552,Mississippi
4/11/20,14,2020,879,Mississippi
4/18/20,15,2020,1143,Mississippi
4/25/20,16,2020,1493,Mississippi
5/2/20,17,2020,1637,Mississippi
5/9/20,18,2020,1639,Mississippi
5/16/20,19,2020,1951,Mississippi
5/23/20,20,2020,1795,Mississippi
5/30/20,21,2020,1956,Mississippi
6/6/20,22,2020,2249,Mississippi
6/13/20,23,2020,1769,Mississippi
6/20/20,24,2020,2246,Mississippi
6/27/20,25,2020,1506,Mississippi
7/4/20,26,2020,4877,Mississippi
7/11/20,27,2020,5001,Mississippi
7/18/20,28,2020,5387,Mississippi
7/25/20,29,2020,6351,Mississippi
8/1/20,30,2020,9666,Mississippi
8/8/20,31,2020,8249,Mississippi
8/15/20,32,2020,6620,Mississippi
8/22/20,33,2020,4963,Mississippi
8/29/20,34,2020,5758,Mississippi
9/5/20,35,2020,4782,Mississippi
9/12/20,36,2020,4212,Mississippi
9/19/20,37,2020,2986,Mississippi
9/26/20,38,2020,3490,Mississippi
10/3/20,39,2020,3495,Mississippi
10/10/20,40,2020,3629,Mississippi
10/17/20,41,2020,4444,Mississippi
10/24/20,42,2020,5307,Mississippi
10/31/20,43,2020,4849,Mississippi
11/7/20,44,2020,5412,Mississippi
11/14/20,45,2020,6189,Mississippi
11/21/20,46,2020,7620,Mississippi
11/28/20,47,2020,8871,Mississippi
12/5/20,48,2020,8605,Mississippi
12/12/20,49,2020,13146,Mississippi
12/19/20,50,2020,14516,Mississippi
12/26/20,51,2020,14886,Mississippi
1/2/21,52,2020,12055,Mississippi
1/9/21,53,2020,9423,Mississippi
1/9/21,1,2021,17021,Mississippi
1/16/21,2,2021,13393,Mississippi
1/23/21,3,2021,11744,Mississippi
1/30/21,4,2021,10782,Mississippi
2/6/21,5,2021,6677,Mississippi
2/13/21,6,2021,5758,Mississippi
2/20/21,7,2021,3196,Mississippi
2/27/21,8,2021,4163,Mississippi
3/6/21,9,2021,2786,Mississippi
3/13/21,10,2021,3199,Mississippi
3/20/21,11,2021,2057,Mississippi
3/27/21,12,2021,1779,Mississippi
4/3/21,13,2021,1472,Mississippi
4/10/21,14,2021,1361,Mississippi
4/17/21,15,2021,1737,Mississippi
4/24/21,16,2021,1163,Mississippi
5/1/21,17,2021,1551,Mississippi
5/8/21,18,2021,1266,Mississippi
5/15/21,19,2021,1544,Mississippi
5/22/21,20,2021,1562,Mississippi
5/29/21,21,2021,1135,Mississippi
6/5/21,22,2021,782,Mississippi
6/12/21,23,2021,926,Mississippi
6/19/21,24,2021,833,Mississippi
6/26/21,25,2021,889,Mississippi
7/3/21,26,2021,1349,Mississippi
7/10/21,27,2021,1871,Mississippi
7/17/21,28,2021,2747,Mississippi
7/24/21,29,2021,6376,Mississippi
7/31/21,30,2021,10325,Mississippi
8/7/21,31,2021,14644,Mississippi
8/14/21,32,2021,22998,Mississippi
8/21/21,33,2021,25102,Mississippi
8/28/21,34,2021,21391,Mississippi
9/4/21,35,2021,19223,Mississippi
9/11/21,36,2021,13449,Mississippi
9/18/21,37,2021,13101,Mississippi
9/25/21,38,2021,9489,Mississippi
10/2/21,39,2021,6314,Mississippi
10/9/21,40,2021,5055,Mississippi
10/16/21,41,2021,3519,Mississippi
10/23/21,42,2021,3307,Mississippi
10/30/21,43,2021,3221,Mississippi
11/6/21,44,2021,2238,Mississippi
11/13/21,45,2021,1913,Mississippi
11/20/21,46,2021,2279,Mississippi
11/27/21,47,2021,1884,Mississippi
12/4/21,48,2021,2872,Mississippi
12/11/21,49,2021,3611,Mississippi
12/18/21,50,2021,3340,Mississippi
12/25/21,51,2021,3047,Mississippi
1/1/22,52,2021,18235,Mississippi
1/8/22,1,2022,42810,Mississippi
1/8/22,53,2021,6250,Mississippi
1/15/22,2,2022,48081,Mississippi
1/22/22,3,2022,46754,Mississippi
1/29/22,4,2022,36284,Mississippi
2/5/22,5,2022,34196,Mississippi
2/12/22,6,2022,24855,Mississippi
2/19/22,7,2022,8811,Mississippi
2/26/22,8,2022,3528,Mississippi
3/5/22,9,2022,2152,Mississippi
3/12/22,10,2022,1352,Mississippi
3/19/22,11,2022,830,Mississippi
3/26/22,12,2022,703,Mississippi
4/2/22,13,2022,628,Mississippi
4/9/22,14,2022,1103,Mississippi
4/16/22,15,2022,524,Mississippi
4/23/22,16,2022,492,Mississippi
4/30/22,17,2022,735,Mississippi
5/7/22,18,2022,1146,Mississippi
5/14/22,19,2022,2806,Mississippi
5/21/22,20,2022,2596,Mississippi
5/28/22,21,2022,2715,Mississippi
6/4/22,22,2022,3646,Mississippi
6/11/22,23,2022,4495,Mississippi
6/18/22,24,2022,5680,Mississippi
6/25/22,25,2022,7730,Mississippi
7/2/22,26,2022,8368,Mississippi
7/9/22,27,2022,8448,Mississippi
7/16/22,28,2022,10856,Mississippi
7/23/22,29,2022,9979,Mississippi
7/30/22,30,2022,9092,Mississippi
8/6/22,31,2022,8333,Mississippi
8/13/22,32,2022,8826,Mississippi
8/20/22,33,2022,8597,Mississippi
8/27/22,34,2022,4017,Mississippi
9/3/22,35,2022,8144,Mississippi
9/10/22,36,2022,5825,Mississippi
9/17/22,37,2022,3619,Mississippi
9/24/22,38,2022,3103,Mississippi
10/1/22,39,2022,1869,Mississippi
10/8/22,40,2022,1614,Mississippi
10/15/22,41,2022,1359,Mississippi
10/22/22,42,2022,1269,Mississippi
10/29/22,43,2022,1358,Mississippi
11/5/22,44,2022,1336,Mississippi
11/12/22,45,2022,1369,Mississippi
11/19/22,46,2022,1044,Mississippi
11/26/22,47,2022,0,Mississippi
