date,epiweek,year,cases,geography
3/14/20,10,2020,1,Missouri
3/21/20,11,2020,4,Missouri
3/28/20,12,2020,125,Missouri
4/4/20,13,2020,772,Missouri
4/11/20,14,2020,1465,Missouri
4/18/20,15,2020,1793,Missouri
4/25/20,16,2020,1507,Missouri
5/2/20,17,2020,1330,Missouri
5/9/20,18,2020,1457,Missouri
5/16/20,19,2020,1452,Missouri
5/23/20,20,2020,1163,Missouri
5/30/20,21,2020,1045,Missouri
6/6/20,22,2020,1183,Missouri
6/13/20,23,2020,1688,Missouri
6/20/20,24,2020,1399,Missouri
6/27/20,25,2020,2168,Missouri
7/4/20,26,2020,2702,Missouri
7/11/20,27,2020,3080,Missouri
7/18/20,28,2020,4839,Missouri
7/25/20,29,2020,5981,Missouri
8/1/20,30,2020,8323,Missouri
8/8/20,31,2020,9100,Missouri
8/15/20,32,2020,7318,Missouri
8/22/20,33,2020,8598,Missouri
8/29/20,34,2020,7846,Missouri
9/5/20,35,2020,8794,Missouri
9/12/20,36,2020,9790,Missouri
9/19/20,37,2020,9680,Missouri
9/26/20,38,2020,10397,Missouri
10/3/20,39,2020,11115,Missouri
10/10/20,40,2020,9576,Missouri
10/17/20,41,2020,12790,Missouri
10/24/20,42,2020,13675,Missouri
10/31/20,43,2020,13087,Missouri
11/7/20,44,2020,16898,Missouri
11/14/20,45,2020,24513,Missouri
11/21/20,46,2020,32954,Missouri
11/28/20,47,2020,34148,Missouri
12/5/20,48,2020,25664,Missouri
12/12/20,49,2020,28507,Missouri
12/19/20,50,2020,25319,Missouri
12/26/20,51,2020,23013,Missouri
1/2/21,52,2020,17942,Missouri
1/9/21,53,2020,14436,Missouri
1/9/21,1,2021,24397,Missouri
1/16/21,2,2021,22382,Missouri
1/23/21,3,2021,14372,Missouri
1/30/21,4,2021,11890,Missouri
2/6/21,5,2021,9460,Missouri
2/13/21,6,2021,6517,Missouri
2/20/21,7,2021,4719,Missouri
2/27/21,8,2021,4374,Missouri
3/6/21,9,2021,3502,Missouri
3/13/21,10,2021,50172,Missouri
3/20/21,11,2021,3911,Missouri
3/27/21,12,2021,4922,Missouri
4/3/21,13,2021,3980,Missouri
4/10/21,14,2021,4415,Missouri
4/17/21,15,2021,-2548,Missouri
4/24/21,16,2021,4593,Missouri
5/1/21,17,2021,4919,Missouri
5/8/21,18,2021,3714,Missouri
5/15/21,19,2021,2782,Missouri
5/22/21,20,2021,3073,Missouri
5/29/21,21,2021,3244,Missouri
6/5/21,22,2021,2489,Missouri
6/12/21,23,2021,3902,Missouri
6/19/21,24,2021,4536,Missouri
6/26/21,25,2021,5509,Missouri
7/3/21,26,2021,6868,Missouri
7/10/21,27,2021,9580,Missouri
7/17/21,28,2021,13864,Missouri
7/24/21,29,2021,16882,Missouri
7/31/21,30,2021,18572,Missouri
8/7/21,31,2021,19938,Missouri
8/14/21,32,2021,19320,Missouri
8/21/21,33,2021,17529,Missouri
8/28/21,34,2021,16300,Missouri
9/4/21,35,2021,16747,Missouri
9/11/21,36,2021,15381,Missouri
9/18/21,37,2021,14770,Missouri
9/25/21,38,2021,12762,Missouri
10/2/21,39,2021,11159,Missouri
10/9/21,40,2021,9087,Missouri
10/16/21,41,2021,7899,Missouri
10/23/21,42,2021,6775,Missouri
10/30/21,43,2021,7247,Missouri
11/6/21,44,2021,7232,Missouri
11/13/21,45,2021,9607,Missouri
11/20/21,46,2021,17765,Missouri
11/27/21,47,2021,7176,Missouri
12/4/21,48,2021,21219,Missouri
12/11/21,49,2021,20103,Missouri
12/18/21,50,2021,20704,Missouri
12/25/21,51,2021,17158,Missouri
1/1/22,52,2021,29951,Missouri
1/8/22,53,2021,7852,Missouri
1/8/22,1,2022,84891,Missouri
1/15/22,2,2022,79298,Missouri
1/22/22,3,2022,87705,Missouri
1/29/22,4,2022,59156,Missouri
2/5/22,5,2022,31707,Missouri
2/12/22,6,2022,18257,Missouri
2/19/22,7,2022,14306,Missouri
2/26/22,8,2022,7181,Missouri
3/5/22,9,2022,4637,Missouri
3/12/22,10,2022,3414,Missouri
3/19/22,11,2022,3074,Missouri
3/26/22,12,2022,2834,Missouri
4/2/22,13,2022,2586,Missouri
4/9/22,14,2022,1216,Missouri
4/16/22,15,2022,924,Missouri
4/23/22,16,2022,1357,Missouri
4/30/22,17,2022,1834,Missouri
5/7/22,18,2022,12475,Missouri
5/14/22,19,2022,6562,Missouri
5/21/22,20,2022,7798,Missouri
5/28/22,21,2022,9019,Missouri
6/4/22,22,2022,9651,Missouri
6/11/22,23,2022,10826,Missouri
6/18/22,24,2022,10875,Missouri
6/25/22,25,2022,11768,Missouri
7/2/22,26,2022,13460,Missouri
7/9/22,27,2022,13068,Missouri
7/16/22,28,2022,15151,Missouri
7/23/22,29,2022,14449,Missouri
7/30/22,30,2022,14244,Missouri
8/6/22,31,2022,12115,Missouri
8/13/22,32,2022,9125,Missouri
8/20/22,33,2022,12089,Missouri
8/27/22,34,2022,9981,Missouri
9/3/22,35,2022,9984,Missouri
9/10/22,36,2022,9436,Missouri
9/17/22,37,2022,9384,Missouri
9/24/22,38,2022,7598,Missouri
10/1/22,39,2022,5836,Missouri
10/8/22,40,2022,4823,Missouri
10/15/22,41,2022,4410,Missouri
10/22/22,42,2022,4825,Missouri
10/29/22,43,2022,1635,Missouri
11/5/22,44,2022,6373,Missouri
11/12/22,45,2022,4898,Missouri
11/19/22,46,2022,4827,Missouri
11/26/22,47,2022,4742,Missouri
12/3/22,48,2022,6948,Missouri
12/10/22,49,2022,7907,Missouri
12/17/22,50,2022,8242,Missouri
12/24/22,51,2022,8161,Missouri
12/31/22,52,2022,13120,Missouri
1/7/23,1,2023,6750,Missouri
1/14/23,2,2023,5537,Missouri
1/21/23,3,2023,5045,Missouri
1/28/23,4,2023,3857,Missouri
2/4/23,5,2023,3796,Missouri
2/11/23,6,2023,3969,Missouri
2/18/23,7,2023,4527,Missouri
2/25/23,8,2023,4151,Missouri
3/4/23,9,2023,3563,Missouri
3/11/23,10,2023,3790,Missouri
3/18/23,11,2023,3130,Missouri
3/25/23,12,2023,2600,Missouri
12/30/23,52,2023,0,Missouri
