date,epiweek,year,cases,geography
2/29/20,8,2020,11,Nebraska
3/7/20,9,2020,2,Nebraska
3/14/20,10,2020,3,Nebraska
3/21/20,11,2020,15,Nebraska
3/28/20,12,2020,31,Nebraska
4/4/20,13,2020,76,Nebraska
4/11/20,14,2020,239,Nebraska
4/18/20,15,2020,428,Nebraska
4/25/20,16,2020,668,Nebraska
5/2/20,17,2020,1653,Nebraska
5/9/20,18,2020,2560,Nebraska
5/16/20,19,2020,2642,Nebraska
5/23/20,20,2020,2020,Nebraska
5/30/20,21,2020,1785,Nebraska
6/6/20,22,2020,1968,Nebraska
6/13/20,23,2020,1533,Nebraska
6/20/20,24,2020,1101,Nebraska
6/27/20,25,2020,1075,Nebraska
7/4/20,26,2020,1090,Nebraska
7/11/20,27,2020,1037,Nebraska
7/18/20,28,2020,1277,Nebraska
7/25/20,29,2020,1423,Nebraska
8/1/20,30,2020,1981,Nebraska
8/8/20,31,2020,2084,Nebraska
8/15/20,32,2020,1730,Nebraska
8/22/20,33,2020,1940,Nebraska
8/29/20,34,2020,1517,Nebraska
9/5/20,35,2020,2157,Nebraska
9/12/20,36,2020,1845,Nebraska
9/19/20,37,2020,2297,Nebraska
9/26/20,38,2020,2895,Nebraska
10/3/20,39,2020,2980,Nebraska
10/10/20,40,2020,3744,Nebraska
10/17/20,41,2020,4575,Nebraska
10/24/20,42,2020,5686,Nebraska
10/31/20,43,2020,5781,Nebraska
11/7/20,44,2020,7817,Nebraska
11/14/20,45,2020,12303,Nebraska
11/21/20,46,2020,14192,Nebraska
11/28/20,47,2020,15900,Nebraska
12/5/20,48,2020,12961,Nebraska
12/12/20,49,2020,13296,Nebraska
12/19/20,50,2020,9377,Nebraska
12/26/20,51,2020,7476,Nebraska
1/2/21,52,2020,5715,Nebraska
1/9/21,53,2020,4909,Nebraska
1/9/21,1,2021,6964,Nebraska
1/16/21,2,2021,5913,Nebraska
1/23/21,3,2021,5327,Nebraska
1/30/21,4,2021,3522,Nebraska
2/6/21,5,2021,2944,Nebraska
2/13/21,6,2021,2951,Nebraska
2/20/21,7,2021,1704,Nebraska
2/27/21,8,2021,1936,Nebraska
3/6/21,9,2021,2006,Nebraska
3/13/21,10,2021,1745,Nebraska
3/20/21,11,2021,1743,Nebraska
3/27/21,12,2021,2075,Nebraska
4/3/21,13,2021,2945,Nebraska
4/10/21,14,2021,2395,Nebraska
4/17/21,15,2021,2266,Nebraska
4/24/21,16,2021,2259,Nebraska
5/1/21,17,2021,1395,Nebraska
5/8/21,18,2021,1307,Nebraska
5/15/21,19,2021,901,Nebraska
5/22/21,20,2021,549,Nebraska
5/29/21,21,2021,782,Nebraska
6/5/21,22,2021,246,Nebraska
6/12/21,23,2021,232,Nebraska
6/19/21,24,2021,199,Nebraska
6/26/21,25,2021,227,Nebraska
7/3/21,26,2021,284,Nebraska
7/10/21,27,2021,346,Nebraska
7/17/21,28,2021,661,Nebraska
7/24/21,29,2021,978,Nebraska
7/31/21,30,2021,1611,Nebraska
8/7/21,31,2021,2180,Nebraska
8/14/21,32,2021,2773,Nebraska
8/21/21,33,2021,3352,Nebraska
8/28/21,34,2021,4916,Nebraska
9/4/21,35,2021,5649,Nebraska
9/11/21,36,2021,4839,Nebraska
9/18/21,37,2021,5628,Nebraska
9/25/21,38,2021,4688,Nebraska
10/2/21,39,2021,4604,Nebraska
