date,epiweek,year,cases,geography
3/14/20,10,2020,4,New Hampshire
3/21/20,11,2020,9,New Hampshire
3/28/20,12,2020,65,New Hampshire
4/4/20,13,2020,180,New Hampshire
4/11/20,14,2020,411,New Hampshire
4/18/20,15,2020,316,New Hampshire
4/25/20,16,2020,407,New Hampshire
5/2/20,17,2020,472,New Hampshire
5/9/20,18,2020,654,New Hampshire
5/16/20,19,2020,553,New Hampshire
5/23/20,20,2020,525,New Hampshire
5/30/20,21,2020,553,New Hampshire
6/6/20,22,2020,502,New Hampshire
6/13/20,23,2020,392,New Hampshire
6/20/20,24,2020,275,New Hampshire
6/27/20,25,2020,226,New Hampshire
7/4/20,26,2020,203,New Hampshire
7/11/20,27,2020,150,New Hampshire
7/18/20,28,2020,157,New Hampshire
7/25/20,29,2020,149,New Hampshire
8/1/20,30,2020,233,New Hampshire
8/8/20,31,2020,198,New Hampshire
8/15/20,32,2020,197,New Hampshire
8/22/20,33,2020,157,New Hampshire
8/29/20,34,2020,119,New Hampshire
9/5/20,35,2020,147,New Hampshire
9/12/20,36,2020,193,New Hampshire
9/19/20,37,2020,249,New Hampshire
9/26/20,38,2020,251,New Hampshire
10/3/20,39,2020,225,New Hampshire
10/10/20,40,2020,473,New Hampshire
10/17/20,41,2020,498,New Hampshire
10/24/20,42,2020,551,New Hampshire
10/31/20,43,2020,634,New Hampshire
11/7/20,44,2020,886,New Hampshire
11/14/20,45,2020,1274,New Hampshire
11/21/20,46,2020,2183,New Hampshire
11/28/20,47,2020,2927,New Hampshire
12/5/20,48,2020,2882,New Hampshire
12/12/20,49,2020,4291,New Hampshire
12/19/20,50,2020,6185,New Hampshire
12/26/20,51,2020,5586,New Hampshire
1/2/21,52,2020,4267,New Hampshire
1/9/21,53,2020,3219,New Hampshire
1/9/21,1,2021,5150,New Hampshire
1/16/21,2,2021,5264,New Hampshire
1/23/21,3,2021,5473,New Hampshire
1/30/21,4,2021,3358,New Hampshire
2/6/21,5,2021,2684,New Hampshire
2/13/21,6,2021,2406,New Hampshire
2/20/21,7,2021,2628,New Hampshire
2/27/21,8,2021,2011,New Hampshire
3/6/21,9,2021,1437,New Hampshire
3/13/21,10,2021,1754,New Hampshire
3/20/21,11,2021,1928,New Hampshire
3/27/21,12,2021,2484,New Hampshire
4/3/21,13,2021,2819,New Hampshire
4/10/21,14,2021,3008,New Hampshire
4/17/21,15,2021,2732,New Hampshire
4/24/21,16,2021,2235,New Hampshire
5/1/21,17,2021,1556,New Hampshire
5/8/21,18,2021,1247,New Hampshire
5/15/21,19,2021,1052,New Hampshire
5/22/21,20,2021,627,New Hampshire
5/29/21,21,2021,423,New Hampshire
6/5/21,22,2021,151,New Hampshire
6/12/21,23,2021,191,New Hampshire
6/19/21,24,2021,186,New Hampshire
6/26/21,25,2021,149,New Hampshire
7/3/21,26,2021,152,New Hampshire
7/10/21,27,2021,153,New Hampshire
7/17/21,28,2021,199,New Hampshire
7/24/21,29,2021,245,New Hampshire
7/31/21,30,2021,505,New Hampshire
8/7/21,31,2021,1005,New Hampshire
8/14/21,32,2021,1239,New Hampshire
8/21/21,33,2021,1670,New Hampshire
8/28/21,34,2021,1954,New Hampshire
9/4/21,35,2021,2188,New Hampshire
9/11/21,36,2021,2398,New Hampshire
9/18/21,37,2021,3211,New Hampshire
9/25/21,38,2021,3132,New Hampshire
10/2/21,39,2021,3309,New Hampshire
10/9/21,40,2021,3445,New Hampshire
10/16/21,41,2021,3839,New Hampshire
10/23/21,42,2021,3743,New Hampshire
10/30/21,43,2021,2727,New Hampshire
11/6/21,44,2021,4807,New Hampshire
11/13/21,45,2021,5302,New Hampshire
11/20/21,46,2021,6187,New Hampshire
11/27/21,47,2021,4898,New Hampshire
12/4/21,48,2021,9863,New Hampshire
12/11/21,49,2021,8882,New Hampshire
12/18/21,50,2021,8600,New Hampshire
12/25/21,51,2021,6931,New Hampshire
1/1/22,52,2021,8680,New Hampshire
1/8/22,53,2021,2422,New Hampshire
1/8/22,1,2022,15905,New Hampshire
1/15/22,2,2022,21326,New Hampshire
1/22/22,3,2022,21895,New Hampshire
1/29/22,4,2022,14699,New Hampshire
2/5/22,5,2022,8808,New Hampshire
2/12/22,6,2022,6891,New Hampshire
2/19/22,7,2022,5506,New Hampshire
2/26/22,8,2022,4032,New Hampshire
3/5/22,9,2022,1484,New Hampshire
3/12/22,10,2022,972,New Hampshire
3/19/22,11,2022,756,New Hampshire
3/26/22,12,2022,836,New Hampshire
4/2/22,13,2022,901,New Hampshire
4/9/22,14,2022,1077,New Hampshire
4/16/22,15,2022,1656,New Hampshire
4/23/22,16,2022,2117,New Hampshire
4/30/22,17,2022,2454,New Hampshire
5/7/22,18,2022,3306,New Hampshire
5/14/22,19,2022,3403,New Hampshire
5/21/22,20,2022,4351,New Hampshire
5/28/22,21,2022,3331,New Hampshire
6/4/22,22,2022,2237,New Hampshire
6/11/22,23,2022,1709,New Hampshire
6/18/22,24,2022,1365,New Hampshire
6/25/22,25,2022,1144,New Hampshire
7/2/22,26,2022,1536,New Hampshire
7/9/22,27,2022,1425,New Hampshire
7/16/22,28,2022,1673,New Hampshire
7/23/22,29,2022,983,New Hampshire
7/30/22,30,2022,1853,New Hampshire
8/6/22,31,2022,1468,New Hampshire
8/13/22,32,2022,1368,New Hampshire
8/20/22,33,2022,1326,New Hampshire
8/27/22,34,2022,1026,New Hampshire
9/3/22,35,2022,1337,New Hampshire
9/10/22,36,2022,1162,New Hampshire
9/17/22,37,2022,1430,New Hampshire
9/24/22,38,2022,1483,New Hampshire
10/1/22,39,2022,1455,New Hampshire
10/8/22,40,2022,1576,New Hampshire
10/15/22,41,2022,1458,New Hampshire
10/22/22,42,2022,2047,New Hampshire
10/29/22,43,2022,1433,New Hampshire
11/5/22,44,2022,1132,New Hampshire
11/12/22,45,2022,1020,New Hampshire
11/19/22,46,2022,879,New Hampshire
11/26/22,47,2022,580,New Hampshire
12/3/22,48,2022,1412,New Hampshire
12/10/22,49,2022,1139,New Hampshire
12/17/22,50,2022,1502,New Hampshire
12/24/22,51,2022,1585,New Hampshire
12/31/22,52,2022,1426,New Hampshire
1/7/23,1,2023,1826,New Hampshire
1/14/23,2,2023,1556,New Hampshire
1/21/23,3,2023,1197,New Hampshire
1/28/23,4,2023,797,New Hampshire
2/4/23,5,2023,949,New Hampshire
2/11/23,6,2023,1116,New Hampshire
2/18/23,7,2023,939,New Hampshire
2/25/23,8,2023,940,New Hampshire
3/4/23,9,2023,799,New Hampshire
3/11/23,10,2023,767,New Hampshire
3/18/23,11,2023,655,New Hampshire
3/25/23,12,2023,606,New Hampshire
12/30/23,52,2023,0,New Hampshire
