date,epiweek,year,cases,geography
3/21/20,11,2020,17,New Mexico
3/28/20,12,2020,48,New Mexico
4/4/20,13,2020,172,New Mexico
4/11/20,14,2020,387,New Mexico
4/18/20,15,2020,621,New Mexico
4/25/20,16,2020,600,New Mexico
5/2/20,17,2020,883,New Mexico
5/9/20,18,2020,1122,New Mexico
5/16/20,19,2020,1013,New Mexico
5/23/20,20,2020,1075,New Mexico
5/30/20,21,2020,1005,New Mexico
6/6/20,22,2020,746,New Mexico
6/13/20,23,2020,1251,New Mexico
6/20/20,24,2020,783,New Mexico
6/27/20,25,2020,842,New Mexico
7/4/20,26,2020,1244,New Mexico
7/11/20,27,2020,1447,New Mexico
7/18/20,28,2020,1772,New Mexico
7/25/20,29,2020,1943,New Mexico
8/1/20,30,2020,2082,New Mexico
8/8/20,31,2020,1963,New Mexico
8/15/20,32,2020,1299,New Mexico
8/22/20,33,2020,1093,New Mexico
8/29/20,34,2020,988,New Mexico
9/5/20,35,2020,887,New Mexico
9/12/20,36,2020,824,New Mexico
9/19/20,37,2020,654,New Mexico
9/26/20,38,2020,818,New Mexico
10/3/20,39,2020,1265,New Mexico
10/10/20,40,2020,1633,New Mexico
10/17/20,41,2020,2506,New Mexico
10/24/20,42,2020,3805,New Mexico
10/31/20,43,2020,5075,New Mexico
11/7/20,44,2020,5369,New Mexico
11/14/20,45,2020,7649,New Mexico
11/21/20,46,2020,9320,New Mexico
11/28/20,47,2020,17695,New Mexico
12/5/20,48,2020,13521,New Mexico
12/12/20,49,2020,12671,New Mexico
12/19/20,50,2020,11712,New Mexico
12/26/20,51,2020,10193,New Mexico
1/2/21,52,2020,7975,New Mexico
1/9/21,53,2020,4929,New Mexico
1/9/21,1,2021,9763,New Mexico
1/16/21,2,2021,7480,New Mexico
1/23/21,3,2021,5568,New Mexico
1/30/21,4,2021,4859,New Mexico
2/6/21,5,2021,3492,New Mexico
2/13/21,6,2021,3015,New Mexico
2/20/21,7,2021,2218,New Mexico
2/27/21,8,2021,2343,New Mexico
3/6/21,9,2021,1790,New Mexico
3/13/21,10,2021,1389,New Mexico
3/20/21,11,2021,1420,New Mexico
3/27/21,12,2021,1317,New Mexico
4/3/21,13,2021,1104,New Mexico
4/10/21,14,2021,1216,New Mexico
4/17/21,15,2021,1500,New Mexico
4/24/21,16,2021,1353,New Mexico
5/1/21,17,2021,1512,New Mexico
5/8/21,18,2021,1600,New Mexico
5/15/21,19,2021,1317,New Mexico
5/22/21,20,2021,1218,New Mexico
5/29/21,21,2021,953,New Mexico
6/5/21,22,2021,651,New Mexico
6/12/21,23,2021,572,New Mexico
6/19/21,24,2021,654,New Mexico
6/26/21,25,2021,592,New Mexico
7/3/21,26,2021,425,New Mexico
7/10/21,27,2021,537,New Mexico
7/17/21,28,2021,937,New Mexico
7/24/21,29,2021,1298,New Mexico
7/31/21,30,2021,1929,New Mexico
8/7/21,31,2021,3377,New Mexico
8/14/21,32,2021,4776,New Mexico
8/21/21,33,2021,5227,New Mexico
8/28/21,34,2021,5713,New Mexico
9/4/21,35,2021,5881,New Mexico
9/11/21,36,2021,4496,New Mexico
9/18/21,37,2021,4834,New Mexico
9/25/21,38,2021,4068,New Mexico
10/2/21,39,2021,5027,New Mexico
10/9/21,40,2021,5128,New Mexico
10/16/21,41,2021,4812,New Mexico
10/23/21,42,2021,5136,New Mexico
10/30/21,43,2021,6318,New Mexico
11/6/21,44,2021,7533,New Mexico
11/13/21,45,2021,9336,New Mexico
11/20/21,46,2021,9859,New Mexico
11/27/21,47,2021,6215,New Mexico
12/4/21,48,2021,12368,New Mexico
12/11/21,49,2021,9258,New Mexico
12/18/21,50,2021,7012,New Mexico
12/25/21,51,2021,5859,New Mexico
1/1/22,52,2021,7394,New Mexico
1/8/22,1,2022,19070,New Mexico
1/8/22,53,2021,3497,New Mexico
1/15/22,2,2022,29826,New Mexico
1/22/22,3,2022,38995,New Mexico
1/29/22,4,2022,32579,New Mexico
2/5/22,5,2022,19188,New Mexico
2/12/22,6,2022,10815,New Mexico
2/19/22,7,2022,6807,New Mexico
2/26/22,8,2022,3460,New Mexico
3/5/22,9,2022,2528,New Mexico
3/12/22,10,2022,1853,New Mexico
3/19/22,11,2022,1046,New Mexico
