date,epiweek,year,cases,geography
3/21/20,11,2020,1,North Dakota
3/28/20,12,2020,29,North Dakota
4/4/20,13,2020,67,North Dakota
4/11/20,14,2020,110,North Dakota
4/18/20,15,2020,101,North Dakota
4/25/20,16,2020,277,North Dakota
5/2/20,17,2020,282,North Dakota
5/9/20,18,2020,324,North Dakota
5/16/20,19,2020,300,North Dakota
5/23/20,20,2020,409,North Dakota
5/30/20,21,2020,518,North Dakota
6/6/20,22,2020,162,North Dakota
6/13/20,23,2020,284,North Dakota
6/20/20,24,2020,219,North Dakota
6/27/20,25,2020,211,North Dakota
7/4/20,26,2020,210,North Dakota
7/11/20,27,2020,321,North Dakota
7/18/20,28,2020,513,North Dakota
7/25/20,29,2020,685,North Dakota
8/1/20,30,2020,857,North Dakota
8/8/20,31,2020,784,North Dakota
8/15/20,32,2020,936,North Dakota
8/22/20,33,2020,991,North Dakota
8/29/20,34,2020,1289,North Dakota
9/5/20,35,2020,1826,North Dakota
9/12/20,36,2020,1929,North Dakota
9/19/20,37,2020,1945,North Dakota
9/26/20,38,2020,2381,North Dakota
10/3/20,39,2020,2766,North Dakota
10/10/20,40,2020,2826,North Dakota
10/17/20,41,2020,3716,North Dakota
10/24/20,42,2020,4714,North Dakota
10/31/20,43,2020,5741,North Dakota
11/7/20,44,2020,7324,North Dakota
11/14/20,45,2020,9262,North Dakota
11/21/20,46,2020,9492,North Dakota
11/28/20,47,2020,8887,North Dakota
12/5/20,48,2020,5975,North Dakota
12/12/20,49,2020,4323,North Dakota
12/19/20,50,2020,4890,North Dakota
12/26/20,51,2020,2168,North Dakota
1/2/21,52,2020,1427,North Dakota
1/9/21,53,2020,1030,North Dakota
1/9/21,1,2021,1676,North Dakota
1/16/21,2,2021,1162,North Dakota
1/23/21,3,2021,956,North Dakota
1/30/21,4,2021,813,North Dakota
2/6/21,5,2021,525,North Dakota
2/13/21,6,2021,447,North Dakota
2/20/21,7,2021,680,North Dakota
2/27/21,8,2021,532,North Dakota
3/6/21,9,2021,582,North Dakota
3/13/21,10,2021,586,North Dakota
3/20/21,11,2021,675,North Dakota
3/27/21,12,2021,933,North Dakota
4/3/21,13,2021,1055,North Dakota
4/10/21,14,2021,1106,North Dakota
4/17/21,15,2021,1009,North Dakota
4/24/21,16,2021,934,North Dakota
5/1/21,17,2021,1020,North Dakota
5/8/21,18,2021,773,North Dakota
5/15/21,19,2021,622,North Dakota
5/22/21,20,2021,499,North Dakota
5/29/21,21,2021,333,North Dakota
6/5/21,22,2021,264,North Dakota
6/12/21,23,2021,233,North Dakota
6/19/21,24,2021,135,North Dakota
6/26/21,25,2021,96,North Dakota
7/3/21,26,2021,73,North Dakota
7/10/21,27,2021,121,North Dakota
7/17/21,28,2021,151,North Dakota
7/24/21,29,2021,219,North Dakota
7/31/21,30,2021,447,North Dakota
8/7/21,31,2021,662,North Dakota
8/14/21,32,2021,994,North Dakota
8/21/21,33,2021,1476,North Dakota
8/28/21,34,2021,2033,North Dakota
9/4/21,35,2021,2718,North Dakota
9/11/21,36,2021,3003,North Dakota
9/18/21,37,2021,3238,North Dakota
9/25/21,38,2021,3677,North Dakota
10/2/21,39,2021,4313,North Dakota
10/9/21,40,2021,4166,North Dakota
10/16/21,41,2021,3533,North Dakota
10/23/21,42,2021,3265,North Dakota
10/30/21,43,2021,3647,North Dakota
11/6/21,44,2021,3446,North Dakota
11/13/21,45,2021,3314,North Dakota
11/20/21,46,2021,3333,North Dakota
11/27/21,47,2021,2817,North Dakota
12/4/21,48,2021,3400,North Dakota
12/11/21,49,2021,2448,North Dakota
12/18/21,50,2021,2290,North Dakota
12/25/21,51,2021,1995,North Dakota
