date,epiweek,year,cases,geography
3/14/20,10,2020,1,Oklahoma
3/21/20,11,2020,7,Oklahoma
3/28/20,12,2020,59,Oklahoma
4/4/20,13,2020,362,Oklahoma
4/11/20,14,2020,822,Oklahoma
4/18/20,15,2020,719,Oklahoma
4/25/20,16,2020,629,Oklahoma
5/2/20,17,2020,654,Oklahoma
5/9/20,18,2020,719,Oklahoma
5/16/20,19,2020,617,Oklahoma
5/23/20,20,2020,721,Oklahoma
5/30/20,21,2020,727,Oklahoma
6/6/20,22,2020,469,Oklahoma
6/13/20,23,2020,645,Oklahoma
6/20/20,24,2020,1080,Oklahoma
6/27/20,25,2020,2284,Oklahoma
7/4/20,26,2020,2429,Oklahoma
7/11/20,27,2020,2984,Oklahoma
7/18/20,28,2020,4307,Oklahoma
7/25/20,29,2020,5030,Oklahoma
8/1/20,30,2020,6020,Oklahoma
8/8/20,31,2020,6916,Oklahoma
8/15/20,32,2020,5360,Oklahoma
8/22/20,33,2020,4781,Oklahoma
8/29/20,34,2020,4823,Oklahoma
9/5/20,35,2020,4855,Oklahoma
9/12/20,36,2020,5587,Oklahoma
9/19/20,37,2020,5747,Oklahoma
9/26/20,38,2020,7453,Oklahoma
10/3/20,39,2020,7526,Oklahoma
10/10/20,40,2020,6984,Oklahoma
10/17/20,41,2020,8070,Oklahoma
10/24/20,42,2020,7912,Oklahoma
10/31/20,43,2020,9437,Oklahoma
11/7/20,44,2020,7375,Oklahoma
11/14/20,45,2020,12147,Oklahoma
11/21/20,46,2020,17870,Oklahoma
11/28/20,47,2020,20202,Oklahoma
12/5/20,48,2020,21215,Oklahoma
12/12/20,49,2020,20941,Oklahoma
12/19/20,50,2020,21182,Oklahoma
12/26/20,51,2020,23170,Oklahoma
1/2/21,52,2020,18301,Oklahoma
1/9/21,53,2020,11797,Oklahoma
1/9/21,1,2021,27290,Oklahoma
1/16/21,2,2021,23617,Oklahoma
1/23/21,3,2021,18111,Oklahoma
1/30/21,4,2021,16382,Oklahoma
2/6/21,5,2021,14482,Oklahoma
2/13/21,6,2021,9588,Oklahoma
2/20/21,7,2021,5812,Oklahoma
2/27/21,8,2021,5154,Oklahoma
3/6/21,9,2021,4489,Oklahoma
