date,epiweek,year,cases,geography
3/7/20,9,2020,2,Oregon
3/14/20,10,2020,11,Oregon
3/21/20,11,2020,26,Oregon
3/28/20,12,2020,122,Oregon
4/4/20,13,2020,388,Oregon
4/11/20,14,2020,519,Oregon
4/18/20,15,2020,459,Oregon
4/25/20,16,2020,383,Oregon
5/2/20,17,2020,401,Oregon
5/9/20,18,2020,369,Oregon
5/16/20,19,2020,548,Oregon
5/23/20,20,2020,395,Oregon
5/30/20,21,2020,304,Oregon
6/6/20,22,2020,316,Oregon
6/13/20,23,2020,566,Oregon
6/20/20,24,2020,835,Oregon
6/27/20,25,2020,1301,Oregon
7/4/20,26,2020,1403,Oregon
7/11/20,27,2020,1889,Oregon
7/18/20,28,2020,1933,Oregon
7/25/20,29,2020,2416,Oregon
8/1/20,30,2020,2178,Oregon
8/8/20,31,2020,2333,Oregon
8/15/20,32,2020,2175,Oregon
8/22/20,33,2020,1990,Oregon
8/29/20,34,2020,1676,Oregon
9/5/20,35,2020,1616,Oregon
9/12/20,36,2020,1491,Oregon
9/19/20,37,2020,1292,Oregon
9/26/20,38,2020,1465,Oregon
10/3/20,39,2020,2018,Oregon
10/10/20,40,2020,1951,Oregon
10/17/20,41,2020,2492,Oregon
10/24/20,42,2020,2269,Oregon
10/31/20,43,2020,2569,Oregon
11/7/20,44,2020,3318,Oregon
11/14/20,45,2020,5029,Oregon
11/21/20,46,2020,6432,Oregon
11/28/20,47,2020,8290,Oregon
12/5/20,48,2020,8950,Oregon
12/12/20,49,2020,10376,Oregon
12/19/20,50,2020,9357,Oregon
12/26/20,51,2020,9077,Oregon
1/2/21,52,2020,6804,Oregon
1/9/21,53,2020,4195,Oregon
1/9/21,1,2021,7938,Oregon
1/16/21,2,2021,7522,Oregon
1/23/21,3,2021,4963,Oregon
1/30/21,4,2021,4249,Oregon
2/6/21,5,2021,4705,Oregon
2/13/21,6,2021,3159,Oregon
2/20/21,7,2021,2537,Oregon
2/27/21,8,2021,2779,Oregon
3/6/21,9,2021,1753,Oregon
3/13/21,10,2021,2267,Oregon
3/20/21,11,2021,1915,Oregon
3/27/21,12,2021,2420,Oregon
4/3/21,13,2021,2930,Oregon
4/10/21,14,2021,3686,Oregon
4/17/21,15,2021,4553,Oregon
4/24/21,16,2021,5579,Oregon
5/1/21,17,2021,5644,Oregon
5/8/21,18,2021,5061,Oregon
5/15/21,19,2021,4279,Oregon
5/22/21,20,2021,3005,Oregon
5/29/21,21,2021,2571,Oregon
6/5/21,22,2021,1992,Oregon
6/12/21,23,2021,1778,Oregon
6/19/21,24,2021,1747,Oregon
6/26/21,25,2021,1415,Oregon
7/3/21,26,2021,890,Oregon
7/10/21,27,2021,1205,Oregon
7/17/21,28,2021,1743,Oregon
7/24/21,29,2021,2839,Oregon
7/31/21,30,2021,4886,Oregon
8/7/21,31,2021,7144,Oregon
8/14/21,32,2021,11564,Oregon
8/21/21,33,2021,14514,Oregon
8/28/21,34,2021,15424,Oregon
9/4/21,35,2021,15472,Oregon
9/11/21,36,2021,12952,Oregon
9/18/21,37,2021,13016,Oregon
9/25/21,38,2021,11149,Oregon
10/2/21,39,2021,10719,Oregon
10/9/21,40,2021,9404,Oregon
10/16/21,41,2021,7653,Oregon
10/23/21,42,2021,8760,Oregon
10/30/21,43,2021,7527,Oregon
