date,epiweek,year,cases,geography
3/21/20,11,2020,9,South Dakota
3/28/20,12,2020,12,South Dakota
4/4/20,13,2020,69,South Dakota
4/11/20,14,2020,150,South Dakota
4/18/20,15,2020,489,South Dakota
4/25/20,16,2020,906,South Dakota
5/2/20,17,2020,578,South Dakota
5/9/20,18,2020,417,South Dakota
5/16/20,19,2020,887,South Dakota
5/23/20,20,2020,470,South Dakota
5/30/20,21,2020,576,South Dakota
6/6/20,22,2020,430,South Dakota
6/13/20,23,2020,445,South Dakota
6/20/20,24,2020,460,South Dakota
6/27/20,25,2020,399,South Dakota
7/4/20,26,2020,384,South Dakota
7/11/20,27,2020,382,South Dakota
7/18/20,28,2020,436,South Dakota
7/25/20,29,2020,407,South Dakota
8/1/20,30,2020,489,South Dakota
8/8/20,31,2020,560,South Dakota
8/15/20,32,2020,650,South Dakota
8/22/20,33,2020,669,South Dakota
8/29/20,34,2020,1002,South Dakota
9/5/20,35,2020,2046,South Dakota
9/12/20,36,2020,1787,South Dakota
9/19/20,37,2020,1529,South Dakota
9/26/20,38,2020,2058,South Dakota
10/3/20,39,2020,2845,South Dakota
10/10/20,40,2020,2877,South Dakota
10/17/20,41,2020,4146,South Dakota
10/24/20,42,2020,4705,South Dakota
10/31/20,43,2020,5934,South Dakota
11/7/20,44,2020,8121,South Dakota
11/14/20,45,2020,8080,South Dakota
11/21/20,46,2020,9977,South Dakota
11/28/20,47,2020,7684,South Dakota
12/5/20,48,2020,6835,South Dakota
12/12/20,49,2020,6091,South Dakota
12/19/20,50,2020,5047,South Dakota
12/26/20,51,2020,3689,South Dakota
1/2/21,52,2020,2663,South Dakota
1/9/21,53,2020,1774,South Dakota
1/9/21,1,2021,2786,South Dakota
1/16/21,2,2021,2226,South Dakota
1/23/21,3,2021,1604,South Dakota
1/30/21,4,2021,1102,South Dakota
2/6/21,5,2021,979,South Dakota
2/13/21,6,2021,1086,South Dakota
2/20/21,7,2021,989,South Dakota
2/27/21,8,2021,1123,South Dakota
3/6/21,9,2021,1162,South Dakota
3/13/21,10,2021,1034,South Dakota
3/20/21,11,2021,1244,South Dakota
3/27/21,12,2021,1377,South Dakota
4/3/21,13,2021,1117,South Dakota
4/10/21,14,2021,1344,South Dakota
4/17/21,15,2021,1351,South Dakota
4/24/21,16,2021,930,South Dakota
5/1/21,17,2021,674,South Dakota
5/8/21,18,2021,573,South Dakota
5/15/21,19,2021,411,South Dakota
5/22/21,20,2021,267,South Dakota
5/29/21,21,2021,251,South Dakota
6/5/21,22,2021,99,South Dakota
6/12/21,23,2021,95,South Dakota
6/19/21,24,2021,37,South Dakota
6/26/21,25,2021,99,South Dakota
7/3/21,26,2021,90,South Dakota
7/10/21,27,2021,59,South Dakota
7/17/21,28,2021,109,South Dakota
7/24/21,29,2021,198,South Dakota
7/31/21,30,2021,268,South Dakota
8/7/21,31,2021,376,South Dakota
8/14/21,32,2021,1154,South Dakota
8/21/21,33,2021,1549,South Dakota
8/28/21,34,2021,2481,South Dakota
9/4/21,35,2021,3079,South Dakota
9/11/21,36,2021,2917,South Dakota
9/18/21,37,2021,3184,South Dakota
9/25/21,38,2021,2844,South Dakota
10/2/21,39,2021,2674,South Dakota
10/9/21,40,2021,2346,South Dakota
10/16/21,41,2021,2176,South Dakota
10/23/21,42,2021,2312,South Dakota
10/30/21,43,2021,2174,South Dakota
11/6/21,44,2021,2513,South Dakota
11/13/21,45,2021,2348,South Dakota
11/20/21,46,2021,3032,South Dakota
11/27/21,47,2021,1917,South Dakota
12/4/21,48,2021,3979,South Dakota
12/11/21,49,2021,2977,South Dakota
12/18/21,50,2021,2407,South Dakota
12/25/21,51,2021,2022,South Dakota
1/1/22,52,2021,3527,South Dakota
1/8/22,1,2022,10207,South Dakota
1/8/22,53,2021,1368,South Dakota
1/15/22,2,2022,13726,South Dakota
1/22/22,3,2022,13519,South Dakota
1/29/22,4,2022,8727,South Dakota
2/5/22,5,2022,4857,South Dakota
2/12/22,6,2022,2485,South Dakota
2/19/22,7,2022,2236,South Dakota
