date,epiweek,year,cases,geography
3/14/20,10,2020,3,Tennessee
3/21/20,11,2020,36,Tennessee
3/28/20,12,2020,385,Tennessee
4/4/20,13,2020,1145,Tennessee
4/11/20,14,2020,1969,Tennessee
4/18/20,15,2020,1606,Tennessee
4/25/20,16,2020,1680,Tennessee
5/2/20,17,2020,2611,Tennessee
5/9/20,18,2020,3436,Tennessee
5/16/20,19,2020,2189,Tennessee
5/23/20,20,2020,2331,Tennessee
5/30/20,21,2020,2725,Tennessee
6/6/20,22,2020,2716,Tennessee
6/13/20,23,2020,3979,Tennessee
6/20/20,24,2020,3363,Tennessee
6/27/20,25,2020,4545,Tennessee
7/4/20,26,2020,5226,Tennessee
7/11/20,27,2020,10420,Tennessee
7/18/20,28,2020,10741,Tennessee
7/25/20,29,2020,15074,Tennessee
8/1/20,30,2020,15150,Tennessee
8/8/20,31,2020,15474,Tennessee
8/15/20,32,2020,12984,Tennessee
8/22/20,33,2020,10832,Tennessee
8/29/20,34,2020,10380,Tennessee
9/5/20,35,2020,9249,Tennessee
9/12/20,36,2020,11340,Tennessee
9/19/20,37,2020,7721,Tennessee
9/26/20,38,2020,11311,Tennessee
10/3/20,39,2020,9416,Tennessee
10/10/20,40,2020,8225,Tennessee
10/17/20,41,2020,13164,Tennessee
10/24/20,42,2020,13700,Tennessee
10/31/20,43,2020,18382,Tennessee
11/7/20,44,2020,14150,Tennessee
11/14/20,45,2020,19415,Tennessee
11/21/20,46,2020,28138,Tennessee
11/28/20,47,2020,28642,Tennessee
12/5/20,48,2020,24956,Tennessee
12/12/20,49,2020,32584,Tennessee
12/19/20,50,2020,51314,Tennessee
12/26/20,51,2020,63173,Tennessee
1/2/21,52,2020,43419,Tennessee
1/9/21,53,2020,23280,Tennessee
1/9/21,1,2021,47760,Tennessee
1/16/21,2,2021,31169,Tennessee
1/23/21,3,2021,22089,Tennessee
1/30/21,4,2021,18909,Tennessee
2/6/21,5,2021,16099,Tennessee
2/13/21,6,2021,13877,Tennessee
2/20/21,7,2021,8397,Tennessee
2/27/21,8,2021,9569,Tennessee
3/6/21,9,2021,7929,Tennessee
3/13/21,10,2021,6612,Tennessee
3/20/21,11,2021,8494,Tennessee
3/27/21,12,2021,8544,Tennessee
4/3/21,13,2021,6652,Tennessee
4/10/21,14,2021,8597,Tennessee
4/17/21,15,2021,8229,Tennessee
4/24/21,16,2021,10383,Tennessee
5/1/21,17,2021,6263,Tennessee
5/8/21,18,2021,5126,Tennessee
5/15/21,19,2021,4305,Tennessee
5/22/21,20,2021,3283,Tennessee
5/29/21,21,2021,2361,Tennessee
6/5/21,22,2021,1390,Tennessee
6/12/21,23,2021,2806,Tennessee
6/19/21,24,2021,898,Tennessee
6/26/21,25,2021,682,Tennessee
7/3/21,26,2021,875,Tennessee
7/10/21,27,2021,2213,Tennessee
7/17/21,28,2021,3854,Tennessee
7/24/21,29,2021,6721,Tennessee
7/31/21,30,2021,12409,Tennessee
8/7/21,31,2021,19688,Tennessee
8/14/21,32,2021,26551,Tennessee
8/21/21,33,2021,35032,Tennessee
8/28/21,34,2021,42595,Tennessee
9/4/21,35,2021,47719,Tennessee
9/11/21,36,2021,47675,Tennessee
9/18/21,37,2021,52068,Tennessee
9/25/21,38,2021,30505,Tennessee
10/2/21,39,2021,21840,Tennessee
10/9/21,40,2021,17081,Tennessee
10/16/21,41,2021,13302,Tennessee
10/23/21,42,2021,9519,Tennessee
10/30/21,43,2021,7678,Tennessee
11/6/21,44,2021,6531,Tennessee
11/13/21,45,2021,7937,Tennessee
11/20/21,46,2021,8901,Tennessee
11/27/21,47,2021,5995,Tennessee
12/4/21,48,2021,12951,Tennessee
12/11/21,49,2021,12765,Tennessee
12/18/21,50,2021,12220,Tennessee
12/25/21,51,2021,17677,Tennessee
1/1/22,52,2021,43829,Tennessee
1/8/22,53,2021,20784,Tennessee
1/8/22,1,2022,100734,Tennessee
1/15/22,2,2022,98237,Tennessee
1/22/22,3,2022,115469,Tennessee
