date,location_name,year,week,total_ili,unweighted_ili,total_hosp
2010-10-09,Alabama,2010,40,249.0,2.13477,2.13477
2010-10-16,Alabama,2010,41,239.0,2.05999,2.05999
2010-10-23,Alabama,2010,42,232.0,1.94224,1.94224
2010-10-30,Alabama,2010,43,274.0,2.2765,2.2765
2010-11-06,Alabama,2010,44,342.0,2.83371,2.83371
2010-11-13,Alabama,2010,45,419.0,3.46224,3.46224
2010-11-20,Alabama,2010,46,434.0,3.53248,3.53248
2010-11-27,Alabama,2010,47,360.0,4.27655,4.27655
2010-12-04,Alabama,2010,48,467.0,4.44043,4.44043
2010-12-11,Alabama,2010,49,656.0,5.81097,5.81097
2010-12-18,Alabama,2010,50,1245.0,10.4359,10.4359
2010-12-25,Alabama,2010,51,1297.0,13.0878,13.0878
2011-01-01,Alabama,2010,52,1274.0,11.6592,11.6592
2011-01-08,Alabama,2011,1,1191.0,9.73755,9.73755
2011-01-15,Alabama,2011,2,1195.0,11.944,11.944
2011-01-22,Alabama,2011,3,1624.0,13.1063,13.1063
2011-01-29,Alabama,2011,4,1938.0,14.7376,14.7376
2011-02-05,Alabama,2011,5,1504.0,12.5984,12.5984
2011-02-12,Alabama,2011,6,1586.0,11.5078,11.5078
2011-02-19,Alabama,2011,7,1450.0,11.9696,11.9696
2011-02-26,Alabama,2011,8,1200.0,9.67196,9.67196
2011-03-05,Alabama,2011,9,737.0,6.80203,6.80203
2011-03-12,Alabama,2011,10,593.0,5.82572,5.82572
2011-03-19,Alabama,2011,11,390.0,4.04606,4.04606
2011-03-26,Alabama,2011,12,334.0,3.43834,3.43834
2011-04-02,Alabama,2011,13,291.0,3.17374,3.17374
2011-04-09,Alabama,2011,14,252.0,2.74659,2.74659
2011-04-16,Alabama,2011,15,189.0,2.67592,2.67592
2011-04-23,Alabama,2011,16,194.0,2.76866,2.76866
2011-04-30,Alabama,2011,17,207.0,3.28311,3.28311
2011-05-07,Alabama,2011,18,198.0,3.00455,3.00455
2011-05-14,Alabama,2011,19,180.0,2.64628,2.64628
2011-05-21,Alabama,2011,20,161.0,2.46441,2.46441
2011-05-28,Alabama,2011,21,167.0,2.72831,2.72831
2011-06-04,Alabama,2011,22,134.0,2.54511,2.54511
2011-06-11,Alabama,2011,23,144.0,2.38925,2.38925
2011-06-18,Alabama,2011,24,149.0,2.51859,2.51859
2011-06-25,Alabama,2011,25,96.0,1.79372,1.79372
2011-07-02,Alabama,2011,26,112.0,2.36038,2.36038
2011-07-09,Alabama,2011,27,88.0,1.84216,1.84216
2011-07-16,Alabama,2011,28,109.0,1.88256,1.88256
2011-07-23,Alabama,2011,29,74.0,1.3618,1.3618
2011-07-30,Alabama,2011,30,77.0,1.3122,1.3122
2011-08-06,Alabama,2011,31,14.0,0.340219,0.340219
2011-08-13,Alabama,2011,32,111.0,1.79206,1.79206
2011-08-20,Alabama,2011,33,130.0,2.1645,2.1645
2011-08-27,Alabama,2011,34,142.0,2.3037,2.3037
2011-09-03,Alabama,2011,35,145.0,2.34438,2.34438
2011-09-10,Alabama,2011,36,181.0,3.44828,3.44828
2011-09-17,Alabama,2011,37,224.0,3.55951,3.55951
2011-09-24,Alabama,2011,38,234.0,3.38738,3.38738
2011-10-01,Alabama,2011,39,229.0,3.46445,3.46445
2011-10-08,Alabama,2011,40,267.0,2.49486,2.49486
2011-10-15,Alabama,2011,41,317.0,2.82808,2.82808
2011-10-22,Alabama,2011,42,315.0,3.4254,3.4254
2011-10-29,Alabama,2011,43,387.0,3.83396,3.83396
2011-11-05,Alabama,2011,44,362.0,3.79415,3.79415
2011-11-12,Alabama,2011,45,396.0,4.19269,4.19269
2011-11-19,Alabama,2011,46,286.0,3.28321,3.28321
