"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Alabama,Season 2021-22,12304,0,223,32,4,0,0,0
States,Alaska,Season 2021-22,1228,0,211,28,5,8,0,0
States,Arizona,Season 2021-22,1393,0,737,6,1,4,0,0
States,Arkansas,Season 2021-22,65351,0,186,332,5,0,0,0
States,California,Season 2021-22,63899,6,1204,229,35,2,0,0
States,Colorado,Season 2021-22,1337,1,713,19,0,1,0,0
States,Connecticut,Season 2021-22,622,2,390,6,0,0,0,0
States,Delaware,Season 2021-22,2107,1,522,84,1,1,1,0
States,District of Columbia,Season 2021-22,298,0,58,1,1,0,0,0
States,Florida,Season 2021-22,7533,6,1415,76,0,0,0,0
States,Georgia,Season 2021-22,2830,9,899,132,1,4,0,0
States,Hawaii,Season 2021-22,1513,1,248,11,0,4,0,0
States,Idaho,Season 2021-22,12160,0,275,62,1,0,0,0
States,Illinois,Season 2021-22,168813,0,373,475,1,0,0,0
States,Indiana,Season 2021-22,981,1,101,3,0,0,0,0
States,Iowa,Season 2021-22,395,1,158,1,0,0,0,0
States,Kansas,Season 2021-22,29750,0,254,312,2,0,0,0
States,Kentucky,Season 2021-22,735,0,169,0,0,0,0,0
States,Louisiana,Season 2021-22,993,0,52,5,0,0,0,0
States,Maine,Season 2021-22,501,0,168,2,0,0,0,0
States,Maryland,Season 2021-22,3623,2,366,2,0,2,0,0
States,Massachusetts,Season 2021-22,752,0,155,3,0,0,0,0
States,Michigan,Season 2021-22,1683,7,568,3,2,0,0,1
States,Minnesota,Season 2021-22,6205,2,488,22,0,1,0,0
States,Mississippi,Season 2021-22,469,1,35,0,0,0,0,0
States,Missouri,Season 2021-22,17065,0,127,34,1,0,0,0
States,Montana,Season 2021-22,600,4,307,1,0,0,0,0
States,Nebraska,Season 2021-22,29692,2,212,574,2,1,0,0
States,Nevada,Season 2021-22,101083,0,365,458,7,0,0,0
States,New Hampshire,Season 2021-22,65373,0,76,2,0,0,0,0
States,New Jersey,Season 2021-22,2031,1,227,16,2,0,0,0
States,New Mexico,Season 2021-22,3682,9,958,8,2,0,0,0
States,New York,Season 2021-22,92963,4,221,389,5,0,0,0
States,North Carolina,Season 2021-22,2007,0,43,2,0,3,0,0
States,North Dakota,Season 2021-22,1635,0,230,6,0,0,0,0
States,Ohio,Season 2021-22,15464,17,1064,21,3,4,0,1
States,Oklahoma,Season 2021-22,1966,0,41,5,0,0,0,0
States,Oregon,Season 2021-22,6562,1,203,5,1,0,0,0
States,Pennsylvania,Season 2021-22,176346,5,982,158,22,0,0,0
States,Rhode Island,Season 2021-22,11237,0,486,242,0,8,0,0
States,South Carolina,Season 2021-22,1149,0,36,98,0,0,0,0
States,South Dakota,Season 2021-22,5102,1,1102,225,3,0,0,0
States,Tennessee,Season 2021-22,647,1,148,2,0,0,0,0
States,Texas,Season 2021-22,19100,1,698,184,7,3,0,0
States,Utah,Season 2021-22,1255,1,712,0,0,0,0,0
States,Vermont,Season 2021-22,1334,0,78,2,0,0,0,0
States,Virginia,Season 2021-22,6960,2,91,6,0,0,0,0
States,Washington,Season 2021-22,27130,2,388,45,1,0,0,0
States,West Virginia,Season 2021-22,474,14,232,0,0,0,0,3
States,Wisconsin,Season 2021-22,5382,5,603,110,4,1,0,0
States,Wyoming,Season 2021-22,41606,0,873,898,11,0,0,0
States,American Samoa,Season 2021-22,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2021-22,520,1,199,0,0,0,0,0
States,Virgin Islands,Season 2021-22,X,X,X,X,X,X,X,X
States,New York City,Season 2021-22,X,X,X,X,X,X,X,X
States,Alabama,Season 2022-23,172,2,17,3,0,0,0,0
States,Alaska,Season 2022-23,2696,125,436,203,3,10,0,0
States,Arizona,Season 2022-23,1672,227,513,12,6,136,0,0
States,Arkansas,Season 2022-23,8219,99,30,97,4,2,0,0
States,California,Season 2022-23,10547,448,2593,253,26,56,0,0
States,Colorado,Season 2022-23,890,206,448,10,0,101,0,0
States,Connecticut,Season 2022-23,883,191,486,25,2,4,0,0
States,Delaware,Season 2022-23,737,100,109,23,0,11,0,0
States,District of Columbia,Season 2022-23,1729,77,292,17,1,19,0,0
States,Florida,Season 2022-23,2562,333,808,16,2,132,0,0
States,Georgia,Season 2022-23,3227,456,1034,206,3,155,0,0
States,Hawaii,Season 2022-23,896,93,270,16,14,44,0,0
States,Idaho,Season 2022-23,7915,401,1032,57,2,5,0,0
States,Illinois,Season 2022-23,54058,163,384,337,1,3,0,0
States,Indiana,Season 2022-23,864,17,24,3,0,4,0,0
States,Iowa,Season 2022-23,527,105,212,9,4,115,0,0
States,Kansas,Season 2022-23,1289,24,71,65,2,4,0,0
States,Kentucky,Season 2022-23,509,61,41,0,0,2,0,0
States,Louisiana,Season 2022-23,1619,27,13,1,5,5,0,0
States,Maine,Season 2022-23,279,7,2,0,1,1,0,0
States,Maryland,Season 2022-23,763,3,116,9,0,2,0,0
States,Massachusetts,Season 2022-23,861,101,327,2,2,1,0,0
States,Michigan,Season 2022-23,2088,293,495,7,6,68,0,1
States,Minnesota,Season 2022-23,2085,123,880,56,1,24,0,0
States,Mississippi,Season 2022-23,205,41,40,0,0,6,0,0
States,Missouri,Season 2022-23,1763,133,222,20,0,4,0,0
States,Montana,Season 2022-23,474,130,185,6,0,7,0,0
States,Nebraska,Season 2022-23,3132,35,82,196,7,6,0,0
States,Nevada,Season 2022-23,24186,67,120,259,5,7,0,0
States,New Hampshire,Season 2022-23,4146,25,29,6,1,4,0,0
States,New Jersey,Season 2022-23,1126,39,109,9,15,1,0,0
States,New Mexico,Season 2022-23,3090,343,654,60,3,27,0,1
States,New York,Season 2022-23,25846,105,442,461,44,9,0,0
States,North Carolina,Season 2022-23,987,88,250,8,0,10,0,0
States,North Dakota,Season 2022-23,467,82,174,1,0,1,0,0
States,Ohio,Season 2022-23,3448,752,381,4,0,26,0,0
States,Oklahoma,Season 2022-23,929,24,32,1,0,2,0,0
States,Oregon,Season 2022-23,16443,381,881,36,1,1,0,0
States,Pennsylvania,Season 2022-23,53220,232,352,43,0,35,0,0
States,Rhode Island,Season 2022-23,14622,59,171,1383,2,33,0,0
States,South Carolina,Season 2022-23,789,69,97,60,1,2,0,0
States,South Dakota,Season 2022-23,499,164,98,15,1,12,0,0
States,Tennessee,Season 2022-23,646,130,123,13,1,4,0,0
States,Texas,Season 2022-23,4082,193,263,11,56,8,0,0
States,Utah,Season 2022-23,1119,190,321,0,0,35,0,0
States,Vermont,Season 2022-23,163,15,82,2,0,0,0,0
States,Virginia,Season 2022-23,1461,41,118,16,0,1,0,0
States,Washington,Season 2022-23,9710,292,596,155,4,30,0,0
States,West Virginia,Season 2022-23,619,221,253,11,0,15,0,0
States,Wisconsin,Season 2022-23,2443,165,567,42,4,15,0,0
States,Wyoming,Season 2022-23,2905,59,123,188,11,4,0,0
States,American Samoa,Season 2022-23,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2022-23,624,41,262,19,0,48,0,0
States,Virgin Islands,Season 2022-23,X,X,X,X,X,X,X,X
States,New York City,Season 2022-23,X,X,X,X,X,X,X,X
States,Alabama,Season 2023-24 ,279,28,8,2,0,13,0,0
States,Alaska,Season 2023-24 ,65,7,1,3,4,0,0,0
States,Arizona,Season 2023-24 ,3199,528,152,11,5,215,0,0
States,Arkansas,Season 2023-24 ,1515,48,192,203,6,36,0,0
States,California,Season 2023-24 ,7480,1549,652,122,107,307,0,0
States,Colorado,Season 2023-24 ,1183,381,337,10,14,300,0,0
States,Connecticut,Season 2023-24 ,3143,567,429,93,4,185,0,0
States,Delaware,Season 2023-24 ,2062,318,190,75,20,171,0,0
States,District of Columbia,Season 2023-24 ,1771,401,326,37,5,197,0,0
States,Florida,Season 2023-24 ,2215,697,354,18,11,365,0,0
States,Georgia,Season 2023-24 ,3155,564,339,332,20,446,0,0
States,Hawaii,Season 2023-24 ,1353,286,126,14,4,85,0,0
States,Idaho,Season 2023-24 ,777,331,63,10,2,184,0,0
States,Illinois,Season 2023-24 ,4010,184,89,149,41,88,0,0
States,Indiana,Season 2023-24 ,325,45,60,5,1,50,0,0
States,Iowa,Season 2023-24 ,714,209,179,15,5,242,0,0
States,Kansas,Season 2023-24 ,361,11,12,8,3,15,0,0
States,Kentucky,Season 2023-24 ,994,242,191,0,1,173,0,0
States,Louisiana,Season 2023-24 ,2893,187,18,12,17,146,0,0
States,Maine,Season 2023-24 ,781,516,94,3,1,120,0,0
States,Maryland,Season 2023-24 ,2178,307,352,316,25,447,0,0
States,Massachusetts,Season 2023-24 ,876,345,196,4,5,1,0,0
States,Michigan,Season 2023-24 ,1884,512,256,8,13,218,0,0
States,Minnesota,Season 2023-24 ,2960,927,424,387,26,524,0,0
States,Mississippi,Season 2023-24 ,223,26,23,7,4,15,0,0
States,Missouri,Season 2023-24 ,838,238,116,25,3,40,0,0
States,Montana,Season 2023-24 ,537,161,134,1,1,147,0,0
States,Nebraska,Season 2023-24 ,542,65,20,23,22,95,0,0
States,Nevada,Season 2023-24 ,8653,318,151,1539,526,135,0,0
States,New Hampshire,Season 2023-24 ,1579,521,133,168,16,40,0,0
States,New Jersey,Season 2023-24 ,640,152,67,14,38,4,0,0
States,New Mexico,Season 2023-24 ,2413,442,161,16,4,260,0,0
States,New York,Season 2023-24 ,10018,649,208,284,45,90,0,0
States,North Carolina,Season 2023-24 ,445,146,26,5,0,29,0,0
States,North Dakota,Season 2023-24 ,640,207,75,12,7,188,0,0
States,Ohio,Season 2023-24 ,1005,470,294,2,4,172,0,0
States,Oklahoma,Season 2023-24 ,241,7,8,1,0,6,0,0
States,Oregon,Season 2023-24 ,5168,241,92,20,2,130,0,0
States,Pennsylvania,Season 2023-24 ,16606,478,161,54,10,163,0,0
States,Rhode Island,Season 2023-24 ,3355,179,43,247,31,80,0,0
States,South Carolina,Season 2023-24 ,894,268,28,24,17,246,0,0
States,South Dakota,Season 2023-24 ,665,134,151,29,12,259,0,0
States,Tennessee,Season 2023-24 ,465,52,52,5,4,65,0,0
States,Texas,Season 2023-24 ,2980,314,151,12,9,294,0,0
States,Utah,Season 2023-24 ,1135,358,148,0,1,220,0,0
States,Vermont,Season 2023-24 ,436,195,113,13,1,43,0,0
States,Virginia,Season 2023-24 ,1150,151,69,10,1,47,0,0
States,Washington,Season 2023-24 ,1544,299,78,35,10,54,0,0
States,West Virginia,Season 2023-24 ,918,322,200,12,14,223,0,0
States,Wisconsin,Season 2023-24 ,3134,430,267,59,10,183,0,0
States,Wyoming,Season 2023-24 ,639,38,8,45,21,23,0,0
States,American Samoa,Season 2023-24 ,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2023-24 ,409,183,38,3,0,53,0,0
States,Virgin Islands,Season 2023-24 ,X,X,X,X,X,X,X,X
States,New York City,Season 2023-24 ,X,X,X,X,X,X,X,X
