date,location_name,ili,pred_hosp,true_hosp,population,total_hosp
2012-10-06,Alabama,-0.01078914019640283,0.6,NA,5039877,30
2012-10-13,Alabama,-0.05036963480811225,0.56,NA,5039877,28
2012-10-20,Alabama,-0.11533713496200135,0.5,NA,5039877,25
2012-10-27,Alabama,0.03956973695015349,0.64,NA,5039877,32
2012-11-03,Alabama,0.30307009743048224,0.92,NA,5039877,46
2012-11-10,Alabama,0.5186322478652549,1.18,NA,5039877,59
2012-11-17,Alabama,0.5351596652042766,1.2,NA,5039877,60
2012-11-24,Alabama,0.7285383943006282,1.46,NA,5039877,74
2012-12-01,Alabama,0.7714181667499891,1.53,NA,5039877,77
2012-12-08,Alabama,1.1070028805379077,2.08,NA,5039877,105
2012-12-15,Alabama,1.9342316836414382,4,NA,5039877,202
2012-12-22,Alabama,2.413920105344934,5.62,NA,5039877,283
2012-12-29,Alabama,2.0669650622440625,4.4,NA,5039877,222
2013-01-05,Alabama,1.7917642873785153,3.6,NA,5039877,181
2013-01-12,Alabama,2.098420615556925,4.5,NA,5039877,227
2013-01-19,Alabama,2.4861739822460107,5.91,NA,5039877,298
2013-01-26,Alabama,2.6886759866657157,6.78,NA,5039877,342
2013-02-02,Alabama,2.298720715350944,5.19,NA,5039877,262
2013-02-09,Alabama,2.0095737001013063,4.22,NA,5039877,213
2013-02-16,Alabama,2.1321007465617647,4.61,NA,5039877,232
2013-02-23,Alabama,1.7570480900132046,3.5,NA,5039877,176
2013-03-02,Alabama,1.3517022399306613,2.55,NA,5039877,129
2013-03-09,Alabama,1.1136642713664795,2.09,NA,5039877,105
2013-03-16,Alabama,0.6554235052344267,1.36,NA,5039877,69
2013-03-23,Alabama,0.5104216426632187,1.17,NA,5039877,59
2013-03-30,Alabama,0.41042786496154904,1.04,NA,5039877,52
2013-04-06,Alabama,0.25446133953028466,0.86,NA,5039877,43
2013-04-13,Alabama,0.224851640084265,0.83,NA,5039877,42
2013-04-20,Alabama,0.2693486391572997,0.88,NA,5039877,44
2013-04-27,Alabama,0.4419345263849785,1.08,NA,5039877,54
2013-05-04,Alabama,0.3524061159881421,0.97,NA,5039877,49
2013-05-11,Alabama,0.21012200239008816,0.82,NA,5039877,41
2013-05-18,Alabama,0.13345860091155926,0.74,NA,5039877,37
2013-05-25,Alabama,0.2507484383729585,0.86,NA,5039877,43
2013-06-01,Alabama,0.17714128045378288,0.78,NA,5039877,39
2013-06-08,Alabama,0.0972534683958269,0.7,NA,5039877,35
2013-06-15,Alabama,0.16619214752683983,0.77,NA,5039877,39
2013-06-22,Alabama,-0.20277444323810667,0.43,NA,5039877,22
2013-06-29,Alabama,0.08280968326913726,0.69,NA,5039877,35
2013-07-06,Alabama,-0.17714128045378288,0.45,NA,5039877,23
2013-07-13,Alabama,-0.15162400289609237,0.47,NA,5039877,24
2013-07-20,Alabama,-0.6915187556342827,0.07,NA,5039877,4
2013-07-27,Alabama,-0.7521898905097305,0.03,NA,5039877,2
2013-08-03,Alabama,-2.413920105344937,0,NA,5039877,0
2013-08-10,Alabama,-0.21012200239008802,0.42,NA,5039877,21
2013-08-17,Alabama,0.0035963180457385955,0.61,NA,5039877,31
2013-08-24,Alabama,0.053970844473811924,0.66,NA,5039877,33
2013-08-31,Alabama,0.07559445217572813,0.68,NA,5039877,34
2013-09-07,Alabama,0.514522609493363,1.17,NA,5039877,59
2013-09-14,Alabama,0.5393142840761401,1.2,NA,5039877,60
2013-09-21,Alabama,0.4859921377923985,1.14,NA,5039877,57
2013-09-28,Alabama,0.5227506642331454,1.18,NA,5039877,59
2013-10-05,Alabama,0.14798710972583887,0.75,NA,5039877,38
2013-10-12,Alabama,0.29930691046566704,0.91,NA,5039877,46
2013-10-19,Alabama,0.5022453040632353,1.16,NA,5039877,58
2013-10-26,Alabama,0.5985127592436762,1.28,NA,5039877,65
2013-11-02,Alabama,0.5942165447011296,1.28,NA,5039877,65
2013-11-09,Alabama,0.7052875979325041,1.43,NA,5039877,72
2013-11-16,Alabama,0.44590323563078266,1.09,NA,5039877,55
2013-11-23,Alabama,0.7191914681609795,1.45,NA,5039877,73
2013-11-30,Alabama,0.46184931532059414,1.11,NA,5039877,56
2013-12-07,Alabama,0.7909359841415399,1.55,NA,5039877,78
2013-12-14,Alabama,0.8670041392377915,1.67,NA,5039877,84
2013-12-21,Alabama,1.0245079687615979,1.93,NA,5039877,97
2013-12-28,Alabama,1.1003902531625298,2.06,NA,5039877,104
2014-01-04,Alabama,0.8057742513181257,1.58,NA,5039877,80
2014-01-11,Alabama,0.8828239090294795,1.7,NA,5039877,86
2014-01-18,Alabama,1.0938253955092732,2.05,NA,5039877,103
2014-01-25,Alabama,1.2278262613112727,2.3,NA,5039877,116
2014-02-01,Alabama,1.291424061904367,2.43,NA,5039877,122
2014-02-08,Alabama,1.2669728643844405,2.38,NA,5039877,120
2014-02-15,Alabama,1.3339828743718876,2.51,NA,5039877,127
2014-02-22,Alabama,1.175991485934891,2.2,NA,5039877,111
2014-03-01,Alabama,1.2126829106287231,2.27,NA,5039877,114
2014-03-08,Alabama,1.2202196082080596,2.29,NA,5039877,115
2014-03-15,Alabama,1.1477396922278675,2.15,NA,5039877,108
2014-03-22,Alabama,0.8008085858644018,1.57,NA,5039877,79
2014-03-29,Alabama,0.7665845724497613,1.52,NA,5039877,77
2014-04-05,Alabama,0.6245275164971629,1.32,NA,5039877,67
