date,epiweek,year,cases,geography
3/14/20,10,2020,8,Colorado
3/21/20,11,2020,128,Colorado
3/28/20,12,2020,455,Colorado
4/4/20,13,2020,1724,Colorado
4/11/20,14,2020,2635,Colorado
4/18/20,15,2020,2353,Colorado
4/25/20,16,2020,2427,Colorado
5/2/20,17,2020,3710,Colorado
5/9/20,18,2020,3087,Colorado
5/16/20,19,2020,3068,Colorado
5/23/20,20,2020,2314,Colorado
5/30/20,21,2020,2231,Colorado
6/6/20,22,2020,2224,Colorado
6/13/20,23,2020,1623,Colorado
6/20/20,24,2020,1128,Colorado
6/27/20,25,2020,1409,Colorado
7/4/20,26,2020,1766,Colorado
7/11/20,27,2020,1810,Colorado
7/18/20,28,2020,2833,Colorado
7/25/20,29,2020,3249,Colorado
8/1/20,30,2020,4182,Colorado
8/8/20,31,2020,3435,Colorado
8/15/20,32,2020,3000,Colorado
8/22/20,33,2020,2389,Colorado
8/29/20,34,2020,2253,Colorado
9/5/20,35,2020,2074,Colorado
9/12/20,36,2020,2111,Colorado
9/19/20,37,2020,2015,Colorado
9/26/20,38,2020,3607,Colorado
10/3/20,39,2020,4224,Colorado
10/10/20,40,2020,3917,Colorado
10/17/20,41,2020,5363,Colorado
10/24/20,42,2020,7051,Colorado
10/31/20,43,2020,9939,Colorado
11/7/20,44,2020,14898,Colorado
11/14/20,45,2020,21230,Colorado
11/21/20,46,2020,32538,Colorado
11/28/20,47,2020,34888,Colorado
12/5/20,48,2020,30761,Colorado
12/12/20,49,2020,32403,Colorado
12/19/20,50,2020,27219,Colorado
12/26/20,51,2020,20843,Colorado
1/2/21,52,2020,15754,Colorado
1/9/21,53,2020,9303,Colorado
1/9/21,1,2021,20525,Colorado
1/16/21,2,2021,13902,Colorado
1/23/21,3,2021,11039,Colorado
1/30/21,4,2021,9178,Colorado
2/6/21,5,2021,10563,Colorado
2/13/21,6,2021,8156,Colorado
2/20/21,7,2021,7351,Colorado
2/27/21,8,2021,7762,Colorado
3/6/21,9,2021,6756,Colorado
3/13/21,10,2021,8227,Colorado
3/20/21,11,2021,6774,Colorado
3/27/21,12,2021,8100,Colorado
