date,epiweek,year,cases,geography
3/14/20,10,2020,4,Nevada
3/21/20,11,2020,22,Nevada
3/28/20,12,2020,164,Nevada
4/4/20,13,2020,730,Nevada
4/11/20,14,2020,960,Nevada
4/18/20,15,2020,980,Nevada
4/25/20,16,2020,850,Nevada
5/2/20,17,2020,928,Nevada
5/9/20,18,2020,835,Nevada
5/16/20,19,2020,647,Nevada
5/23/20,20,2020,815,Nevada
5/30/20,21,2020,951,Nevada
6/6/20,22,2020,742,Nevada
6/13/20,23,2020,1045,Nevada
6/20/20,24,2020,1526,Nevada
6/27/20,25,2020,2037,Nevada
7/4/20,26,2020,3951,Nevada
7/11/20,27,2020,5331,Nevada
7/18/20,28,2020,5227,Nevada
7/25/20,29,2020,8081,Nevada
8/1/20,30,2020,7093,Nevada
8/8/20,31,2020,7351,Nevada
8/15/20,32,2020,6008,Nevada
8/22/20,33,2020,5096,Nevada
8/29/20,34,2020,4304,Nevada
9/5/20,35,2020,3303,Nevada
9/12/20,36,2020,2730,Nevada
9/19/20,37,2020,1937,Nevada
9/26/20,38,2020,2266,Nevada
10/3/20,39,2020,2906,Nevada
10/10/20,40,2020,3314,Nevada
10/17/20,41,2020,3788,Nevada
10/24/20,42,2020,4452,Nevada
10/31/20,43,2020,5424,Nevada
11/7/20,44,2020,5796,Nevada
11/14/20,45,2020,8714,Nevada
11/21/20,46,2020,10436,Nevada
11/28/20,47,2020,14017,Nevada
12/5/20,48,2020,16064,Nevada
12/12/20,49,2020,17933,Nevada
12/19/20,50,2020,18744,Nevada
12/26/20,51,2020,16725,Nevada
1/2/21,52,2020,13426,Nevada
1/9/21,53,2020,7512,Nevada
1/9/21,1,2021,16889,Nevada
1/16/21,2,2021,13089,Nevada
1/23/21,3,2021,9182,Nevada
1/30/21,4,2021,7418,Nevada
2/6/21,5,2021,5690,Nevada
2/13/21,6,2021,4346,Nevada
2/20/21,7,2021,2541,Nevada
2/27/21,8,2021,2791,Nevada
3/6/21,9,2021,2452,Nevada
3/13/21,10,2021,3051,Nevada
3/20/21,11,2021,1869,Nevada
3/27/21,12,2021,1894,Nevada
4/3/21,13,2021,2103,Nevada
4/10/21,14,2021,2840,Nevada
4/17/21,15,2021,2211,Nevada
4/24/21,16,2021,2605,Nevada
5/1/21,17,2021,2598,Nevada
5/8/21,18,2021,2542,Nevada
5/15/21,19,2021,2559,Nevada
5/22/21,20,2021,1813,Nevada
5/29/21,21,2021,1396,Nevada
6/5/21,22,2021,1644,Nevada
6/12/21,23,2021,1748,Nevada
6/19/21,24,2021,1735,Nevada
6/26/21,25,2021,2739,Nevada
7/3/21,26,2021,3149,Nevada
7/10/21,27,2021,3309,Nevada
7/17/21,28,2021,5024,Nevada
7/24/21,29,2021,5947,Nevada
7/31/21,30,2021,7358,Nevada
8/7/21,31,2021,7173,Nevada
8/14/21,32,2021,7552,Nevada
8/21/21,33,2021,7574,Nevada
8/28/21,34,2021,7859,Nevada
9/4/21,35,2021,8036,Nevada
9/11/21,36,2021,7306,Nevada
9/18/21,37,2021,8203,Nevada
9/25/21,38,2021,6392,Nevada
10/2/21,39,2021,5833,Nevada
10/9/21,40,2021,13915,Nevada
10/16/21,41,2021,4777,Nevada
10/23/21,42,2021,4656,Nevada
10/30/21,43,2021,3645,Nevada
11/6/21,44,2021,5841,Nevada
11/13/21,45,2021,4715,Nevada
11/20/21,46,2021,4755,Nevada
11/27/21,47,2021,3141,Nevada
12/4/21,48,2021,5376,Nevada
12/11/21,49,2021,4932,Nevada
12/18/21,50,2021,5204,Nevada
12/25/21,51,2021,5993,Nevada
1/1/22,52,2021,11902,Nevada
1/8/22,53,2021,6704,Nevada
1/8/22,1,2022,27711,Nevada
1/15/22,2,2022,43877,Nevada
1/22/22,3,2022,41736,Nevada
1/29/22,4,2022,33583,Nevada
2/5/22,5,2022,17123,Nevada
2/12/22,6,2022,8111,Nevada
2/19/22,7,2022,4023,Nevada
2/26/22,8,2022,4042,Nevada
3/5/22,9,2022,3959,Nevada
3/12/22,10,2022,2708,Nevada
3/19/22,11,2022,23195,Nevada
3/26/22,12,2022,1155,Nevada
4/2/22,13,2022,1101,Nevada
4/9/22,14,2022,1147,Nevada
4/16/22,15,2022,1254,Nevada
4/23/22,16,2022,1462,Nevada
4/30/22,17,2022,2083,Nevada
5/7/22,18,2022,2682,Nevada
5/14/22,19,2022,2789,Nevada
5/21/22,20,2022,5744,Nevada
5/28/22,21,2022,4355,Nevada
6/4/22,22,2022,9171,Nevada
6/11/22,23,2022,8598,Nevada
6/18/22,24,2022,6812,Nevada
6/25/22,25,2022,8669,Nevada
7/2/22,26,2022,5570,Nevada
7/9/22,27,2022,9131,Nevada
7/16/22,28,2022,8399,Nevada
7/23/22,29,2022,6769,Nevada
7/30/22,30,2022,28360,Nevada
8/6/22,31,2022,5129,Nevada
8/13/22,32,2022,3268,Nevada
8/20/22,33,2022,2564,Nevada
8/27/22,34,2022,2516,Nevada
9/3/22,35,2022,2210,Nevada
9/10/22,36,2022,1525,Nevada
9/17/22,37,2022,1779,Nevada
9/24/22,38,2022,924,Nevada
10/1/22,39,2022,1113,Nevada
10/8/22,40,2022,1242,Nevada
10/15/22,41,2022,1290,Nevada
10/22/22,42,2022,144,Nevada
10/29/22,43,2022,2757,Nevada
11/5/22,44,2022,1741,Nevada
11/12/22,45,2022,2771,Nevada
11/19/22,46,2022,2064,Nevada
11/26/22,47,2022,2209,Nevada
12/3/22,48,2022,2660,Nevada
