date,epiweek,year,cases,geography
3/14/20,10,2020,6,New Jersey
3/21/20,11,2020,92,New Jersey
3/28/20,12,2020,1816,New Jersey
4/4/20,13,2020,11472,New Jersey
4/11/20,14,2020,24119,New Jersey
4/18/20,15,2020,24345,New Jersey
4/25/20,16,2020,23451,New Jersey
5/2/20,17,2020,23737,New Jersey
5/9/20,18,2020,17706,New Jersey
5/16/20,19,2020,11788,New Jersey
5/23/20,20,2020,7802,New Jersey
5/30/20,21,2020,7820,New Jersey
6/6/20,22,2020,6291,New Jersey
6/13/20,23,2020,3719,New Jersey
6/20/20,24,2020,2717,New Jersey
6/27/20,25,2020,2261,New Jersey
7/4/20,26,2020,3894,New Jersey
7/11/20,27,2020,2222,New Jersey
7/18/20,28,2020,1987,New Jersey
7/25/20,29,2020,1512,New Jersey
8/1/20,30,2020,2526,New Jersey
8/8/20,31,2020,2942,New Jersey
8/15/20,32,2020,2401,New Jersey
8/22/20,33,2020,2668,New Jersey
8/29/20,34,2020,2029,New Jersey
9/5/20,35,2020,2068,New Jersey
9/12/20,36,2020,2450,New Jersey
9/19/20,37,2020,2582,New Jersey
9/26/20,38,2020,3130,New Jersey
10/3/20,39,2020,3786,New Jersey
10/10/20,40,2020,4650,New Jersey
10/17/20,41,2020,5427,New Jersey
10/24/20,42,2020,6386,New Jersey
10/31/20,43,2020,8455,New Jersey
11/7/20,44,2020,11165,New Jersey
11/14/20,45,2020,14973,New Jersey
11/21/20,46,2020,24680,New Jersey
11/28/20,47,2020,26744,New Jersey
12/5/20,48,2020,28124,New Jersey
12/12/20,49,2020,33909,New Jersey
12/19/20,50,2020,32666,New Jersey
12/26/20,51,2020,31982,New Jersey
1/2/21,52,2020,28666,New Jersey
1/9/21,53,2020,16215,New Jersey
1/9/21,1,2021,90765,New Jersey
1/16/21,2,2021,42393,New Jersey
1/23/21,3,2021,35587,New Jersey
1/30/21,4,2021,34023,New Jersey
2/6/21,5,2021,25335,New Jersey
2/13/21,6,2021,23821,New Jersey
2/20/21,7,2021,20418,New Jersey
2/27/21,8,2021,22949,New Jersey
3/6/21,9,2021,23255,New Jersey
3/13/21,10,2021,25415,New Jersey
3/20/21,11,2021,27862,New Jersey
3/27/21,12,2021,30764,New Jersey
4/3/21,13,2021,30545,New Jersey
4/10/21,14,2021,26295,New Jersey
4/17/21,15,2021,25363,New Jersey
4/24/21,16,2021,19038,New Jersey
5/1/21,17,2021,2118,New Jersey
5/8/21,18,2021,7885,New Jersey
5/15/21,19,2021,2865,New Jersey
5/22/21,20,2021,3329,New Jersey
5/29/21,21,2021,2047,New Jersey
6/5/21,22,2021,1769,New Jersey
6/12/21,23,2021,1659,New Jersey
6/19/21,24,2021,1619,New Jersey
6/26/21,25,2021,1648,New Jersey
7/3/21,26,2021,1395,New Jersey
7/10/21,27,2021,1846,New Jersey
7/17/21,28,2021,2860,New Jersey
7/24/21,29,2021,4781,New Jersey
7/31/21,30,2021,6569,New Jersey
8/7/21,31,2021,8941,New Jersey
8/14/21,32,2021,11712,New Jersey
8/21/21,33,2021,13372,New Jersey
8/28/21,34,2021,14024,New Jersey
9/4/21,35,2021,14158,New Jersey
9/11/21,36,2021,15018,New Jersey
