date,epiweek,year,cases,geography
3/7/20,9,2020,2,Rhode Island
3/14/20,10,2020,1,Rhode Island
3/21/20,11,2020,17,Rhode Island
3/28/20,12,2020,63,Rhode Island
4/4/20,13,2020,211,Rhode Island
4/11/20,14,2020,628,Rhode Island
4/18/20,15,2020,1743,Rhode Island
4/25/20,16,2020,2041,Rhode Island
5/2/20,17,2020,2733,Rhode Island
5/9/20,18,2020,2038,Rhode Island
5/16/20,19,2020,1797,Rhode Island
5/23/20,20,2020,1400,Rhode Island
5/30/20,21,2020,1391,Rhode Island
6/6/20,22,2020,863,Rhode Island
6/13/20,23,2020,513,Rhode Island
6/20/20,24,2020,506,Rhode Island
6/27/20,25,2020,390,Rhode Island
7/4/20,26,2020,324,Rhode Island
7/11/20,27,2020,330,Rhode Island
7/18/20,28,2020,321,Rhode Island
7/25/20,29,2020,481,Rhode Island
8/1/20,30,2020,431,Rhode Island
8/8/20,31,2020,798,Rhode Island
8/15/20,32,2020,716,Rhode Island
8/22/20,33,2020,597,Rhode Island
8/29/20,34,2020,687,Rhode Island
9/5/20,35,2020,661,Rhode Island
9/12/20,36,2020,560,Rhode Island
9/19/20,37,2020,662,Rhode Island
9/26/20,38,2020,715,Rhode Island
10/3/20,39,2020,561,Rhode Island
10/10/20,40,2020,895,Rhode Island
10/17/20,41,2020,1218,Rhode Island
10/24/20,42,2020,1397,Rhode Island
10/31/20,43,2020,2427,Rhode Island
11/7/20,44,2020,2756,Rhode Island
11/14/20,45,2020,3506,Rhode Island
11/21/20,46,2020,5149,Rhode Island
11/28/20,47,2020,6472,Rhode Island
12/5/20,48,2020,5953,Rhode Island
12/12/20,49,2020,8183,Rhode Island
12/19/20,50,2020,8681,Rhode Island
12/26/20,51,2020,6994,Rhode Island
1/2/21,52,2020,4254,Rhode Island
1/9/21,53,2020,5883,Rhode Island
1/9/21,1,2021,9665,Rhode Island
1/16/21,2,2021,6829,Rhode Island
1/23/21,3,2021,5292,Rhode Island
1/30/21,4,2021,4703,Rhode Island
2/6/21,5,2021,3453,Rhode Island
2/13/21,6,2021,2930,Rhode Island
2/20/21,7,2021,2324,Rhode Island
2/27/21,8,2021,2477,Rhode Island
3/6/21,9,2021,2499,Rhode Island
3/13/21,10,2021,2381,Rhode Island
3/20/21,11,2021,2537,Rhode Island
3/27/21,12,2021,2736,Rhode Island
4/3/21,13,2021,2480,Rhode Island
4/10/21,14,2021,2842,Rhode Island
4/17/21,15,2021,3052,Rhode Island
4/24/21,16,2021,2175,Rhode Island
5/1/21,17,2021,1862,Rhode Island
5/8/21,18,2021,1391,Rhode Island
5/15/21,19,2021,808,Rhode Island
5/22/21,20,2021,873,Rhode Island
5/29/21,21,2021,485,Rhode Island
6/5/21,22,2021,249,Rhode Island
6/12/21,23,2021,221,Rhode Island
6/19/21,24,2021,170,Rhode Island
6/26/21,25,2021,131,Rhode Island
7/3/21,26,2021,129,Rhode Island
7/10/21,27,2021,86,Rhode Island
7/17/21,28,2021,242,Rhode Island
7/24/21,29,2021,476,Rhode Island
7/31/21,30,2021,892,Rhode Island
8/7/21,31,2021,1486,Rhode Island
8/14/21,32,2021,1764,Rhode Island
8/21/21,33,2021,2121,Rhode Island
8/28/21,34,2021,1991,Rhode Island
9/4/21,35,2021,2041,Rhode Island
9/11/21,36,2021,2107,Rhode Island
9/18/21,37,2021,2600,Rhode Island
9/25/21,38,2021,2251,Rhode Island
10/2/21,39,2021,2019,Rhode Island
10/9/21,40,2021,1851,Rhode Island
10/16/21,41,2021,1835,Rhode Island
10/23/21,42,2021,1593,Rhode Island
10/30/21,43,2021,1407,Rhode Island
11/6/21,44,2021,1674,Rhode Island
11/13/21,45,2021,2178,Rhode Island
11/20/21,46,2021,3130,Rhode Island
11/27/21,47,2021,2174,Rhode Island
12/4/21,48,2021,6297,Rhode Island
12/11/21,49,2021,6417,Rhode Island
12/18/21,50,2021,7478,Rhode Island
12/25/21,51,2021,8475,Rhode Island
1/1/22,52,2021,13868,Rhode Island
1/8/22,53,2021,0,Rhode Island
1/8/22,1,2022,34970,Rhode Island
1/15/22,2,2022,36043,Rhode Island
1/22/22,3,2022,25000,Rhode Island
1/29/22,4,2022,14298,Rhode Island
2/5/22,5,2022,6494,Rhode Island
2/12/22,6,2022,3943,Rhode Island
2/19/22,7,2022,2201,Rhode Island
2/26/22,8,2022,1464,Rhode Island
3/5/22,9,2022,1274,Rhode Island
3/12/22,10,2022,1019,Rhode Island
3/19/22,11,2022,1262,Rhode Island
3/26/22,12,2022,1108,Rhode Island
4/2/22,13,2022,1336,Rhode Island
4/9/22,14,2022,1864,Rhode Island
4/16/22,15,2022,2508,Rhode Island
4/23/22,16,2022,2366,Rhode Island
4/30/22,17,2022,3383,Rhode Island
5/7/22,18,2022,4268,Rhode Island
5/14/22,19,2022,5374,Rhode Island
5/21/22,20,2022,5812,Rhode Island
5/28/22,21,2022,4192,Rhode Island
6/4/22,22,2022,3298,Rhode Island
6/11/22,23,2022,2614,Rhode Island
6/18/22,24,2022,2095,Rhode Island
6/25/22,25,2022,1826,Rhode Island
7/2/22,26,2022,1944,Rhode Island
7/9/22,27,2022,1552,Rhode Island
7/16/22,28,2022,2064,Rhode Island
7/23/22,29,2022,1864,Rhode Island
7/30/22,30,2022,1867,Rhode Island
8/6/22,31,2022,2078,Rhode Island
8/13/22,32,2022,782,Rhode Island
8/20/22,33,2022,1672,Rhode Island
8/27/22,34,2022,1707,Rhode Island
9/3/22,35,2022,1997,Rhode Island
9/10/22,36,2022,1540,Rhode Island
9/17/22,37,2022,1564,Rhode Island
9/24/22,38,2022,1824,Rhode Island
10/1/22,39,2022,1898,Rhode Island
10/8/22,40,2022,1781,Rhode Island
10/15/22,41,2022,1632,Rhode Island
10/22/22,42,2022,1762,Rhode Island
10/29/22,43,2022,1406,Rhode Island
11/5/22,44,2022,1306,Rhode Island
11/12/22,45,2022,1305,Rhode Island
11/19/22,46,2022,1125,Rhode Island
11/26/22,47,2022,1126,Rhode Island
12/3/22,48,2022,1068,Rhode Island
