date,epiweek,year,cases,geography
2/22/20,7,2020,2,Texas
2/29/20,8,2020,2,Texas
3/7/20,9,2020,7,Texas
3/14/20,10,2020,12,Texas
3/21/20,11,2020,57,Texas
3/28/20,12,2020,559,Texas
4/4/20,13,2020,2083,Texas
4/11/20,14,2020,4395,Texas
4/18/20,15,2020,6659,Texas
4/25/20,16,2020,5665,Texas
5/2/20,17,2020,5768,Texas
5/9/20,18,2020,7090,Texas
5/16/20,19,2020,7738,Texas
5/23/20,20,2020,8791,Texas
5/30/20,21,2020,7222,Texas
6/6/20,22,2020,8924,Texas
6/13/20,23,2020,10974,Texas
6/20/20,24,2020,13594,Texas
6/27/20,25,2020,25344,Texas
7/4/20,26,2020,37980,Texas
7/11/20,27,2020,47271,Texas
7/18/20,28,2020,64674,Texas
7/25/20,29,2020,73225,Texas
8/1/20,30,2020,57702,Texas
8/8/20,31,2020,59021,Texas
8/15/20,32,2020,55633,Texas
8/22/20,33,2020,53072,Texas
8/29/20,34,2020,38680,Texas
9/5/20,35,2020,34403,Texas
9/12/20,36,2020,28791,Texas
9/19/20,37,2020,24603,Texas
9/26/20,38,2020,32519,Texas
10/3/20,39,2020,48079,Texas
10/10/20,40,2020,31901,Texas
10/17/20,41,2020,30310,Texas
10/24/20,42,2020,36626,Texas
10/31/20,43,2020,41216,Texas
11/7/20,44,2020,47197,Texas
11/14/20,45,2020,58983,Texas
11/21/20,46,2020,73728,Texas
11/28/20,47,2020,82261,Texas
12/5/20,48,2020,74122,Texas
12/12/20,49,2020,99366,Texas
12/19/20,50,2020,133556,Texas
12/26/20,51,2020,112080,Texas
1/2/21,52,2020,98136,Texas
1/9/21,53,2020,80506,Texas
1/9/21,1,2021,157699,Texas
1/16/21,2,2021,159310,Texas
1/23/21,3,2021,122458,Texas
1/30/21,4,2021,125111,Texas
2/6/21,5,2021,119357,Texas
2/13/21,6,2021,73874,Texas
2/20/21,7,2021,31188,Texas
2/27/21,8,2021,52904,Texas
3/6/21,9,2021,42290,Texas
3/13/21,10,2021,31570,Texas
3/20/21,11,2021,27069,Texas
3/27/21,12,2021,26850,Texas
4/3/21,13,2021,20304,Texas
4/10/21,14,2021,24652,Texas
4/17/21,15,2021,23534,Texas
4/24/21,16,2021,23203,Texas
5/1/21,17,2021,22749,Texas
5/8/21,18,2021,17246,Texas
5/15/21,19,2021,14438,Texas
5/22/21,20,2021,12366,Texas
5/29/21,21,2021,11226,Texas
6/5/21,22,2021,9866,Texas
6/12/21,23,2021,13852,Texas
6/19/21,24,2021,8174,Texas
6/26/21,25,2021,8717,Texas
7/3/21,26,2021,10211,Texas
7/10/21,27,2021,12551,Texas
7/17/21,28,2021,23984,Texas
7/24/21,29,2021,35962,Texas
7/31/21,30,2021,64598,Texas
8/7/21,31,2021,95759,Texas
8/14/21,32,2021,101605,Texas
8/21/21,33,2021,122559,Texas
8/28/21,34,2021,107190,Texas
9/4/21,35,2021,133437,Texas
9/11/21,36,2021,119573,Texas
9/18/21,37,2021,110937,Texas
9/25/21,38,2021,84458,Texas
10/2/21,39,2021,65744,Texas
10/9/21,40,2021,52997,Texas
10/16/21,41,2021,41492,Texas
10/23/21,42,2021,31163,Texas
10/30/21,43,2021,27808,Texas
11/6/21,44,2021,22486,Texas
11/13/21,45,2021,22919,Texas
11/20/21,46,2021,23074,Texas
11/27/21,47,2021,14168,Texas
12/4/21,48,2021,30325,Texas
12/11/21,49,2021,39973,Texas
12/18/21,50,2021,41196,Texas
12/25/21,51,2021,45255,Texas
1/1/22,52,2021,105068,Texas
1/8/22,1,2022,455612,Texas
1/8/22,53,2021,37855,Texas
1/15/22,2,2022,484958,Texas
1/22/22,3,2022,412064,Texas
1/29/22,4,2022,258577,Texas
2/5/22,5,2022,176469,Texas
2/12/22,6,2022,96495,Texas
2/19/22,7,2022,58197,Texas
2/26/22,8,2022,36490,Texas
3/5/22,9,2022,21846,Texas
3/12/22,10,2022,31782,Texas
3/19/22,11,2022,19249,Texas
3/26/22,12,2022,35080,Texas
4/2/22,13,2022,18568,Texas
4/9/22,14,2022,18350,Texas
4/16/22,15,2022,10463,Texas
4/23/22,16,2022,21947,Texas
4/30/22,17,2022,15874,Texas
5/7/22,18,2022,19530,Texas
5/14/22,19,2022,23830,Texas
5/21/22,20,2022,28212,Texas
5/28/22,21,2022,23993,Texas
6/4/22,22,2022,51587,Texas
6/11/22,23,2022,45728,Texas
6/18/22,24,2022,44837,Texas
6/25/22,25,2022,70188,Texas
7/2/22,26,2022,56800,Texas
7/9/22,27,2022,93402,Texas
7/16/22,28,2022,87454,Texas
7/23/22,29,2022,83581,Texas
7/30/22,30,2022,60466,Texas
8/6/22,31,2022,76673,Texas
8/13/22,32,2022,69422,Texas
8/20/22,33,2022,58005,Texas
8/27/22,34,2022,53782,Texas
9/3/22,35,2022,56949,Texas
9/10/22,36,2022,42345,Texas
9/17/22,37,2022,37721,Texas
9/24/22,38,2022,25664,Texas
10/1/22,39,2022,18814,Texas
10/8/22,40,2022,2580,Texas
10/15/22,41,2022,13416,Texas
10/22/22,42,2022,11464,Texas
10/29/22,43,2022,11534,Texas
11/5/22,44,2022,11342,Texas
11/12/22,45,2022,8963,Texas
11/19/22,46,2022,15816,Texas
11/26/22,47,2022,9536,Texas
12/3/22,48,2022,20283,Texas
12/10/22,49,2022,29932,Texas
12/17/22,50,2022,30116,Texas
12/24/22,51,2022,30956,Texas
12/31/22,52,2022,39500,Texas
1/7/23,1,2023,40273,Texas
1/14/23,2,2023,36003,Texas
1/21/23,3,2023,28014,Texas
1/28/23,4,2023,24402,Texas
2/4/23,5,2023,22525,Texas
2/11/23,6,2023,20188,Texas
2/18/23,7,2023,18066,Texas
2/25/23,8,2023,15972,Texas
3/4/23,9,2023,21070,Texas
3/11/23,10,2023,12384,Texas
3/18/23,11,2023,87445,Texas
3/25/23,12,2023,9503,Texas
12/30/23,52,2023,0,Texas
