date,epiweek,year,cases,geography
3/14/20,10,2020,2,Virginia
3/21/20,11,2020,43,Virginia
3/28/20,12,2020,174,Virginia
4/4/20,13,2020,670,Virginia
4/11/20,14,2020,1747,Virginia
4/18/20,15,2020,2637,Virginia
4/25/20,16,2020,3263,Virginia
5/2/20,17,2020,4433,Virginia
5/9/20,18,2020,5704,Virginia
5/16/20,19,2020,5408,Virginia
5/23/20,20,2020,6307,Virginia
5/30/20,21,2020,5856,Virginia
6/6/20,22,2020,8363,Virginia
6/13/20,23,2020,6074,Virginia
6/20/20,24,2020,3825,Virginia
6/27/20,25,2020,3488,Virginia
7/4/20,26,2020,3742,Virginia
7/11/20,27,2020,4012,Virginia
7/18/20,28,2020,4922,Virginia
7/25/20,29,2020,6760,Virginia
8/1/20,30,2020,7137,Virginia
8/8/20,31,2020,7215,Virginia
8/15/20,32,2020,8304,Virginia
8/22/20,33,2020,6601,Virginia
8/29/20,34,2020,6279,Virginia
9/5/20,35,2020,6781,Virginia
9/12/20,36,2020,7179,Virginia
9/19/20,37,2020,6888,Virginia
9/26/20,38,2020,6697,Virginia
10/3/20,39,2020,5633,Virginia
10/10/20,40,2020,5726,Virginia
10/17/20,41,2020,6846,Virginia
10/24/20,42,2020,7422,Virginia
10/31/20,43,2020,7233,Virginia
11/7/20,44,2020,9021,Virginia
11/14/20,45,2020,9783,Virginia
11/21/20,46,2020,9785,Virginia
11/28/20,47,2020,15836,Virginia
12/5/20,48,2020,18146,Virginia
12/12/20,49,2020,19111,Virginia
12/19/20,50,2020,26856,Virginia
12/26/20,51,2020,24939,Virginia
1/2/21,52,2020,26728,Virginia
1/9/21,53,2020,16008,Virginia
1/9/21,1,2021,35091,Virginia
1/16/21,2,2021,40449,Virginia
1/23/21,3,2021,33142,Virginia
1/30/21,4,2021,32332,Virginia
2/6/21,5,2021,24346,Virginia
2/13/21,6,2021,20874,Virginia
2/20/21,7,2021,14116,Virginia
2/27/21,8,2021,11935,Virginia
3/6/21,9,2021,9650,Virginia
3/13/21,10,2021,9035,Virginia
3/20/21,11,2021,10173,Virginia
3/27/21,12,2021,10458,Virginia
4/3/21,13,2021,9782,Virginia
4/10/21,14,2021,10404,Virginia
4/17/21,15,2021,10581,Virginia
4/24/21,16,2021,8077,Virginia
5/1/21,17,2021,7104,Virginia
5/8/21,18,2021,5336,Virginia
5/15/21,19,2021,3542,Virginia
5/22/21,20,2021,2837,Virginia
5/29/21,21,2021,2363,Virginia
6/5/21,22,2021,1349,Virginia
6/12/21,23,2021,1003,Virginia
6/19/21,24,2021,905,Virginia
6/26/21,25,2021,1179,Virginia
7/3/21,26,2021,1244,Virginia
7/10/21,27,2021,1601,Virginia
7/17/21,28,2021,1826,Virginia
7/24/21,29,2021,3801,Virginia
7/31/21,30,2021,6084,Virginia
8/7/21,31,2021,10280,Virginia
8/14/21,32,2021,13162,Virginia
8/21/21,33,2021,16253,Virginia
8/28/21,34,2021,20573,Virginia
9/4/21,35,2021,23515,Virginia
9/11/21,36,2021,23660,Virginia
9/18/21,37,2021,25370,Virginia
9/25/21,38,2021,22668,Virginia
10/2/21,39,2021,19463,Virginia
10/9/21,40,2021,18831,Virginia
10/16/21,41,2021,14779,Virginia
10/23/21,42,2021,11817,Virginia
10/30/21,43,2021,10016,Virginia
11/6/21,44,2021,8771,Virginia
11/13/21,45,2021,9295,Virginia
11/20/21,46,2021,10623,Virginia
11/27/21,47,2021,10279,Virginia
12/4/21,48,2021,12860,Virginia
12/11/21,49,2021,17470,Virginia
12/18/21,50,2021,19321,Virginia
12/25/21,51,2021,35946,Virginia
1/1/22,52,2021,69182,Virginia
1/8/22,53,2021,14181,Virginia
1/8/22,1,2022,102518,Virginia
1/15/22,2,2022,130381,Virginia
1/22/22,3,2022,100296,Virginia
1/29/22,4,2022,73890,Virginia
2/5/22,5,2022,46419,Virginia
2/12/22,6,2022,30655,Virginia
2/19/22,7,2022,20008,Virginia
2/26/22,8,2022,13825,Virginia
3/5/22,9,2022,9281,Virginia
3/12/22,10,2022,7421,Virginia
3/19/22,11,2022,6498,Virginia
3/26/22,12,2022,5372,Virginia
4/2/22,13,2022,4668,Virginia
4/9/22,14,2022,6095,Virginia
4/16/22,15,2022,7422,Virginia
4/23/22,16,2022,8001,Virginia
4/30/22,17,2022,10190,Virginia
5/7/22,18,2022,14020,Virginia
5/14/22,19,2022,17710,Virginia
5/21/22,20,2022,22102,Virginia
5/28/22,21,2022,22523,Virginia
6/4/22,22,2022,19887,Virginia
6/11/22,23,2022,20114,Virginia
6/18/22,24,2022,17777,Virginia
6/25/22,25,2022,17379,Virginia
7/2/22,26,2022,19654,Virginia
7/9/22,27,2022,18349,Virginia
7/16/22,28,2022,21244,Virginia
7/23/22,29,2022,21149,Virginia
7/30/22,30,2022,21350,Virginia
8/6/22,31,2022,20291,Virginia
8/13/22,32,2022,18867,Virginia
8/20/22,33,2022,17183,Virginia
8/27/22,34,2022,17422,Virginia
9/3/22,35,2022,16908,Virginia
9/10/22,36,2022,13195,Virginia
9/17/22,37,2022,11600,Virginia
9/24/22,38,2022,10080,Virginia
10/1/22,39,2022,8446,Virginia
10/8/22,40,2022,7192,Virginia
10/15/22,41,2022,7029,Virginia
10/22/22,42,2022,7142,Virginia
10/29/22,43,2022,7537,Virginia
11/5/22,44,2022,7324,Virginia
11/12/22,45,2022,6962,Virginia
11/19/22,46,2022,5865,Virginia
11/26/22,47,2022,6045,Virginia
12/3/22,48,2022,9419,Virginia
12/10/22,49,2022,10147,Virginia
12/17/22,50,2022,12379,Virginia
12/24/22,51,2022,14950,Virginia
12/31/22,52,2022,14819,Virginia
1/7/23,1,2023,16950,Virginia
1/14/23,2,2023,12936,Virginia
1/21/23,3,2023,10560,Virginia
1/28/23,4,2023,10082,Virginia
2/4/23,5,2023,8953,Virginia
2/11/23,6,2023,7872,Virginia
2/18/23,7,2023,6835,Virginia
2/25/23,8,2023,5289,Virginia
3/4/23,9,2023,4939,Virginia
3/11/23,10,2023,2017,Virginia
3/18/23,11,2023,4135,Virginia
3/25/23,12,2023,2214,Virginia
12/30/23,52,2023,0,Virginia
