date,epiweek,year,cases,geography
3/28/20,12,2020,16,West Virginia
4/4/20,13,2020,108,West Virginia
4/11/20,14,2020,201,West Virginia
4/18/20,15,2020,290,West Virginia
4/25/20,16,2020,275,West Virginia
5/2/20,17,2020,164,West Virginia
5/9/20,18,2020,142,West Virginia
5/16/20,19,2020,167,West Virginia
5/23/20,20,2020,129,West Virginia
5/30/20,21,2020,279,West Virginia
6/6/20,22,2020,239,West Virginia
6/13/20,23,2020,134,West Virginia
6/20/20,24,2020,146,West Virginia
6/27/20,25,2020,253,West Virginia
7/4/20,26,2020,288,West Virginia
7/11/20,27,2020,504,West Virginia
7/18/20,28,2020,909,West Virginia
7/25/20,29,2020,798,West Virginia
8/1/20,30,2020,918,West Virginia
8/8/20,31,2020,894,West Virginia
8/15/20,32,2020,840,West Virginia
8/22/20,33,2020,870,West Virginia
8/29/20,34,2020,708,West Virginia
9/5/20,35,2020,838,West Virginia
9/12/20,36,2020,1302,West Virginia
9/19/20,37,2020,1287,West Virginia
9/26/20,38,2020,1355,West Virginia
10/3/20,39,2020,1294,West Virginia
10/10/20,40,2020,1280,West Virginia
10/17/20,41,2020,1500,West Virginia
10/24/20,42,2020,1953,West Virginia
10/31/20,43,2020,1825,West Virginia
11/7/20,44,2020,2977,West Virginia
11/14/20,45,2020,3521,West Virginia
11/21/20,46,2020,5255,West Virginia
11/28/20,47,2020,6819,West Virginia
12/5/20,48,2020,6519,West Virginia
12/12/20,49,2020,8000,West Virginia
12/19/20,50,2020,8220,West Virginia
12/26/20,51,2020,9125,West Virginia
1/2/21,52,2020,8368,West Virginia
1/9/21,53,2020,4624,West Virginia
1/9/21,1,2021,10154,West Virginia
1/16/21,2,2021,7609,West Virginia
1/23/21,3,2021,6486,West Virginia
1/30/21,4,2021,5694,West Virginia
2/6/21,5,2021,3707,West Virginia
2/13/21,6,2021,2880,West Virginia
2/20/21,7,2021,2028,West Virginia
2/27/21,8,2021,2239,West Virginia
3/6/21,9,2021,1590,West Virginia
3/13/21,10,2021,2023,West Virginia
3/20/21,11,2021,2358,West Virginia
3/27/21,12,2021,2787,West Virginia
4/3/21,13,2021,2843,West Virginia
4/10/21,14,2021,2713,West Virginia
4/17/21,15,2021,2718,West Virginia
4/24/21,16,2021,2495,West Virginia
5/1/21,17,2021,2536,West Virginia
5/8/21,18,2021,2488,West Virginia
5/15/21,19,2021,2062,West Virginia
5/22/21,20,2021,1267,West Virginia
5/29/21,21,2021,1552,West Virginia
6/5/21,22,2021,945,West Virginia
6/12/21,23,2021,707,West Virginia
6/19/21,24,2021,443,West Virginia
6/26/21,25,2021,422,West Virginia
7/3/21,26,2021,345,West Virginia
7/10/21,27,2021,316,West Virginia
7/17/21,28,2021,468,West Virginia
7/24/21,29,2021,769,West Virginia
7/31/21,30,2021,1314,West Virginia
8/7/21,31,2021,2146,West Virginia
8/14/21,32,2021,2835,West Virginia
8/21/21,33,2021,5536,West Virginia
8/28/21,34,2021,9986,West Virginia
9/4/21,35,2021,10465,West Virginia
9/11/21,36,2021,12305,West Virginia
9/18/21,37,2021,12828,West Virginia
9/25/21,38,2021,11685,West Virginia
10/2/21,39,2021,9896,West Virginia
10/9/21,40,2021,8440,West Virginia
10/16/21,41,2021,7306,West Virginia
10/23/21,42,2021,6077,West Virginia
10/30/21,43,2021,6011,West Virginia
11/6/21,44,2021,5639,West Virginia
11/13/21,45,2021,4904,West Virginia
11/20/21,46,2021,5892,West Virginia
11/27/21,47,2021,1942,West Virginia
12/4/21,48,2021,9751,West Virginia
12/11/21,49,2021,6772,West Virginia
12/18/21,50,2021,7359,West Virginia
12/25/21,51,2021,4244,West Virginia
1/1/22,52,2021,9127,West Virginia
1/8/22,1,2022,29818,West Virginia
1/8/22,53,2021,5724,West Virginia
1/15/22,2,2022,29135,West Virginia
1/22/22,3,2022,31772,West Virginia
1/29/22,4,2022,26174,West Virginia
2/5/22,5,2022,18296,West Virginia
2/12/22,6,2022,12703,West Virginia
2/19/22,7,2022,5758,West Virginia
2/26/22,8,2022,6541,West Virginia
3/5/22,9,2022,3917,West Virginia
3/12/22,10,2022,2599,West Virginia
3/19/22,11,2022,1534,West Virginia
3/26/22,12,2022,821,West Virginia
4/2/22,13,2022,634,West Virginia
4/9/22,14,2022,550,West Virginia
4/16/22,15,2022,476,West Virginia
4/23/22,16,2022,906,West Virginia
4/30/22,17,2022,1408,West Virginia
5/7/22,18,2022,1726,West Virginia
5/14/22,19,2022,2598,West Virginia
5/21/22,20,2022,3723,West Virginia
5/28/22,21,2022,4702,West Virginia
6/4/22,22,2022,4108,West Virginia
6/11/22,23,2022,4000,West Virginia
6/18/22,24,2022,3025,West Virginia
6/25/22,25,2022,4176,West Virginia
7/2/22,26,2022,3951,West Virginia
7/9/22,27,2022,4230,West Virginia
7/16/22,28,2022,5444,West Virginia
7/23/22,29,2022,5890,West Virginia
7/30/22,30,2022,6330,West Virginia
8/6/22,31,2022,6168,West Virginia
8/13/22,32,2022,6151,West Virginia
8/20/22,33,2022,5428,West Virginia
8/27/22,34,2022,5681,West Virginia
9/3/22,35,2022,6236,West Virginia
9/10/22,36,2022,5670,West Virginia
9/17/22,37,2022,4603,West Virginia
9/24/22,38,2022,3193,West Virginia
10/1/22,39,2022,2321,West Virginia
10/8/22,40,2022,1903,West Virginia
10/15/22,41,2022,1647,West Virginia
10/22/22,42,2022,1722,West Virginia
10/29/22,43,2022,1536,West Virginia
11/5/22,44,2022,1990,West Virginia
11/12/22,45,2022,1319,West Virginia
11/19/22,46,2022,1587,West Virginia
11/26/22,47,2022,903,West Virginia
