date,epiweek,year,cases,geography
3/21/20,11,2020,3,Wyoming
3/28/20,12,2020,23,Wyoming
4/4/20,13,2020,62,Wyoming
4/11/20,14,2020,112,Wyoming
4/18/20,15,2020,164,Wyoming
4/25/20,16,2020,58,Wyoming
5/2/20,17,2020,80,Wyoming
5/9/20,18,2020,84,Wyoming
5/16/20,19,2020,76,Wyoming
5/23/20,20,2020,92,Wyoming
5/30/20,21,2020,59,Wyoming
6/6/20,22,2020,90,Wyoming
6/13/20,23,2020,44,Wyoming
6/20/20,24,2020,113,Wyoming
6/27/20,25,2020,137,Wyoming
7/4/20,26,2020,220,Wyoming
7/11/20,27,2020,217,Wyoming
7/18/20,28,2020,228,Wyoming
7/25/20,29,2020,264,Wyoming
8/1/20,30,2020,349,Wyoming
8/8/20,31,2020,333,Wyoming
8/15/20,32,2020,242,Wyoming
8/22/20,33,2020,236,Wyoming
8/29/20,34,2020,293,Wyoming
9/5/20,35,2020,241,Wyoming
9/12/20,36,2020,212,Wyoming
9/19/20,37,2020,314,Wyoming
9/26/20,38,2020,525,Wyoming
10/3/20,39,2020,762,Wyoming
10/10/20,40,2020,871,Wyoming
10/17/20,41,2020,1107,Wyoming
10/24/20,42,2020,1414,Wyoming
10/31/20,43,2020,2016,Wyoming
11/7/20,44,2020,2682,Wyoming
11/14/20,45,2020,3587,Wyoming
11/21/20,46,2020,5184,Wyoming
11/28/20,47,2020,5675,Wyoming
12/5/20,48,2020,4320,Wyoming
12/12/20,49,2020,3828,Wyoming
12/19/20,50,2020,3043,Wyoming
12/26/20,51,2020,2302,Wyoming
1/2/21,52,2020,1538,Wyoming
1/9/21,53,2020,1209,Wyoming
1/9/21,1,2021,1957,Wyoming
1/16/21,2,2021,2531,Wyoming
1/23/21,3,2021,1535,Wyoming
1/30/21,4,2021,1014,Wyoming
2/6/21,5,2021,715,Wyoming
2/13/21,6,2021,509,Wyoming
2/20/21,7,2021,659,Wyoming
2/27/21,8,2021,599,Wyoming
3/6/21,9,2021,370,Wyoming
3/13/21,10,2021,399,Wyoming
3/20/21,11,2021,418,Wyoming
3/27/21,12,2021,465,Wyoming
4/3/21,13,2021,401,Wyoming
4/10/21,14,2021,426,Wyoming
4/17/21,15,2021,394,Wyoming
4/24/21,16,2021,429,Wyoming
5/1/21,17,2021,446,Wyoming
5/8/21,18,2021,481,Wyoming
5/15/21,19,2021,456,Wyoming
5/22/21,20,2021,581,Wyoming
5/29/21,21,2021,484,Wyoming
6/5/21,22,2021,479,Wyoming
6/12/21,23,2021,492,Wyoming
6/19/21,24,2021,375,Wyoming
6/26/21,25,2021,461,Wyoming
7/3/21,26,2021,494,Wyoming
7/10/21,27,2021,521,Wyoming
7/17/21,28,2021,557,Wyoming
7/24/21,29,2021,728,Wyoming
7/31/21,30,2021,876,Wyoming
8/7/21,31,2021,1326,Wyoming
8/14/21,32,2021,1819,Wyoming
8/21/21,33,2021,2399,Wyoming
8/28/21,34,2021,2796,Wyoming
9/4/21,35,2021,3739,Wyoming
9/11/21,36,2021,3437,Wyoming
9/18/21,37,2021,3315,Wyoming
9/25/21,38,2021,3908,Wyoming
10/2/21,39,2021,3303,Wyoming
10/9/21,40,2021,3134,Wyoming
10/16/21,41,2021,2834,Wyoming
10/23/21,42,2021,3037,Wyoming
10/30/21,43,2021,2752,Wyoming
11/6/21,44,2021,2392,Wyoming
11/13/21,45,2021,2165,Wyoming
11/20/21,46,2021,1835,Wyoming
11/27/21,47,2021,946,Wyoming
12/4/21,48,2021,1548,Wyoming
12/11/21,49,2021,1050,Wyoming
12/18/21,50,2021,722,Wyoming
12/25/21,51,2021,658,Wyoming
1/1/22,52,2021,1396,Wyoming
1/8/22,1,2022,4219,Wyoming
1/8/22,53,2021,466,Wyoming
1/15/22,2,2022,6611,Wyoming
1/22/22,3,2022,8901,Wyoming
1/29/22,4,2022,9157,Wyoming
2/5/22,5,2022,5316,Wyoming
2/12/22,6,2022,2739,Wyoming
2/19/22,7,2022,1501,Wyoming
2/26/22,8,2022,827,Wyoming
3/5/22,9,2022,517,Wyoming
3/12/22,10,2022,318,Wyoming
3/19/22,11,2022,163,Wyoming
3/26/22,12,2022,149,Wyoming
4/2/22,13,2022,111,Wyoming
4/9/22,14,2022,114,Wyoming
4/16/22,15,2022,-23,Wyoming
4/23/22,16,2022,134,Wyoming
4/30/22,17,2022,158,Wyoming
5/7/22,18,2022,195,Wyoming
5/14/22,19,2022,286,Wyoming
5/21/22,20,2022,378,Wyoming
5/28/22,21,2022,452,Wyoming
6/4/22,22,2022,611,Wyoming
6/11/22,23,2022,1235,Wyoming
6/18/22,24,2022,2453,Wyoming
6/25/22,25,2022,1180,Wyoming
7/2/22,26,2022,1116,Wyoming
7/9/22,27,2022,1163,Wyoming
7/16/22,28,2022,1767,Wyoming
7/23/22,29,2022,1292,Wyoming
7/30/22,30,2022,1353,Wyoming
8/6/22,31,2022,1291,Wyoming
8/13/22,32,2022,1151,Wyoming
8/20/22,33,2022,1014,Wyoming
8/27/22,34,2022,726,Wyoming
9/3/22,35,2022,615,Wyoming
9/10/22,36,2022,462,Wyoming
9/17/22,37,2022,456,Wyoming
9/24/22,38,2022,510,Wyoming
10/1/22,39,2022,472,Wyoming
10/8/22,40,2022,437,Wyoming
10/15/22,41,2022,470,Wyoming
10/22/22,42,2022,397,Wyoming
10/29/22,43,2022,412,Wyoming
11/5/22,44,2022,422,Wyoming
11/12/22,45,2022,500,Wyoming
11/19/22,46,2022,472,Wyoming
11/26/22,47,2022,588,Wyoming
12/3/22,48,2022,499,Wyoming
12/10/22,49,2022,770,Wyoming
12/17/22,50,2022,503,Wyoming
12/24/22,51,2022,383,Wyoming
12/31/22,52,2022,266,Wyoming
1/7/23,1,2023,304,Wyoming
1/14/23,2,2023,234,Wyoming
1/21/23,3,2023,201,Wyoming
1/28/23,4,2023,188,Wyoming
2/4/23,5,2023,-601,Wyoming
2/11/23,6,2023,1078,Wyoming
2/18/23,7,2023,254,Wyoming
2/25/23,8,2023,311,Wyoming
3/4/23,9,2023,343,Wyoming
3/11/23,10,2023,226,Wyoming
3/18/23,11,2023,255,Wyoming
3/25/23,12,2023,160,Wyoming
12/30/23,52,2023,0,Wyoming
