"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-11-2024)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,EIP,2021-22,2021,40,Overall,Female,Overall,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Male,Overall,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,White,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Black,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0,null,null
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Female,Overall,0,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Male,Overall,0,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,White,0,0,0.02,0.02
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Black,0,0,0.02,0.02
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0,0.03,0.03
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Overall,0,0,0.02,0.02
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Male,Overall,0.1,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Female,Overall,0.1,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,White,0.1,0,0.06,0.04
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Black,0,0,0.04,0.02
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Hispanic/Latino,0,0,0.03,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Asian/Pacific Islander,0.1,0.1,0.08,0.08
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,American Indian/Alaska Native,0.6,0.6,0.51,0.51
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Overall,0.1,0,0.06,0.04
Entire Network,EIP,2021-22,2021,41,Overall,Male,Overall,0.1,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Female,Overall,0,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,White,0.1,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,Black,0,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,Hispanic/Latino,0,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,Asian/Pacific Islander,0,0,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,American Indian/Alaska Native,0.6,0.6,null,null
Entire Network,EIP,2021-22,2021,41,Overall,Overall,Overall,0.1,0,null,null
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Female,Overall,0.1,0,null,null
