week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled
2023-06-03,Michigan,0.54,0.22,0.01,23-24,2023,22,0.894708,0.09034982699885258,0.03667953667953668,0.007352941176470588,0.0679824561403509
2023-06-17,Michigan,0.45,0.17,0.01,23-24,2023,24,0.732877,0.061561190817152465,0.027027027027027032,0.007352941176470588,0.048245614035087724
2023-07-22,Michigan,0.4,0.04,0,23-24,2023,29,0.408168,0.0037976642621434316,0.001930501930501931,0,0.03728070175438597
2023-08-12,Michigan,0.85,0.04,0.01,23-24,2023,32,0.447806,0.010848995348092538,0.001930501930501931,0.007352941176470588,0.13596491228070176
2023-09-09,Michigan,1.96,0.05,0.02,23-24,2023,36,0.756595,0.06578046198866822,0.003861003861003862,0.014705882352941176,0.3793859649122807
2023-09-16,Michigan,2.01,0.09,0.02,23-24,2023,37,0.855999,0.083463758705649,0.011583011583011582,0.014705882352941176,0.39035087719298245
2023-09-30,Michigan,1.86,0.09,0.04,23-24,2023,39,1.07294,0.1220560897293355,0.011583011583011582,0.029411764705882353,0.35745614035087725
2023-10-07,Michigan,1.51,0.09,0.05,23-24,2023,40,1.01287,0.11137004456224929,0.011583011583011582,0.03676470588235294,0.28070175438596495
2023-10-21,Michigan,1.43,0.13,0.12,23-24,2023,42,1.16954,0.13924057388349775,0.019305019305019308,0.08823529411764705,0.2631578947368421
2023-11-04,Michigan,1.59,0.18,0.25,23-24,2023,44,1.2338,0.15067199160344047,0.02895752895752896,0.1838235294117647,0.29824561403508776
2023-11-11,Michigan,1.83,0.22,0.34,23-24,2023,45,1.39634,0.17958675407153088,0.03667953667953668,0.25,0.3508771929824562
2023-11-25,Michigan,2.83,0.48,0.68,23-24,2023,47,1.79911,0.2512368025474308,0.08687258687258687,0.5,0.5701754385964913
2024-01-13,Michigan,3.08,2.27,0.89,23-24,2024,2,3.19877,0.5002268138436496,0.4324324324324325,0.6544117647058824,0.6250000000000001
2024-02-10,Michigan,2,3.87,0.34,23-24,2024,6,4.80751,0.7864107376341982,0.7413127413127414,0.25,0.38815789473684215
