week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled
2022-10-08,Wyoming,2.19,0.28,0.06,22-23,2022,40,2.39401,0.2334828683890784,0.025333333333333336,0.018691588785046728,0.45373134328358217
2022-10-29,Wyoming,2.56,0.73,0.54,22-23,2022,43,2.05585,0.19469574370492057,0.08533333333333333,0.16822429906542058,0.564179104477612
2023-01-14,Wyoming,1.62,1.82,0.63,22-23,2023,2,1.4442,0.12453917636086709,0.23066666666666666,0.19626168224299065,0.28358208955223885
2023-01-28,Wyoming,1.62,0.32,0.39,22-23,2023,4,2.02877,0.19158965387629806,0.03066666666666667,0.12149532710280374,0.28358208955223885
2023-03-04,Wyoming,1.51,0.23,0.16,22-23,2023,9,1.88201,0.1747562069321089,0.018666666666666668,0.04984423676012461,0.25074626865671645
2023-03-25,Wyoming,1.62,0.17,0.3,22-23,2023,12,1.03761,0.07790309573237252,0.010666666666666668,0.09345794392523364,0.28358208955223885
2023-04-08,Wyoming,1.36,0.31,0.07,22-23,2023,14,1.1883,0.09518731568344815,0.029333333333333333,0.02180685358255452,0.2059701492537314
2023-04-15,Wyoming,1.34,0.19,0,22-23,2023,15,1.5378,0.13527514415846933,0.013333333333333334,0,0.20000000000000004
2023-04-29,Wyoming,1.49,0.35,0.03,22-23,2023,17,0.807537,0.05151360514372146,0.034666666666666665,0.009345794392523364,0.24477611940298508
2023-05-06,Wyoming,1.19,0.19,0.03,22-23,2023,18,1.11757,0.08707454856459768,0.013333333333333334,0.009345794392523364,0.15522388059701492
2023-05-13,Wyoming,1.06,0.42,0.03,22-23,2023,19,0.704556,0.03970163185563518,0.044,0.009345794392523364,0.11641791044776122
2022-10-22,Wyoming,2.63,0.21,0.21,22-23,2022,42,1.42264,0.12206623335107751,0.016,0.06542056074766354,0.5850746268656717
2022-11-12,Wyoming,2.4,4.83,1.24,22-23,2022,45,6.7167,0.7292976188059288,0.632,0.3862928348909657,0.5164179104477612
2023-01-21,Wyoming,1.35,1.22,0.88,22-23,2023,3,1.82633,0.16836968249866346,0.15066666666666664,0.2741433021806854,0.2029850746268657
2023-02-04,Wyoming,1.43,0.43,0.46,22-23,2023,5,1.8428,0.1702587999092031,0.04533333333333333,0.14330218068535827,0.22686567164179103
2023-03-11,Wyoming,1.82,0.13,0.13,22-23,2023,10,2.0768,0.19709871940320867,0.005333333333333334,0.04049844236760125,0.34328358208955223
2023-04-22,Wyoming,1,0.1,0.03,22-23,2023,16,0.913043,0.06361519722121957,0.0013333333333333346,0.009345794392523364,0.09850746268656717
2023-05-20,Wyoming,0.67,0.31,0.03,22-23,2023,20,0.358423,0,0.029333333333333333,0.009345794392523364,0
2022-10-01,Wyoming,2.88,0.21,0.03,22-23,2022,39,1.31815,0.1100811769924081,0.016,0.009345794392523364,0.6597014925373135
2022-11-26,Wyoming,4.02,7.59,2.46,22-23,2022,47,6.82759,0.7420167584328102,1,0.7663551401869159,1
2022-12-03,Wyoming,3.43,5.59,2.43,22-23,2022,48,6.22914,0.6733742378294443,0.7333333333333333,0.7570093457943926,0.8238805970149256
2022-12-17,Wyoming,2.36,5.54,3.21,22-23,2022,50,9.07678,1,0.7266666666666667,1,0.5044776119402985
2023-01-07,Wyoming,1.85,2.28,1.39,22-23,2023,1,4.96269,0.5281117761064384,0.292,0.43302180685358255,0.35223880597014934
2023-02-11,Wyoming,1.54,0.2,0.23,22-23,2023,6,2.2695,0.21920150780703293,0.014666666666666668,0.07165109034267914,0.25970149253731345
2023-02-18,Wyoming,2.33,0.26,0.36,22-23,2023,7,2.35756,0.22930203477558903,0.02266666666666667,0.11214953271028037,0.4955223880597016
2023-05-27,Wyoming,0.8,0.09,0.03,22-23,2023,21,0.599829,0.02768939147593979,0,0.009345794392523364,0.038805970149253737
2022-10-15,Wyoming,2.5,0.25,0.16,22-23,2022,41,1.50875,0.13194309432385026,0.021333333333333333,0.04984423676012461,0.546268656716418
2022-11-05,Wyoming,2.99,1.98,1.13,22-23,2022,44,2.83294,0.28382836353225727,0.252,0.35202492211838005,0.692537313432836
2022-11-19,Wyoming,3.5,5.39,1.75,22-23,2022,46,4.57227,0.483330402735286,0.7066666666666667,0.545171339563863,0.8447761194029851
2022-12-10,Wyoming,2.85,5.52,2.23,22-23,2022,49,4.21235,0.44204739493920703,0.724,0.6947040498442367,0.6507462686567166
2022-12-24,Wyoming,2.52,3.82,2.52,22-23,2022,51,7.77735,0.8509547154354886,0.49733333333333335,0.7850467289719626,0.5522388059701493
2022-12-31,Wyoming,2.02,4.02,2.7,22-23,2022,52,6.83934,0.7433644894330435,0.5239999999999999,0.8411214953271029,0.4029850746268657
2023-02-25,Wyoming,1.9,0.28,0.55,22-23,2023,8,1.95578,0.18321766360336017,0.025333333333333336,0.17133956386292837,0.36716417910447763
2023-03-18,Wyoming,1.3,0.2,0.2,22-23,2023,11,1.83926,0.16985276010147327,0.014666666666666668,0.06230529595015577,0.18805970149253734
2023-04-01,Wyoming,1.34,0.34,0.07,22-23,2023,13,1.08794,0.08367597243379687,0.03333333333333333,0.02180685358255452,0.20000000000000004
