,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2023-12-30,2025-01-11
1,State,Alabama,2024-12-28,2025-01-11
2,State,Alaska,2023-11-04,2025-01-11
3,State,Arizona,2023-12-30,2025-01-11
4,State,Arizona,2024-12-28,2025-01-11
5,State,Arkansas,2023-12-30,2025-01-11
6,State,Arkansas,2024-02-17,2025-01-11
7,State,Arkansas,2024-12-28,2025-01-11
8,State,California,2023-12-30,2025-01-11
9,State,California,2024-12-28,2025-01-11
10,State,Colorado,2023-12-30,2025-01-11
11,State,Colorado,2024-12-28,2025-01-11
12,State,Connecticut,2023-12-30,2025-01-11
13,State,Delaware,2023-12-30,2025-01-11
14,State,District of Columbia,2023-12-30,2025-01-11
15,State,District of Columbia,2024-02-24,2025-01-11
16,State,District of Columbia,2024-12-28,2025-01-11
17,State,Florida,2023-11-18,2025-01-11
18,State,Florida,2023-12-30,2025-01-11
19,State,Florida,2024-12-28,2025-01-11
20,State,Georgia,2023-12-30,2025-01-11
21,State,Georgia,2024-12-28,2025-01-11
22,State,Hawaii,2023-11-11,2025-01-11
23,State,Hawaii,2023-12-30,2025-01-11
24,State,Hawaii,2024-12-28,2025-01-11
25,State,Idaho,2023-12-30,2025-01-11
26,State,Idaho,2024-12-28,2025-01-11
27,State,Illinois,2023-12-30,2025-01-11
28,State,Illinois,2024-12-28,2025-01-11
29,State,Indiana,2023-12-30,2025-01-11
30,State,Indiana,2024-12-28,2025-01-11
31,State,Iowa,2024-01-06,2025-01-11
32,State,Iowa,2024-02-24,2025-01-11
33,State,Iowa,2024-12-28,2025-01-11
34,State,Kansas,2023-12-30,2025-01-11
35,State,Kansas,2024-03-02,2025-01-11
36,State,Kansas,2024-12-28,2025-01-11
37,State,Kentucky,2023-12-30,2025-01-11
38,State,Kentucky,2024-12-28,2025-01-11
39,State,Louisiana,2023-12-23,2025-01-11
40,State,Louisiana,2024-12-28,2025-01-11
41,State,Maine,2023-12-30,2025-01-11
42,State,Maryland,2023-12-30,2025-01-11
43,State,Massachusetts,2023-12-30,2025-01-11
44,State,Michigan,2023-12-30,2025-01-11
45,State,Michigan,2024-03-02,2025-01-11
46,State,Minnesota,2023-12-30,2025-01-11
47,State,Minnesota,2024-02-03,2025-01-11
48,State,Minnesota,2024-02-10,2024-02-24
49,State,Mississippi,2023-11-18,2025-01-11
50,State,Mississippi,2023-12-23,2025-01-11
51,State,Mississippi,2024-12-28,2025-01-11
52,State,Montana,2023-12-30,2025-01-11
53,State,Montana,2024-10-12,2025-01-11
54,State,Montana,2024-12-28,2025-01-11
55,State,Nebraska,2023-12-30,2025-01-11
56,State,Nebraska,2024-03-02,2025-01-11
57,State,Nebraska,2024-12-28,2025-01-11
58,State,Nevada,2023-12-30,2025-01-11
59,State,Nevada,2024-12-28,2025-01-11
60,State,New Hampshire,2023-12-30,2025-01-11
61,State,New Hampshire,2024-03-02,2025-01-11
62,State,New Jersey,2023-12-30,2025-01-11
63,State,New Mexico,2023-12-30,2025-01-11
64,State,New Mexico,2024-12-28,2025-01-11
65,State,New York,2023-12-30,2025-01-11
66,State,North Carolina,2023-12-30,2025-01-11
67,State,North Dakota,2023-12-23,2025-01-11
68,State,North Dakota,2024-06-01,2025-01-11
69,State,Ohio,2023-12-30,2025-01-11
70,State,Ohio,2024-02-24,2025-01-11
71,State,Ohio,2024-12-28,2025-01-11
72,State,Oklahoma,2023-12-16,2025-01-11
73,State,Oklahoma,2024-01-06,2025-01-11
74,State,Oklahoma,2024-02-10,2025-01-11
75,State,Oregon,2023-12-30,2025-01-11
76,State,Oregon,2024-02-17,2025-01-11
77,State,Oregon,2024-12-28,2025-01-11
78,State,Pennsylvania,2023-12-30,2025-01-11
79,State,Rhode Island,2023-12-30,2025-01-11
80,State,Rhode Island,2024-02-10,2025-01-11
81,State,Rhode Island,2024-03-09,2025-01-11
82,State,South Carolina,2023-12-30,2025-01-11
83,State,South Dakota,2023-12-30,2025-01-11
84,State,Tennessee,2023-12-30,2025-01-11
85,State,Tennessee,2024-12-28,2025-01-11
86,State,Texas,2023-11-25,2025-01-11
87,State,Texas,2023-12-23,2025-01-11
88,State,Texas,2024-02-03,2025-01-11
89,State,Texas,2025-01-04,2025-01-11
90,State,Utah,2023-12-30,2025-01-11
91,State,Utah,2024-12-28,2025-01-11
92,State,Vermont,2023-12-30,2025-01-11
93,State,Vermont,2024-02-03,2025-01-11
94,State,Vermont,2024-02-03,2024-02-17
95,State,Vermont,2024-07-06,2025-01-11
96,State,Virginia,2023-12-30,2025-01-11
97,State,Virginia,2024-12-28,2025-01-11
98,State,Washington,2023-12-30,2025-01-11
99,State,Washington,2024-12-28,2025-01-11
100,State,West Virginia,2023-12-30,2025-01-11
101,State,West Virginia,2024-03-02,2025-01-11
102,State,West Virginia,2024-09-14,2025-01-11
103,State,West Virginia,2024-12-28,2025-01-11
104,State,Wisconsin,2023-12-30,2025-01-11
105,State,Wyoming,2023-12-30,2025-01-11
106,State,Wyoming,2024-12-28,2025-01-11
