,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-07-22,2023-09-09
1,Alabama,Alabama,2023-12-09,2024-01-27
2,Alabama,Alabama,2024-07-06,2024-08-31
3,Alabama,Alabama,2024-12-07,2025-01-11
4,Alaska,Alaska,2022-12-10,2023-03-04
5,Alaska,Alaska,2023-06-24,2023-09-30
6,Alaska,Alaska,2023-12-16,2024-02-03
7,Alaska,Alaska,2024-06-08,2024-08-17
8,Arizona,Arizona,2022-11-12,2022-12-17
9,Arizona,Arizona,2023-08-05,2023-11-25
10,Arizona,Arizona,2024-07-06,2024-08-24
11,Arkansas,Arkansas,2022-12-10,2023-01-07
12,Arkansas,Arkansas,2023-08-05,2023-09-16
13,Arkansas,Arkansas,2023-12-09,2024-01-13
14,Arkansas,Arkansas,2024-07-06,2024-09-07
15,California,California,2022-11-12,2023-01-07
16,California,California,2023-07-22,2023-09-16
17,California,California,2023-12-02,2024-01-13
18,California,California,2024-06-22,2024-08-24
19,Colorado,Colorado,2023-07-15,2023-12-02
20,Colorado,Colorado,2024-07-13,2024-08-31
21,Connecticut,Connecticut,2022-12-17,2023-01-14
22,Connecticut,Connecticut,2023-08-05,2023-10-07
23,Connecticut,Connecticut,2023-12-09,2024-01-13
24,Connecticut,Connecticut,2024-06-15,2024-09-21
25,Delaware,Delaware,2022-12-17,2023-01-14
26,Delaware,Delaware,2023-07-29,2023-10-07
27,Delaware,Delaware,2023-12-09,2024-01-13
28,Delaware,Delaware,2024-07-13,2024-09-07
29,Delaware,Delaware,2024-12-07,2025-01-11
30,Florida,Florida,2022-12-03,2023-01-21
31,Florida,Florida,2023-06-24,2023-09-09
32,Florida,Florida,2023-12-16,2024-02-03
33,Florida,Florida,2024-06-08,2024-08-10
34,Georgia,Georgia,2022-11-26,2023-01-14
35,Georgia,Georgia,2023-07-08,2023-09-02
36,Georgia,Georgia,2023-12-09,2024-02-17
37,Georgia,Georgia,2024-07-06,2024-08-31
38,Idaho,Idaho,2023-08-12,2023-10-14
39,Idaho,Idaho,2024-07-20,2024-09-21
40,Illinois,Illinois,2022-11-26,2022-12-31
41,Illinois,Illinois,2023-08-05,2023-09-23
42,Illinois,Illinois,2023-11-18,2024-01-06
43,Illinois,Illinois,2024-07-13,2024-09-07
44,Illinois,Illinois,2024-12-14,2025-01-11
45,Indiana,Indiana,2022-11-26,2023-01-07
46,Indiana,Indiana,2023-08-05,2023-09-23
47,Indiana,Indiana,2023-11-11,2024-01-06
48,Iowa,Iowa,2022-12-10,2023-01-07
49,Kansas,Kansas,2022-11-26,2022-12-31
50,Kansas,Kansas,2023-08-12,2023-09-23
51,Kansas,Kansas,2023-11-25,2024-01-06
52,Kansas,Kansas,2024-07-13,2024-09-07
53,Kansas,Kansas,2024-12-14,2025-01-04
54,Kentucky,Kentucky,2022-12-10,2023-01-07
55,Kentucky,Kentucky,2023-08-05,2023-09-23
56,Kentucky,Kentucky,2023-11-04,2024-01-06
57,Louisiana,Louisiana,2022-12-10,2023-01-21
58,Louisiana,Louisiana,2023-07-15,2023-09-09
59,Louisiana,Louisiana,2023-12-09,2024-02-10
60,Louisiana,Louisiana,2024-06-29,2024-08-24
61,Maine,Maine,2022-12-24,2023-03-04
62,Maine,Maine,2024-07-20,2024-09-21
63,Maryland,Maryland,2022-12-10,2023-01-07
64,Maryland,Maryland,2023-07-29,2023-09-30
65,Maryland,Maryland,2023-11-18,2024-01-13
66,Maryland,Maryland,2024-06-22,2024-08-31
67,Massachusetts,Massachusetts,2022-12-17,2023-01-14
68,Massachusetts,Massachusetts,2023-08-05,2023-10-07
69,Massachusetts,Massachusetts,2023-12-09,2024-01-13
70,Massachusetts,Massachusetts,2024-06-08,2024-08-31
71,Massachusetts,Massachusetts,2024-12-21,2025-01-11
72,Michigan,Michigan,2024-06-29,2024-09-21
73,Michigan,Michigan,2024-12-14,2025-01-11
74,Minnesota,Minnesota,2022-11-26,2023-01-07
75,Minnesota,Minnesota,2024-06-29,2024-09-14
76,Minnesota,Minnesota,2024-12-21,2025-01-11
77,Mississippi,Mississippi,2022-12-10,2023-01-07
78,Mississippi,Mississippi,2023-07-29,2023-09-09
79,Mississippi,Mississippi,2023-12-09,2024-01-27
80,Mississippi,Mississippi,2024-07-06,2024-08-24
81,Montana,Montana,2022-11-26,2022-12-31
82,Montana,Montana,2023-07-29,2023-10-21
83,Montana,Montana,2024-12-14,2025-01-11
84,Nebraska,Nebraska,2022-11-12,2022-12-24
85,Nebraska,Nebraska,2024-07-13,2024-09-07
86,Nebraska,Nebraska,2024-12-14,2025-01-11
87,Nevada,Nevada,2022-11-12,2022-12-24
88,Nevada,Nevada,2024-06-22,2024-09-07
89,New Hampshire,New Hampshire,2023-08-12,2023-10-07
90,New Hampshire,New Hampshire,2023-12-09,2024-01-13
91,New Hampshire,New Hampshire,2024-07-13,2024-09-14
92,New Jersey,New Jersey,2022-12-17,2023-01-14
93,New Jersey,New Jersey,2023-07-29,2023-10-07
94,New Jersey,New Jersey,2023-12-09,2024-01-20
95,New Jersey,New Jersey,2024-06-15,2024-08-31
96,New Mexico,New Mexico,2023-03-04,2023-04-15
97,New Mexico,New Mexico,2024-06-29,2024-08-31
98,New Mexico,New Mexico,2024-11-09,2025-01-04
99,New York,New York,2022-12-17,2023-01-07
100,New York,New York,2023-08-05,2023-10-07
101,New York,New York,2023-12-09,2024-01-13
102,New York,New York,2024-06-08,2024-09-07
103,North Carolina,North Carolina,2022-12-17,2023-01-14
104,North Carolina,North Carolina,2023-07-29,2023-09-23
105,North Carolina,North Carolina,2023-12-16,2024-01-27
106,North Carolina,North Carolina,2024-06-29,2024-09-07
107,North Dakota,North Dakota,2023-07-29,2023-12-30
108,North Dakota,North Dakota,2024-07-27,2024-09-14
109,Ohio,Ohio,2022-12-03,2022-12-31
110,Ohio,Ohio,2023-08-05,2023-09-30
111,Ohio,Ohio,2023-11-25,2024-01-06
112,Ohio,Ohio,2024-07-06,2024-09-14
113,Ohio,Ohio,2024-12-21,2025-01-11
114,Oklahoma,Oklahoma,2022-11-26,2023-01-07
115,Oklahoma,Oklahoma,2024-06-29,2024-09-07
116,Oklahoma,Oklahoma,2024-12-07,2025-01-11
117,Oregon,Oregon,2022-11-19,2022-12-31
118,Oregon,Oregon,2024-06-22,2024-09-07
119,Pennsylvania,Pennsylvania,2022-12-17,2023-01-14
