state,season,onset_date,end_date,date_peak,weeks_between
Alabama,23-24,2023-12-09,2024-01-27,2023-12-30,3
Alabama,24-25,2024-07-06,2024-08-31,2024-08-17,6
Alaska,23-24,2023-12-16,2024-02-03,2024-01-06,3
Alaska,24-25,2024-06-08,2024-08-17,2024-07-27,7
Arizona,23-24,2023-08-05,2023-11-25,2023-10-21,11
Arkansas,23-24,2023-12-09,2024-01-13,2023-12-30,3
Arkansas,24-25,2024-07-06,2024-09-07,2024-08-10,5
California,23-24,2023-12-02,2024-01-13,2023-12-30,4
Colorado,23-24,2023-07-15,2023-12-02,2023-11-25,19
Connecticut,23-24,2023-12-09,2024-01-13,2023-12-30,3
Delaware,23-24,2023-12-09,2024-01-13,2023-12-30,3
District of Columbia,23-24,2023-12-09,2024-01-20,2024-01-13,5
District of Columbia,24-25,2024-06-01,2024-08-31,2024-08-03,9
Florida,23-24,2023-12-16,2024-02-03,2024-01-06,3
Florida,24-25,2024-06-08,2024-08-10,2024-07-20,6
Georgia,23-24,2023-12-09,2024-02-17,2023-12-30,3
Georgia,24-25,2024-07-06,2024-08-31,2024-08-24,7
Georgia,24-25,2024-12-21,2025-02-15,2025-03-08,11
Georgia,24-25,2024-12-21,2025-03-15,2025-03-08,11
Idaho,23-24,2023-08-12,2023-10-14,2023-12-02,16
Illinois,23-24,2023-11-18,2024-01-06,2023-12-30,6
Indiana,23-24,2023-11-11,2024-01-06,2023-12-30,7
Kansas,23-24,2023-11-25,2024-01-06,2023-12-30,5
Kansas,24-25,2024-12-14,2025-01-04,2024-12-28,2
Kentucky,23-24,2023-11-04,2024-01-06,2023-12-30,8
Kentucky,24-25,2024-07-06,2024-09-07,2024-08-24,7
Louisiana,23-24,2023-12-09,2024-02-10,2024-01-06,4
Louisiana,24-25,2024-06-29,2024-08-24,2024-08-10,6
Maine,24-25,2024-07-20,2024-09-21,2024-09-21,9
Maryland,23-24,2023-11-18,2024-01-13,2023-12-30,6
Minnesota,24-25,2024-06-29,2024-09-14,2024-08-17,7
Minnesota,24-25,2024-12-21,2025-01-11,2025-01-04,2
Mississippi,23-24,2023-12-09,2024-01-27,2023-12-30,3
Mississippi,24-25,2024-07-06,2024-08-24,2024-08-10,5
Montana,23-24,2023-07-29,2023-10-21,2023-11-11,15
Nebraska,24-25,2024-07-13,2024-09-07,2024-08-17,5
Nebraska,24-25,2024-12-14,2025-01-11,2025-01-04,3
New Hampshire,23-24,2023-12-09,2024-01-13,2023-12-30,3
New Jersey,23-24,2023-12-09,2024-01-20,2023-12-30,3
New Mexico,24-25,2024-06-08,2024-08-31,2024-08-17,10
New York,23-24,2023-12-09,2024-01-13,2023-12-30,3
New York,24-25,2024-06-08,2024-09-07,2024-08-03,8
North Carolina,23-24,2023-12-16,2024-01-27,2023-12-30,2
North Carolina,24-25,2024-07-06,2024-09-07,2024-08-17,6
North Dakota,23-24,2023-07-29,2023-12-30,2023-12-02,18
North Dakota,24-25,2024-07-27,2024-09-14,2024-09-07,6
North Dakota,24-25,2024-12-14,2025-01-18,2024-12-28,2
Ohio,23-24,2023-11-25,2024-01-06,2023-12-30,5
Pennsylvania,23-24,2023-11-18,2024-01-13,2023-12-30,6
Rhode Island,24-25,2024-07-06,2024-08-31,2024-08-17,6
Rhode Island,24-25,2024-12-14,2025-01-18,2025-01-04,3
South Carolina,23-24,2023-12-16,2024-02-03,2024-01-06,3
South Carolina,24-25,2024-07-06,2024-08-31,2024-08-24,7
South Dakota,24-25,2024-06-22,2024-09-14,2024-09-07,11
South Dakota,24-25,2024-11-23,2025-01-18,2025-01-04,6
Tennessee,23-24,2023-11-11,2024-01-13,2023-12-30,7
Tennessee,24-25,2024-07-06,2024-08-31,2024-08-17,6
Texas,23-24,2023-12-02,2024-02-03,2024-01-06,5
Texas,24-25,2024-06-22,2024-08-24,2024-08-03,6
Utah,23-24,2023-11-11,2024-01-06,2023-12-30,7
Vermont,23-24,2023-11-18,2024-01-06,2023-12-09,3
Vermont,24-25,2024-07-13,2024-09-21,2024-08-24,6
Virginia,23-24,2023-12-02,2024-01-13,2023-12-30,4
Washington,24-25,2024-06-22,2024-09-07,2024-08-03,6
West Virginia,24-25,2024-08-24,2025-02-15,2024-09-07,2
West Virginia,24-25,2024-08-24,2025-03-29,2024-09-07,2
Wisconsin,24-25,2024-06-29,2024-09-14,2024-08-17,7
Wisconsin,24-25,2024-12-21,2025-01-25,2025-01-04,2
Wyoming,23-24,2023-07-22,2023-12-30,2023-12-02,19
