,name_location,name_proxy,start_date,end_date
16,Alabama,Alabama,2019-10-12,2020-02-22
109,Alabama,Alabama,2022-10-08,2022-11-12
207,Alabama,Alabama,2023-10-14,2024-01-06
252,Alabama,Alabama,2024-08-03,2025-01-25
0,Alaska,Alaska,2019-08-31,2019-12-28
65,Alaska,Alaska,2022-10-01,2022-12-17
110,Alaska,Alaska,2023-09-16,2023-11-11
208,Alaska,Alaska,2024-11-30,2025-01-04
49,Arizona,Arizona,2019-11-16,2020-02-22
134,Arizona,Arizona,2022-10-29,2022-12-24
249,Arizona,Arizona,2023-11-25,2024-01-13
332,Arizona,Arizona,2024-11-09,2025-01-11
33,Arkansas,Arkansas,2019-11-02,2019-12-28
91,Arkansas,Arkansas,2022-10-08,2022-12-10
200,Arkansas,Arkansas,2023-11-11,2024-02-24
276,Arkansas,Arkansas,2024-11-30,2025-02-15
92,California,California,2019-11-23,2020-02-22
189,California,California,2022-10-08,2022-12-24
361,California,California,2023-09-16,2024-01-06
565,California,California,2024-10-05,2025-01-25
3,Colorado,Colorado,2019-09-28,2020-02-08
115,Colorado,Colorado,2022-10-08,2022-12-17
244,Colorado,Colorado,2023-10-28,2024-01-06
324,Colorado,Colorado,2024-10-19,2025-02-01
46,Connecticut,Connecticut,2019-12-07,2020-02-29
96,Connecticut,Connecticut,2022-09-17,2022-12-24
201,Connecticut,Connecticut,2023-10-14,2024-01-06
252,Connecticut,Connecticut,2024-08-31,2025-02-22
38,Delaware,Delaware,2019-11-23,2020-03-07
72,Delaware,Delaware,2022-10-01,2022-12-31
123,Delaware,Delaware,2023-08-26,2024-01-13
189,Delaware,Delaware,2024-08-31,2025-02-22
84,Florida,Florida,2019-12-07,2020-02-01
170,Florida,Florida,2022-10-08,2022-12-31
335,Florida,Florida,2023-10-07,2023-12-30
503,Florida,Florida,2024-12-07,2025-02-01
3,Georgia,Georgia,2019-09-14,2020-01-04
130,Georgia,Georgia,2022-10-01,2022-11-12
227,Georgia,Georgia,2023-09-09,2024-01-06
338,Georgia,Georgia,2024-08-10,2025-02-01
36,Hawaii,Hawaii,2019-11-16,2020-03-07
96,Hawaii,Hawaii,2022-10-29,2022-12-31
150,Hawaii,Hawaii,2023-10-07,2023-12-30
237,Hawaii,Hawaii,2024-12-07,2025-02-22
45,Idaho,Idaho,2019-12-14,2020-04-14
107,Idaho,Idaho,2022-11-05,2022-12-24
174,Idaho,Idaho,2023-11-25,2024-01-13
236,Idaho,Idaho,2024-11-23,2025-01-11
47,Illinois,Illinois,2019-11-02,2020-02-29
149,Illinois,Illinois,2022-08-20,2022-12-24
335,Illinois,Illinois,2023-10-21,2024-01-06
412,Illinois,Illinois,2024-09-21,2025-02-22
47,Indiana,Indiana,2019-11-23,2020-03-07
105,Indiana,Indiana,2022-07-30,2022-12-24
213,Indiana,Indiana,2023-09-30,2024-01-13
295,Indiana,Indiana,2024-09-14,2025-03-01
46,Iowa,Iowa,2019-12-07,2020-03-14
109,Iowa,Iowa,2022-10-15,2022-12-31
164,Iowa,Iowa,2023-09-23,2024-03-16
269,Iowa,Iowa,2024-12-07,2025-02-22
40,Kansas,Kansas,2019-11-23,2020-02-22
107,Kansas,Kansas,2022-10-22,2022-12-17
197,Kansas,Kansas,2023-11-11,2024-01-13
239,Kansas,Kansas,2024-09-21,2025-02-15
25,Kentucky,Kentucky,2019-10-26,2019-12-28
112,Kentucky,Kentucky,2022-10-08,2022-12-03
208,Kentucky,Kentucky,2023-10-07,2024-01-20
321,Kentucky,Kentucky,2024-12-07,2025-01-11
2,Louisiana,Louisiana,2019-09-14,2020-03-28
92,Louisiana,Louisiana,2022-09-24,2022-12-03
213,Louisiana,Louisiana,2023-10-28,2023-12-30
297,Louisiana,Louisiana,2024-11-16,2024-12-28
39,Maine,Maine,2019-11-30,2020-03-21
82,Maine,Maine,2022-10-01,2022-12-31
188,Maine,Maine,2023-12-09,2024-02-24
202,Maine,Maine,2024-08-31,2025-03-08
34,Maryland,Maryland,2019-11-02,2020-02-08
119,Maryland,Maryland,2022-10-08,2022-11-26
236,Maryland,Maryland,2023-10-14,2024-01-06
307,Maryland,Maryland,2024-09-28,2025-02-15
24,Massachusetts,Massachusetts,2019-10-26,2020-03-21
119,Massachusetts,Massachusetts,2022-09-17,2022-12-31
210,Massachusetts,Massachusetts,2023-09-16,2024-01-13
334,Massachusetts,Massachusetts,2024-09-28,2025-02-15
60,Michigan,Michigan,2019-11-30,2020-02-29
130,Michigan,Michigan,2022-09-24,2022-12-31
257,Michigan,Michigan,2023-10-07,2024-03-16
360,Michigan,Michigan,2024-09-28,2025-03-01
40,Minnesota,Minnesota,2019-11-09,2019-12-28
104,Minnesota,Minnesota,2022-10-01,2022-12-17
246,Minnesota,Minnesota,2023-12-02,2024-03-02
320,Minnesota,Minnesota,2024-10-26,2025-02-01
29,Mississippi,Mississippi,2019-11-02,2019-12-28
103,Mississippi,Mississippi,2022-10-22,2022-12-03
178,Mississippi,Mississippi,2023-10-14,2024-01-06
