,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-07-22,2023-09-09
1,Alabama,Alabama,2023-12-09,2024-01-27
2,Alabama,Alabama,2024-07-06,2024-08-31
3,Alabama,Alabama,2024-12-07,2025-03-15
4,Alaska,Alaska,2022-12-10,2023-03-04
5,Alaska,Alaska,2023-06-24,2023-09-30
6,Alaska,Alaska,2023-12-16,2024-02-03
7,Alaska,Alaska,2024-06-08,2024-08-17
8,Arizona,Arizona,2023-08-05,2023-11-25
9,Arizona,Arizona,2024-06-01,2024-08-24
10,Arizona,Arizona,2024-11-09,2024-12-14
11,Arkansas,Arkansas,2022-12-10,2023-01-07
12,Arkansas,Arkansas,2023-08-05,2023-09-16
13,Arkansas,Arkansas,2023-12-09,2024-01-13
14,Arkansas,Arkansas,2024-07-06,2024-09-07
15,California,California,2022-11-19,2022-12-31
16,California,California,2023-07-22,2023-09-16
17,California,California,2023-12-02,2024-01-13
18,California,California,2024-06-22,2024-08-24
19,California,California,2024-12-07,2025-02-01
20,Colorado,Colorado,2023-07-15,2023-12-02
21,Colorado,Colorado,2024-06-08,2024-08-31
22,Connecticut,Connecticut,2022-12-17,2023-01-14
23,Connecticut,Connecticut,2023-08-05,2023-10-07
24,Connecticut,Connecticut,2023-12-09,2024-01-13
25,Connecticut,Connecticut,2024-07-06,2024-09-21
26,Connecticut,Connecticut,2024-12-14,2025-01-25
27,Delaware,Delaware,2022-12-17,2023-01-14
28,Delaware,Delaware,2023-07-29,2023-10-07
29,Delaware,Delaware,2023-12-09,2024-01-13
30,Delaware,Delaware,2024-07-20,2024-09-07
31,Delaware,Delaware,2024-12-07,2025-01-18
32,Florida,Florida,2022-12-03,2023-01-21
33,Florida,Florida,2023-06-24,2023-09-09
34,Florida,Florida,2023-12-16,2024-02-03
35,Florida,Florida,2024-06-08,2024-08-10
36,Florida,Florida,2024-12-21,2025-02-01
37,Georgia,Georgia,2022-12-03,2023-01-14
38,Georgia,Georgia,2023-07-08,2023-09-02
39,Georgia,Georgia,2023-12-09,2024-02-17
40,Georgia,Georgia,2024-07-06,2024-08-31
41,Georgia,Georgia,2024-12-21,2025-03-15
42,Hawaii,Hawaii,2023-07-15,2023-09-09
43,Hawaii,Hawaii,2023-12-30,2024-02-03
44,Hawaii,Hawaii,2024-05-11,2024-07-06
45,Idaho,Idaho,2023-08-12,2023-10-14
46,Idaho,Idaho,2024-07-20,2024-09-21
47,Illinois,Illinois,2022-12-03,2022-12-31
48,Illinois,Illinois,2023-08-05,2023-09-23
49,Illinois,Illinois,2023-11-18,2024-01-06
50,Illinois,Illinois,2024-07-13,2024-09-07
51,Illinois,Illinois,2024-12-14,2025-01-25
52,Indiana,Indiana,2022-12-03,2023-01-07
53,Indiana,Indiana,2023-08-05,2023-09-23
54,Indiana,Indiana,2023-11-11,2024-01-06
55,Indiana,Indiana,2024-07-13,2024-09-07
56,Indiana,Indiana,2024-12-07,2025-01-11
57,Iowa,Iowa,2022-12-10,2023-01-07
58,Iowa,Iowa,2024-07-06,2024-09-14
59,Iowa,Iowa,2024-12-21,2025-01-25
60,Kansas,Kansas,2022-12-03,2022-12-31
61,Kansas,Kansas,2023-08-12,2023-09-23
62,Kansas,Kansas,2023-11-25,2024-01-06
63,Kansas,Kansas,2024-07-13,2024-09-07
64,Kansas,Kansas,2024-12-14,2025-01-04
65,Kentucky,Kentucky,2022-12-10,2023-01-07
66,Kentucky,Kentucky,2023-08-05,2023-09-23
67,Kentucky,Kentucky,2023-11-04,2024-01-06
68,Kentucky,Kentucky,2024-07-06,2024-09-07
69,Kentucky,Kentucky,2024-12-07,2025-01-11
70,Louisiana,Louisiana,2022-12-10,2023-01-21
71,Louisiana,Louisiana,2023-07-15,2023-09-09
72,Louisiana,Louisiana,2023-12-09,2024-02-10
73,Louisiana,Louisiana,2024-06-29,2024-08-24
74,Louisiana,Louisiana,2024-12-21,2025-03-22
75,Maine,Maine,2022-12-24,2023-03-04
76,Maine,Maine,2023-08-12,2024-01-06
77,Maine,Maine,2024-07-20,2024-09-21
78,Maryland,Maryland,2022-12-10,2023-01-07
79,Maryland,Maryland,2023-07-29,2023-09-30
80,Maryland,Maryland,2023-11-18,2024-01-13
81,Maryland,Maryland,2024-06-22,2024-08-31
82,Maryland,Maryland,2024-12-14,2025-02-01
83,Massachusetts,Massachusetts,2022-12-17,2023-01-14
84,Massachusetts,Massachusetts,2023-08-05,2023-10-07
85,Massachusetts,Massachusetts,2023-12-09,2024-01-13
86,Massachusetts,Massachusetts,2024-06-08,2024-09-07
87,Massachusetts,Massachusetts,2024-12-21,2025-01-18
88,Michigan,Michigan,2024-06-29,2024-09-21
89,Michigan,Michigan,2024-12-14,2025-01-25
90,Minnesota,Minnesota,2022-11-26,2023-01-07
91,Minnesota,Minnesota,2024-06-29,2024-09-14
92,Minnesota,Minnesota,2024-12-21,2025-01-11
93,Mississippi,Mississippi,2022-12-10,2023-01-07
94,Mississippi,Mississippi,2023-07-29,2023-09-09
95,Mississippi,Mississippi,2023-12-09,2024-01-27
96,Mississippi,Mississippi,2024-07-06,2024-08-24
97,Mississippi,Mississippi,2024-12-14,2025-02-01
98,Montana,Montana,2022-11-26,2022-12-31
99,Montana,Montana,2023-07-29,2023-10-21
100,Montana,Montana,2024-06-22,2024-09-28
101,Montana,Montana,2024-12-14,2025-03-29
102,Nebraska,Nebraska,2022-11-19,2022-12-24
103,Nebraska,Nebraska,2024-07-13,2024-09-07
104,Nebraska,Nebraska,2024-12-14,2025-01-11
105,Nevada,Nevada,2022-11-19,2022-12-24
106,Nevada,Nevada,2023-07-29,2023-09-23
107,Nevada,Nevada,2024-06-15,2024-09-07
108,New Hampshire,New Hampshire,2023-08-12,2023-10-07
109,New Hampshire,New Hampshire,2023-12-09,2024-01-13
110,New Jersey,New Jersey,2022-12-17,2023-01-14
111,New Jersey,New Jersey,2023-07-29,2023-10-07
112,New Jersey,New Jersey,2023-12-09,2024-01-20
113,New Jersey,New Jersey,2024-06-22,2024-08-31
114,New Jersey,New Jersey,2024-12-14,2025-02-08
115,New Mexico,New Mexico,2023-03-04,2023-04-15
116,New Mexico,New Mexico,2024-06-08,2024-08-31
117,New Mexico,New Mexico,2024-11-09,2025-01-04
118,New York,New York,2022-12-17,2023-01-07
119,New York,New York,2023-08-05,2023-10-07
120,New York,New York,2023-12-09,2024-01-13
121,New York,New York,2024-06-08,2024-09-07
