,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-09-09,2023-12-09
1,Alabama,Alabama,2024-09-21,2025-01-04
2,Alaska,Alaska,2023-10-28,2024-01-06
3,Alaska,Alaska,2024-11-23,2025-01-04
4,Arizona,Arizona,2023-10-28,2024-01-20
5,Arizona,Arizona,2024-11-23,2025-03-01
6,Arkansas,Arkansas,2023-10-07,2023-12-30
7,Arkansas,Arkansas,2024-10-26,2025-01-11
8,California,California,2023-09-23,2024-01-06
9,California,California,2024-10-19,2025-02-01
10,Colorado,Colorado,2023-09-30,2024-01-13
11,Colorado,Colorado,2024-11-23,2025-03-01
12,Connecticut,Connecticut,2023-10-07,2023-12-23
13,Connecticut,Connecticut,2024-10-26,2025-01-11
14,Delaware,Delaware,2023-09-16,2023-12-09
15,Delaware,Delaware,2024-09-07,2025-01-04
16,Florida,Florida,2023-06-10,2023-11-18
17,Florida,Florida,2024-08-24,2025-01-04
18,Georgia,Georgia,2023-08-26,2023-11-25
19,Georgia,Georgia,2024-08-31,2024-12-28
20,Hawaii,Hawaii,2023-08-26,2023-12-23
21,Hawaii,Hawaii,2024-09-28,2025-01-04
22,Idaho,Idaho,2023-10-21,2024-01-27
23,Idaho,Idaho,2024-12-21,2025-03-08
24,Illinois,Illinois,2023-08-26,2023-12-30
25,Illinois,Illinois,2024-10-19,2025-01-11
26,Indiana,Indiana,2023-08-19,2024-01-06
27,Indiana,Indiana,2024-10-26,2025-01-11
28,Iowa,Iowa,2023-10-14,2024-01-20
29,Iowa,Iowa,2024-11-23,2025-02-22
30,Kansas,Kansas,2023-09-30,2024-01-13
31,Kansas,Kansas,2024-11-16,2025-02-08
32,Kentucky,Kentucky,2023-09-09,2023-12-23
33,Kentucky,Kentucky,2024-10-26,2025-01-11
34,Louisiana,Louisiana,2023-08-05,2023-12-09
35,Louisiana,Louisiana,2024-08-31,2025-01-04
36,Maine,Maine,2023-10-21,2024-01-13
37,Maine,Maine,2024-12-14,2025-02-15
38,Maryland,Maryland,2023-09-30,2023-12-16
39,Maryland,Maryland,2024-10-12,2025-01-04
40,Massachusetts,Massachusetts,2023-08-19,2023-12-23
41,Massachusetts,Massachusetts,2024-10-05,2025-01-11
42,Michigan,Michigan,2023-10-07,2024-01-06
43,Michigan,Michigan,2024-10-19,2025-01-25
44,Minnesota,Minnesota,2023-10-28,2024-01-20
45,Minnesota,Minnesota,2024-10-26,2025-02-22
46,Mississippi,Mississippi,2023-08-05,2023-12-02
47,Mississippi,Mississippi,2024-10-19,2024-12-21
48,Montana,Montana,2022-12-03,2022-12-31
49,Montana,Montana,2023-10-28,2024-03-16
50,Montana,Montana,2024-12-14,2025-03-29
51,Montana,Montana,2024-12-28,2025-03-15
52,Nebraska,Nebraska,2023-10-28,2024-01-06
53,Nebraska,Nebraska,2024-11-16,2025-03-08
54,Nevada,Nevada,2023-10-21,2024-01-06
55,Nevada,Nevada,2024-11-09,2025-01-25
56,New Hampshire,New Hampshire,2023-09-23,2023-12-30
57,New Hampshire,New Hampshire,2024-11-30,2025-01-18
58,New Jersey,New Jersey,2023-09-30,2023-12-16
59,New Jersey,New Jersey,2024-08-31,2025-01-04
60,New Mexico,New Mexico,2023-10-14,2024-01-06
61,New Mexico,New Mexico,2024-11-23,2025-03-08
62,New York,New York,2023-09-23,2023-12-30
63,New York,New York,2024-10-12,2025-01-04
64,North Carolina,North Carolina,2023-08-26,2023-12-30
65,North Carolina,North Carolina,2024-10-05,2025-01-11
66,North Dakota,North Dakota,2023-10-28,2024-02-17
67,North Dakota,North Dakota,2024-12-21,2025-03-08
68,Ohio,Ohio,2023-10-28,2024-01-06
69,Ohio,Ohio,2024-10-12,2025-01-11
70,Oklahoma,Oklahoma,2023-10-21,2023-12-30
71,Oklahoma,Oklahoma,2024-11-30,2025-02-08
72,Oregon,Oregon,2023-09-23,2024-01-13
73,Oregon,Oregon,2024-11-23,2025-03-01
74,Pennsylvania,Pennsylvania,2023-09-30,2023-12-30
75,Pennsylvania,Pennsylvania,2024-10-12,2025-01-11
76,Rhode Island,Rhode Island,2023-11-04,2023-12-23
77,Rhode Island,Rhode Island,2024-10-12,2025-01-11
78,South Carolina,South Carolina,2023-08-19,2023-12-02
79,South Carolina,South Carolina,2024-09-14,2025-01-04
80,South Dakota,South Dakota,2023-11-25,2024-03-02
81,South Dakota,South Dakota,2024-12-28,2025-03-22
82,Tennessee,Tennessee,2023-08-19,2023-12-09
83,Tennessee,Tennessee,2024-08-24,2025-01-04
84,Texas,Texas,2023-08-05,2023-12-02
85,Texas,Texas,2024-09-21,2025-01-04
86,Utah,Utah,2023-09-09,2024-02-03
87,Utah,Utah,2024-10-26,2025-03-08
88,Vermont,Vermont,2023-10-21,2024-01-13
89,Virginia,Virginia,2023-08-26,2023-12-09
90,Virginia,Virginia,2024-10-19,2025-01-04
91,Washington,Washington,2023-10-07,2024-01-06
92,Washington,Washington,2024-10-05,2025-01-18
93,West Virginia,West Virginia,2023-10-28,2024-01-06
94,West Virginia,West Virginia,2024-08-24,2025-03-29
95,West Virginia,West Virginia,2024-11-09,2025-01-11
96,Wisconsin,Wisconsin,2023-10-07,2024-01-20
97,Wisconsin,Wisconsin,2024-11-23,2025-02-22
98,Wyoming,Wyoming,2022-11-19,2022-12-31
99,Wyoming,Wyoming,2024-11-09,2025-03-29
100,District of Columbia,District of Columbia,2023-08-12,2023-11-25
101,District of Columbia,District of Columbia,2024-11-09,2025-01-04
