state,season,onset_date,end_date,date_peak,weeks_between
Alabama,23-24,2023-09-09,2023-12-09,2023-11-25,11
Alabama,24-25,2024-09-21,2025-01-04,2024-12-21,13
Alaska,23-24,2023-10-28,2024-01-06,2023-12-30,9
Alaska,24-25,2024-11-23,2025-01-04,2024-12-28,5
Arizona,23-24,2023-10-28,2024-01-20,2023-12-30,9
Arizona,24-25,2024-11-23,2025-03-01,2025-02-08,11
Arkansas,23-24,2023-10-07,2023-12-30,2023-12-02,8
Arkansas,24-25,2024-10-26,2025-01-11,2024-12-28,9
California,23-24,2023-09-23,2024-01-06,2023-12-30,14
California,24-25,2024-10-19,2025-02-01,2025-01-04,11
Colorado,23-24,2023-09-30,2024-01-13,2023-12-30,13
Colorado,24-25,2024-11-23,2025-03-01,2025-02-08,11
Connecticut,23-24,2023-10-07,2023-12-23,2023-11-25,7
Connecticut,24-25,2024-10-26,2025-01-11,2024-12-28,9
Delaware,23-24,2023-09-16,2023-12-09,2023-11-25,10
Delaware,24-25,2024-09-07,2025-01-04,2024-12-28,16
Florida,23-24,2023-06-10,2023-11-18,2023-10-28,20
Florida,24-25,2024-08-24,2025-01-04,2024-11-30,14
Georgia,23-24,2023-08-26,2023-11-25,2023-11-11,11
Georgia,24-25,2024-08-31,2024-12-28,2024-11-30,13
Hawaii,23-24,2023-08-26,2023-12-23,2023-10-21,8
Hawaii,24-25,2024-09-28,2025-01-04,2024-11-16,7
Idaho,23-24,2023-10-21,2024-01-27,2024-01-06,11
Idaho,24-25,2024-12-21,2025-03-08,2025-02-22,9
Illinois,23-24,2023-08-26,2023-12-30,2023-12-02,14
Illinois,24-25,2024-10-19,2025-01-11,2025-01-04,11
Indiana,23-24,2023-08-19,2024-01-06,2023-12-30,19
Indiana,24-25,2024-10-26,2025-01-11,2025-01-04,10
Iowa,23-24,2023-10-14,2024-01-20,2023-12-30,11
Iowa,24-25,2024-11-23,2025-02-22,2025-01-18,8
Kansas,23-24,2023-09-30,2024-01-13,2024-01-06,14
Kansas,24-25,2024-11-16,2025-02-08,2025-01-04,7
Kentucky,23-24,2023-09-09,2023-12-23,2023-12-09,13
Kentucky,24-25,2024-10-26,2025-01-11,2025-01-04,10
Louisiana,23-24,2023-08-05,2023-12-09,2023-11-25,16
Louisiana,24-25,2024-08-31,2025-01-04,2024-12-28,17
Maine,23-24,2023-10-21,2024-01-13,2023-12-30,10
Maine,24-25,2024-12-14,2025-02-15,2025-02-08,8
Maryland,23-24,2023-09-30,2023-12-16,2023-11-25,8
Maryland,24-25,2024-10-12,2025-01-04,2024-12-28,11
Massachusetts,23-24,2023-08-19,2023-12-23,2023-12-09,16
Massachusetts,24-25,2024-10-05,2025-01-11,2024-12-28,12
Michigan,23-24,2023-10-07,2024-01-06,2023-12-30,12
Michigan,24-25,2024-10-19,2025-01-25,2025-01-04,11
Minnesota,23-24,2023-10-28,2024-01-20,2023-12-23,8
Minnesota,24-25,2024-10-26,2025-02-22,2025-02-15,16
Mississippi,23-24,2023-08-05,2023-12-02,2023-11-18,15
Mississippi,24-25,2024-10-19,2024-12-21,2024-11-30,6
Montana,23-24,2023-10-28,2024-03-16,2023-12-30,9
Montana,24-25,2024-12-28,2025-03-15,2025-03-08,10
Nebraska,23-24,2023-10-28,2024-01-06,2023-12-23,8
Nebraska,24-25,2024-11-16,2025-03-08,2025-02-08,12
Nevada,23-24,2023-10-21,2024-01-06,2023-12-30,10
Nevada,24-25,2024-11-09,2025-01-25,2024-12-28,7
New Hampshire,23-24,2023-09-23,2023-12-30,2023-12-16,12
New Hampshire,24-25,2024-11-30,2025-01-18,2024-12-28,4
New Jersey,23-24,2023-09-30,2023-12-16,2023-12-02,9
New Jersey,24-25,2024-08-31,2025-01-04,2024-12-28,17
New Mexico,23-24,2023-10-14,2024-01-06,2023-12-30,11
New Mexico,24-25,2024-11-23,2025-03-08,2025-02-15,12
New York,23-24,2023-09-23,2023-12-30,2023-12-16,12
New York,24-25,2024-10-12,2025-01-04,2024-12-28,11
North Carolina,23-24,2023-08-26,2023-12-30,2023-11-25,13
North Carolina,24-25,2024-10-05,2025-01-11,2024-12-28,12
North Dakota,23-24,2023-10-28,2024-02-17,2024-02-03,14
North Dakota,24-25,2024-12-21,2025-03-08,2025-02-22,9
Ohio,23-24,2023-10-28,2024-01-06,2023-12-23,8
Ohio,24-25,2024-10-12,2025-01-11,2025-01-04,12
