week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-08,Colorado,22-23,1.54,0.09,0.2,2.00319,0.006915864509632526,0,0.07509881422924901,0.30128205128205127,0.6938588051575034,0.11181093917055027,0.32848141794146996,0,0.008396868949567015,0.09896555540544287
2022-12-24,Colorado,22-23,2.25,5.73,0.93,8.89574,0.922550553827106,0.9724137931034484,0.3636363636363636,0.5288461538461539,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.6747178726014345,0.040658523334745546,0.17371613448827739
2023-01-21,Colorado,22-23,1.37,0.64,0.35,2.85617,0.12022923580095703,0.09482758620689656,0.1343873517786561,0.24679487179487183,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.0657969556614874,0.015025976015014658,0.08106752942786279
2023-02-04,Colorado,22-23,1.51,0.48,0.26,3.30984,0.18049662443109507,0.06724137931034484,0.09881422924901184,0.2916666666666667,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.04665602310541834,0.011048511775746072,0.09580708023292875
2023-02-25,Colorado,22-23,1.9,0.22,0.15,3.08658,0.1508378478190982,0.02241379310344828,0.055335968379446626,0.4166666666666666,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.015552007701806113,0.0061871665944178,0.13686725747561246
2023-03-25,Colorado,22-23,1.48,0.14,0.05,3.14582,0.15870753305825747,0.008620689655172417,0.015810276679841896,0.28205128205128205,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.005981541423771584,0.0017677618841193718,0.0926486050604146
2023-04-08,Colorado,22-23,1.13,0.14,0.05,2.65994,0.09416123555652386,0.008620689655172417,0.015810276679841896,0.16987179487179485,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.005981541423771584,0.0017677618841193718,0.0557997280477497
2023-04-15,Colorado,22-23,1.08,0.18,0.03,2.64899,0.0927065925219392,0.015517241379310345,0.007905138339920946,0.15384615384615388,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.010766774562788847,8.838809420596857e-4,0.05053560276022616
2023-04-29,Colorado,22-23,0.7,0.13,0.02,2.49728,0.07255281217702274,0.006896551724137933,0.003952569169960474,0.03205128205128204,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.004785233139017266,4.4194047102984294e-4,0.01052825057504711
2022-10-22,Colorado,22-23,1.98,0.2,0.59,3.00054,0.13940794035830714,0.018965517241379314,0.22924901185770746,0.44230769230769224,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.013159391132297481,0.025632547319730886,0.14528985793565014
2022-10-29,Colorado,22-23,2.16,0.48,0.84,3.81954,0.2482072686984731,0.06724137931034484,0.3280632411067193,0.5,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.04665602310541834,0.036681059095476955,0.16424070897073498
2022-12-03,Colorado,22-23,3.53,5.32,1.92,9.25633,0.970452812442711,0.9017241379310346,0.7549407114624505,0.939102564102564,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.6256692329265074,0.08441062996669998,0.3084777418488804
2022-12-17,Colorado,22-23,2.58,5.89,1.25,9.44431,0.9954248487569777,1,0.49011857707509876,0.6346153846153846,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.6938588051575034,0.05480061840770052,0.20845936138593285
2022-12-31,Colorado,22-23,2.24,4.25,0.87,7.10632,0.6848366415945545,0.7172413793103449,0.33992094861660077,0.5256410256410257,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.4976642464577956,0.038006880508566494,0.17266330943077268
2023-01-28,Colorado,22-23,1.29,0.5,0.32,3.12975,0.15657272816640586,0.0706896551724138,0.12252964426877469,0.22115384615384617,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.049048639674926967,0.01370015460192513,0.0726449289678251
2023-02-11,Colorado,22-23,1.8,0.29,0.22,3.33002,0.18317741862633877,0.034482758620689655,0.08300395256916995,0.38461538461538464,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.023926165695086325,0.009280749891626701,0.12633900690056538
2023-03-04,Colorado,22-23,1.75,0.23,0.1,3.11555,0.15468634176539195,0.024137931034482762,0.03557312252964427,0.36858974358974356,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.01674831598656043,0.003977464239268587,0.1210748816130418
2023-03-11,Colorado,22-23,1.57,0.19,0.09,3.07529,0.1493380377861794,0.017241379310344827,0.03162055335968379,0.3108974358974359,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.011963082847543162,0.0035355237682387435,0.102124030577957
2023-05-06,Colorado,22-23,0.7,0.15,0.03,2.41277,0.06132615620873531,0.010344827586206896,0.007905138339920946,0.03205128205128204,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.007177849708525898,8.838809420596857e-4,0.01052825057504711
2022-10-15,Colorado,22-23,1.7,0.14,0.39,2.33604,0.05113302743762306,0.008620689655172417,0.15019762845849802,0.3525641025641026,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.005981541423771584,0.01679373789913403,0.11581075632551827
2022-11-05,Colorado,22-23,2.84,0.96,1.33,4.93605,0.3965290490221345,0.15,0.5217391304347826,0.7179487179487178,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.10407882077362551,0.05833614217593927,0.23583281288105531
2023-01-07,Colorado,22-23,1.74,2.4,0.65,4.64253,0.35753664504850136,0.39827586206896554,0.25296442687747034,0.3653846153846154,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.27634721377824706,0.028284190145909948,0.1200220565555371
2023-01-14,Colorado,22-23,1.2,1.15,0.32,3.14896,0.1591246635722845,0.18275862068965515,0.12252964426877469,0.1923076923076923,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.1268086781839575,0.01370015460192513,0.06316950345028267
2023-04-01,Colorado,22-23,1.36,0.16,0.04,2.67735,0.09647405155945706,0.012068965517241381,0.011857707509881422,0.2435897435897436,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.008374157993280215,0.0013258214130895288,0.08001470437035807
2023-04-22,Colorado,22-23,0.82,0.17,0.02,2.50747,0.073906493685919325,0.013793103448275865,0.003952569169960474,0.0705128205128205,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.009570466278034533,4.4194047102984294e-4,0.023162151265103646
2022-11-12,Colorado,22-23,3.13,1.86,2.06,6.39022,0.5897069724561017,0.30517241379310345,0.8102766798418972,0.8108974358974358,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.21174656640151399,0.0905977965611178,0.26636473954869194
2022-11-19,Colorado,22-23,3.47,3.25,2.54,8.42227,0.8596528517645683,0.5448275862068966,1,0.9198717948717948,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.378033417982364,0.11181093917055027,0.30216079150385217
2022-11-26,Colorado,22-23,3.72,4.93,2.53,9.47875,1,0.8344827586206897,0.9960474308300394,1,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.5790132098210891,0.11136899869952041,0.32848141794146996
