state,covid_onset,covid_end,covid_peak,season,time_diff,time_diff_week
Alabama,2023-07-22,2023-09-09,2023-12-30,23-24,161,23
Alabama,2023-12-09,2024-01-27,2023-12-30,23-24,21,3
Alaska,2023-06-24,2023-09-30,2024-01-06,23-24,196,28
Alaska,2023-12-16,2024-02-03,2024-01-06,23-24,21,3
Arizona,2023-08-05,2023-11-25,2023-10-21,23-24,77,11
Arkansas,2023-08-05,2023-09-16,2023-12-30,23-24,147,21
Arkansas,2023-12-09,2024-01-13,2023-12-30,23-24,21,3
California,2023-07-22,2023-09-16,2023-12-30,23-24,161,23
California,2023-12-02,2024-01-13,2023-12-30,23-24,28,4
Colorado,2023-07-15,2023-12-02,2023-11-25,23-24,133,19
Connecticut,2023-08-05,2023-10-07,2023-12-30,23-24,147,21
Connecticut,2023-12-09,2024-01-13,2023-12-30,23-24,21,3
Delaware,2023-07-29,2023-10-07,2023-12-30,23-24,154,22
Delaware,2023-12-09,2024-01-13,2023-12-30,23-24,21,3
Florida,2023-06-24,2023-09-09,2024-01-06,23-24,196,28
Florida,2023-12-16,2024-02-03,2024-01-06,23-24,21,3
Georgia,2023-07-08,2023-09-02,2023-12-30,23-24,175,25
Georgia,2023-12-09,2024-02-17,2023-12-30,23-24,21,3
Idaho,2023-08-12,2023-10-14,2023-12-02,23-24,112,16
Illinois,2023-08-05,2023-09-23,2023-12-30,23-24,147,21
Illinois,2023-11-18,2024-01-06,2023-12-30,23-24,42,6
Indiana,2023-08-05,2023-09-23,2023-12-30,23-24,147,21
Indiana,2023-11-11,2024-01-06,2023-12-30,23-24,49,7
Kansas,2023-08-12,2023-09-23,2023-12-30,23-24,140,20
Kansas,2023-11-25,2024-01-06,2023-12-30,23-24,35,5
Kentucky,2023-08-05,2023-09-23,2023-12-30,23-24,147,21
Kentucky,2023-11-04,2024-01-06,2023-12-30,23-24,56,8
Louisiana,2023-07-15,2023-09-09,2024-01-06,23-24,175,25
Louisiana,2023-12-09,2024-02-10,2024-01-06,23-24,28,4
Maryland,2023-07-29,2023-09-30,2023-12-30,23-24,154,22
Maryland,2023-11-18,2024-01-13,2023-12-30,23-24,42,6
Mississippi,2023-07-29,2023-09-09,2023-12-30,23-24,154,22
Mississippi,2023-12-09,2024-01-27,2023-12-30,23-24,21,3
Montana,2023-07-29,2023-10-21,2023-11-11,23-24,105,15
New Hampshire,2023-08-12,2023-10-07,2023-12-30,23-24,140,20
New Hampshire,2023-12-09,2024-01-13,2023-12-30,23-24,21,3
New Jersey,2023-07-29,2023-10-07,2023-12-30,23-24,154,22
New Jersey,2023-12-09,2024-01-20,2023-12-30,23-24,21,3
New York,2023-08-05,2023-10-07,2023-12-30,23-24,147,21
New York,2023-12-09,2024-01-13,2023-12-30,23-24,21,3
North Carolina,2023-07-29,2023-09-23,2023-12-30,23-24,154,22
North Carolina,2023-12-16,2024-01-27,2023-12-30,23-24,14,2
North Dakota,2023-07-29,2023-12-30,2023-12-02,23-24,126,18
Ohio,2023-08-05,2023-09-30,2023-12-30,23-24,147,21
Ohio,2023-11-25,2024-01-06,2023-12-30,23-24,35,5
Pennsylvania,2023-07-15,2023-10-07,2023-12-30,23-24,168,24
Pennsylvania,2023-11-18,2024-01-13,2023-12-30,23-24,42,6
South Carolina,2023-07-22,2023-09-16,2024-01-06,23-24,168,24
South Carolina,2023-12-16,2024-02-03,2024-01-06,23-24,21,3
Tennessee,2023-07-22,2023-09-09,2023-12-30,23-24,161,23
Tennessee,2023-11-11,2024-01-13,2023-12-30,23-24,49,7
Texas,2023-07-22,2023-09-09,2024-01-06,23-24,168,24
Texas,2023-12-02,2024-02-03,2024-01-06,23-24,35,5
Utah,2023-08-05,2023-10-07,2023-12-30,23-24,147,21
Utah,2023-11-11,2024-01-06,2023-12-30,23-24,49,7
Vermont,2023-08-19,2023-10-07,2023-12-09,23-24,112,16
Vermont,2023-11-18,2024-01-06,2023-12-09,23-24,21,3
Virginia,2023-07-29,2023-09-23,2023-12-30,23-24,154,22
Virginia,2023-12-02,2024-01-13,2023-12-30,23-24,28,4
Wyoming,2023-07-22,2023-12-30,2023-12-02,23-24,133,19
District of Columbia,2023-08-12,2023-09-23,2024-01-13,23-24,154,22
District of Columbia,2023-12-09,2024-01-20,2024-01-13,23-24,35,5
