state,flu_onset,flu_end,season,flu_peak,time_diff
Alabama,2023-08-12,2024-01-06,23-24,2023-12-23,19
Alaska,2023-09-23,2023-11-11,23-24,2023-11-04,6
Arizona,2023-09-30,2024-01-06,23-24,2023-12-23,12
Arkansas,2023-10-28,2024-02-24,23-24,2024-02-10,15
California,2023-09-16,2024-01-06,23-24,2023-12-23,14
Colorado,2023-09-30,2024-01-13,23-24,2023-12-30,13
Connecticut,2023-11-04,2024-01-20,23-24,2023-12-30,8
Delaware,2023-11-25,2024-01-06,23-24,2023-12-30,5
Florida,2023-09-16,2024-01-06,23-24,2023-11-25,10
Georgia,2023-08-12,2023-12-30,23-24,2023-12-30,20
Hawaii,2023-08-05,2024-01-06,23-24,2023-10-28,12
Idaho,2023-09-16,2024-01-06,23-24,2023-12-30,15
Illinois,2023-09-09,2024-01-06,23-24,2023-12-30,16
Indiana,2023-09-30,2024-03-02,23-24,2023-12-30,13
Iowa,2023-06-03,2023-07-08,23-24,2023-12-30,30
Iowa,2023-11-18,2024-03-16,23-24,2023-12-30,6
Kansas,2023-10-14,2024-03-09,23-24,2024-01-06,12
Kentucky,2023-09-16,2024-02-24,23-24,2023-12-30,15
Louisiana,2023-08-19,2024-01-06,23-24,2023-12-23,18
Maine,2023-11-11,2024-02-24,23-24,2023-12-30,7
Maryland,2023-09-23,2023-12-30,23-24,2023-12-30,14
Massachusetts,2023-08-26,2024-01-13,23-24,2023-12-30,18
Michigan,2023-09-02,2024-03-16,23-24,2023-12-30,17
Minnesota,2023-11-04,2024-03-09,23-24,2024-02-10,14
Mississippi,2023-10-21,2024-01-06,23-24,2023-12-30,10
Montana,2023-11-25,2024-01-13,23-24,2023-12-30,5
Nebraska,2023-11-25,2024-03-16,23-24,2023-12-30,5
Nevada,2023-11-04,2024-01-13,23-24,2023-12-23,7
New Hampshire,2023-12-09,2024-01-20,23-24,2023-12-30,3
New Jersey,2023-10-14,2024-01-13,23-24,2023-12-30,11
New Mexico,2023-11-04,2024-01-06,23-24,2023-12-30,8
New York,2023-09-23,2024-01-13,23-24,2023-12-30,14
North Carolina,2023-09-02,2024-01-06,23-24,2023-12-30,17
North Dakota,2023-12-02,2024-01-20,23-24,2023-12-30,4
Ohio,2023-08-19,2024-03-09,23-24,2024-02-24,27
Oklahoma,2023-11-04,2024-02-24,23-24,2024-02-03,13
Oregon,2023-11-18,2024-01-13,23-24,2023-12-30,6
Pennsylvania,2023-09-09,2024-01-06,23-24,2023-12-30,16
Rhode Island,2023-09-09,2024-01-20,23-24,2023-12-30,16
South Carolina,2023-09-09,2023-12-30,23-24,2023-12-23,15
South Dakota,2023-10-28,2024-03-16,23-24,2023-12-30,9
Tennessee,2023-08-12,2024-01-13,23-24,2023-12-30,20
Texas,2023-08-12,2024-01-27,23-24,2023-12-23,19
Utah,2023-10-28,2024-01-13,23-24,2023-12-30,9
Vermont,2023-11-11,2024-03-02,23-24,2024-01-13,9
Virginia,2023-09-02,2024-01-06,23-24,2023-12-30,17
Washington,2023-09-09,2024-01-13,23-24,2023-12-30,16
West Virginia,2023-11-04,2024-03-02,23-24,2024-01-20,11
Wisconsin,2023-09-23,2024-03-09,23-24,2023-12-30,14
Wyoming,2023-12-02,2024-02-17,23-24,2023-12-30,4
District of Columbia,2023-11-25,2024-01-06,23-24,2023-12-30,5
Alabama,2023-10-14,2024-01-06,23-24,2023-12-23,10
Alaska,2023-09-16,2023-11-11,23-24,2023-11-04,7
Arizona,2023-11-25,2024-01-13,23-24,2023-12-23,4
Arkansas,2023-11-11,2024-02-24,23-24,2024-02-10,13
Colorado,2023-10-28,2024-01-06,23-24,2023-12-30,9
Connecticut,2023-10-14,2024-01-06,23-24,2023-12-30,11
Delaware,2023-08-26,2024-01-13,23-24,2023-12-30,18
Florida,2023-10-07,2023-12-30,23-24,2023-11-25,7
Georgia,2023-09-09,2024-01-06,23-24,2023-12-30,16
Hawaii,2023-10-07,2023-12-30,23-24,2023-10-28,3
Idaho,2023-11-25,2024-01-13,23-24,2023-12-30,5
Illinois,2023-10-21,2024-01-06,23-24,2023-12-30,10
Indiana,2023-09-30,2024-01-13,23-24,2023-12-30,13
Iowa,2023-09-23,2024-03-16,23-24,2023-12-30,14
Kansas,2023-11-11,2024-01-13,23-24,2024-01-06,8
Kentucky,2023-10-07,2024-01-20,23-24,2023-12-30,12
