week_end,state,season,ili_rescaled,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-01,Arizona,22-23,0,0,0.023073619254986903,0.06495559216460194
2022-11-12,Arizona,22-23,0.5947333296219556,0.1463299853683199,0.14997852515741492,0.2715504616881276
2022-12-10,Arizona,22-23,0.9914195050629878,0.4600014411834876,0.11767545820043324,0.38071194296475025
2023-01-28,Arizona,22-23,0.13199514876351393,0.024763535985407977,0.0253809811804856,0.05503182113945443
2023-04-15,Arizona,22-23,0.09788277921487235,0.016509023990271987,0.0023073619254986907,0.0730750411851772
2023-04-29,Arizona,22-23,0.08334078989687853,0.02401312580403198,0.0023073619254986907,0.05052101612802373
2022-10-08,Arizona,22-23,0.08191408821704438,0.0022512305441279978,0.028842024068733634,0.06315127016002968
2022-12-17,Arizona,22-23,0.7223093093749627,0.35794565651635174,0.09344815798269696,0.2904958427361365
2022-12-31,Arizona,22-23,0.6606027713173009,0.2889079198297598,0.07152821969045942,0.24358347061725727
2023-01-21,Arizona,22-23,0.103012594417562,0.030766817436415968,0.03114938599423233,0.06224910915774354
2023-02-04,Arizona,22-23,0.17170163137589717,0.015758613808895986,0.01961257636673887,0.05593398214174057
2023-02-25,Arizona,22-23,0.19408484525019912,0.015008203627519987,0.013844171552992146,0.08931393922632767
2023-03-04,Arizona,22-23,0.14665659335643855,0.012006562902015992,0.011536809627493455,0.08750961722175539
2023-05-27,Arizona,22-23,0.07076868567868741,0.04352379051980797,0,0
2022-10-22,Arizona,22-23,0.08550450808430478,0.007504101813759995,0.04383987658447513,0.09653122724461677
2022-11-19,Arizona,22-23,0.7828821492573376,0.2251230544127998,0.16151533478490834,0.3599622399121692
2022-12-24,Arizona,22-23,0.7392697045420276,0.35794565651635174,0.08306502931795287,0.26343101266755237
2023-01-07,Arizona,22-23,0.36514930669736145,0.12756973083391993,0.06806717680221137,0.16238898041150485
2023-01-14,Arizona,22-23,0.1672908016959043,0.04877666178943996,0.04730091947272316,0.08660745621946928
2023-02-11,Arizona,22-23,0.18182602939456236,0.015008203627519987,0.018458895403989525,0.06766207517146036
2023-02-18,Arizona,22-23,0.14634555886699604,0.014257793446143988,0.01499785251574149,0.08480313421489699
2023-03-25,Arizona,22-23,0.026646865640087586,0.012006562902015992,0.004614723850997381,0.06766207517146036
2023-04-22,Arizona,22-23,0.06043242358750336,0.022512305441279978,0.0011536809627493453,0.07127071918060492
2023-05-13,Arizona,22-23,0.06322497237315036,0.03977173961292796,0.0011536809627493453,0.02886915207315642
2023-05-20,Arizona,22-23,0.06065104927935791,0.046525431245311964,0,0.023456186059439586
2022-10-15,Arizona,22-23,0.07177842083281966,0,0.03345674791973101,0.05864046514859898
