week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-08,Colorado,22-23,1.54,0.09,0.2,2.00319,0.006915864509632526,0,0.07509881422924901,0.30128205128205127,0.598950634140936,0.1866889091011221,0.3286567153337686,0,0.014020115703246324,0.099018369363379
2022-12-24,Colorado,22-23,2.25,5.73,0.93,8.89574,0.922550553827106,0.9724137931034484,0.3636363636363636,0.5288461538461539,0.598950634140936,0.1866889091011221,0.3286567153337686,0.5824278580267034,0.06788687603677167,0.17380883983997378
2023-01-21,Colorado,22-23,1.37,0.64,0.35,2.85617,0.12022923580095703,0.09482758620689656,0.1343873517786561,0.24679487179487183,0.598950634140936,0.1866889091011221,0.3286567153337686,0.05679704289267497,0.02508862810054605,0.08111079192532111
2023-02-04,Colorado,22-23,1.51,0.48,0.26,3.30984,0.18049662443109507,0.06724137931034484,0.09881422924901184,0.2916666666666667,0.598950634140936,0.1866889091011221,0.3286567153337686,0.04027426677844225,0.018447520662166213,0.09585820863901585
2023-02-25,Colorado,22-23,1.9,0.22,0.15,3.08658,0.1508378478190982,0.02241379310344828,0.055335968379446626,0.4166666666666666,0.598950634140936,0.1866889091011221,0.3286567153337686,0.013424755592814084,0.010330611570813077,0.1369402980557369
2023-03-25,Colorado,22-23,1.48,0.14,0.05,3.14582,0.15870753305825747,0.008620689655172417,0.015810276679841896,0.28205128205128205,0.598950634140936,0.1866889091011221,0.3286567153337686,0.005163367535697726,0.002951603305946594,0.09269804791465268
2023-04-08,Colorado,22-23,1.13,0.14,0.05,2.65994,0.09416123555652386,0.008620689655172417,0.015810276679841896,0.16987179487179485,0.598950634140936,0.1866889091011221,0.3286567153337686,0.005163367535697726,0.002951603305946594,0.05582950613041582
2023-04-15,Colorado,22-23,1.08,0.18,0.03,2.64899,0.0927065925219392,0.015517241379310345,0.007905138339920946,0.15384615384615388,0.598950634140936,0.1866889091011221,0.3286567153337686,0.009294061564255903,0.0014758016529732969,0.05056257158981057
2023-04-29,Colorado,22-23,0.7,0.13,0.02,2.49728,0.07255281217702274,0.006896551724137933,0.003952569169960474,0.03205128205128204,0.598950634140936,0.1866889091011221,0.3286567153337686,0.00413069402855818,7.379008264866485e-4,0.01053386908121053
2022-10-22,Colorado,22-23,1.98,0.2,0.59,3.00054,0.13940794035830714,0.018965517241379314,0.22924901185770746,0.44230769230769224,0.598950634140936,0.1866889091011221,0.3286567153337686,0.011359408578534994,0.04279824793622561,0.14536739332070533
2022-10-29,Colorado,22-23,2.16,0.48,0.84,3.81954,0.2482072686984731,0.06724137931034484,0.3280632411067193,0.5,0.598950634140936,0.1866889091011221,0.3286567153337686,0.04027426677844225,0.06124576859839182,0.1643283576668843
2022-12-03,Colorado,22-23,3.53,5.32,1.92,9.25633,0.970452812442711,0.9017241379310346,0.7549407114624505,0.939102564102564,0.598950634140936,0.1866889091011221,0.3286567153337686,0.5400882442339819,0.14093905785894986,0.30864236407946855
2022-12-17,Colorado,22-23,2.58,5.89,1.25,9.44431,0.9954248487569777,1,0.49011857707509876,0.6346153846153846,0.598950634140936,0.1866889091011221,0.3286567153337686,0.598950634140936,0.09149970248434441,0.20857060780796854
2022-12-31,Colorado,22-23,2.24,4.25,0.87,7.10632,0.6848366415945545,0.7172413793103449,0.33992094861660077,0.5256410256410257,0.598950634140936,0.1866889091011221,0.3286567153337686,0.4295921789700507,0.06345947107785177,0.17275545293185274
2023-01-28,Colorado,22-23,1.29,0.5,0.32,3.12975,0.15657272816640586,0.0706896551724138,0.12252964426877469,0.22115384615384617,0.598950634140936,0.1866889091011221,0.3286567153337686,0.04233961379272134,0.022874925621086103,0.07268369666035268
2023-02-11,Colorado,22-23,1.8,0.29,0.22,3.33002,0.18317741862633877,0.034482758620689655,0.08300395256916995,0.38461538461538464,0.598950634140936,0.1866889091011221,0.3286567153337686,0.020653470142790894,0.01549591735621962,0.1264064289745264
