week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_times_coef,rsv_times_coef,covid_times_coef
2023-07-15,Colorado,0.48,0.06,0,23-24,2023,28,0.950066,0.018302550381201946,0.004008016032064127,0,0.05809128630705392,0,0.19031202262286548,0.8915009216940233,0,0.003573149986749591,0,0.011055470193859402
2023-07-29,Colorado,0.63,0.05,0.02,23-24,2023,30,0.822079,0.001503412999521565,0.0020040080160320644,0.016806722689075633,0.12033195020746887,0,0.19031202262286548,0.8915009216940233,0,0.0017865749933747965,0,0.022900616830137336
2023-08-26,Colorado,1.42,0.08,0,23-24,2023,34,1.46417,0.08578208911928795,0.008016032064128256,0,0.44813278008298746,0,0.19031202262286548,0.8915009216940233,0,0.007146299973499184,0,0.08528505578120112
2023-09-02,Colorado,1.59,0.07,0,23-24,2023,35,1.69729,0.11638062573954885,0.006012024048096193,0,0.5186721991701244,0,0.19031202262286548,0.8915009216940233,0,0.005359724980124389,0,0.09870955530231611
2023-09-09,Colorado,1.77,0.1,0.02,23-24,2023,36,1.90034,0.14303227665214313,0.012024048096192385,0.016806722689075633,0.5933609958506223,0,0.19031202262286548,0.8915009216940233,0,0.010719449960248777,0,0.11292373126584962
2023-10-07,Colorado,2.05,0.15,0.05,23-24,2023,40,2.10362,0.16971411658079202,0.022044088176352703,0.04201680672268908,0.7095435684647301,0,0.19031202262286548,0.8915009216940233,0,0.019652324927122756,0,0.13503467165356842
2023-10-28,Colorado,2.36,0.4,0.07,23-24,2023,43,2.5808,0.23234713693278286,0.07214428857715431,0.05882352941176471,0.8381742738589211,0,0.19031202262286548,0.8915009216940233,0,0.06431669976149267,0,0.15951464136854282
2023-11-11,Colorado,2.55,1.06,0.22,23-24,2023,45,3.66139,0.3741816971871056,0.20440881763527052,0.18487394957983194,0.91701244813278,0,0.19031202262286548,0.8915009216940233,0,0.1822306493242292,0,0.17451849377449488
2023-12-30,Colorado,2.38,5.03,1.19,23-24,2023,52,8.42929,1,1,1,0.8464730290456431,0,0.19031202262286548,0.8915009216940233,0,0.8915009216940233,0,0.16109399425337992
2024-01-20,Colorado,1.62,3.08,0.67,23-24,2024,3,5.19406,0.5753547373457162,0.6092184368737474,0.5630252100840337,0.5311203319502075,0,0.19031202262286548,0.8915009216940233,0,0.543118797985938,0,0.10107858462957171
2024-01-27,Colorado,1.32,2.97,0.64,23-24,2024,4,5.14802,0.5693116838711244,0.5871743486973948,0.5378151260504203,0.40663900414937754,0,0.19031202262286548,0.8915009216940233,0,0.5234664730588153,0,0.07738829135701583
2024-02-24,Colorado,0.99,2.12,0.37,23-24,2024,8,4.30404,0.45853374574154393,0.4168336673346693,0.31092436974789917,0.26970954356846466,0,0.19031202262286548,0.8915009216940233,0,0.3716075986219576,0,0.05132896875720437
2024-03-09,Colorado,0.7,1.59,0.36,23-24,2024,10,3.88246,0.403198591879286,0.3106212424849699,0.3025210084033613,0.14937759336099582,0,0.19031202262286548,0.8915009216940233,0,0.2769191239730934,0,0.028428351927067035
2024-03-23,Colorado,0.52,1.05,0.24,23-24,2024,12,2.98836,0.28584207338162265,0.20240480961923846,0.20168067226890757,0.07468879668049792,0,0.19031202262286548,0.8915009216940233,0,0.18044407433085438,0,0.014214175963533521
2024-04-06,Colorado,0.43,0.66,0.13,23-24,2024,14,2.65827,0.24251558507953822,0.12424849699398798,0.10924369747899161,0.03734439834024895,0,0.19031202262286548,0.8915009216940233,0,0.11076764958923736,0,0.007107087981766758
2024-05-04,Colorado,0.41,0.31,0.06,23-24,2024,18,2.62853,0.23861201404708043,0.05410821643286573,0.05042016806722689,0.029045643153526948,0,0.19031202262286548,0.8915009216940233,0,0.048237524821119496,0,0.005527735096929698
2023-07-22,Colorado,0.5,0.06,0,23-24,2023,29,0.862438,0.006800797777563392,0.004008016032064127,0,0.06639004149377592,0,0.19031202262286548,0.8915009216940233,0,0.003573149986749591,0,0.01263482307869646
2023-08-12,Colorado,0.95,0.04,0.02,23-24,2023,32,0.990891,0.02366110073090232,0,0.016806722689075633,0.2531120331950207,0,0.19031202262286548,0.8915009216940233,0,0,0,0.04817026298753025
2023-10-14,Colorado,2.32,0.24,0.07,23-24,2023,41,2.36711,0.20429891588618215,0.04008016032064128,0.05882352941176471,0.821576763485477,0,0.19031202262286548,0.8915009216940233,0,0.03573149986749592,0,0.1563559355988687
2023-11-04,Colorado,2.43,0.62,0.1,23-24,2023,44,3.10711,0.30142879362722996,0.11623246492985971,0.08403361344537816,0.8672199170124482,0,0.19031202262286548,0.8915009216940233,0,0.10362134961573817,0,0.16504237646547257
2023-12-02,Colorado,2.6,2.28,0.57,23-24,2023,48,5.01196,0.5514529120259258,0.4488977955911823,0.4789915966386554,0.9377593360995851,0,0.19031202262286548,0.8915009216940233,0,0.4001927985159543,0,0.17846687598658753
2023-12-16,Colorado,2.02,3.8,1.03,23-24,2023,50,6.85496,0.7933588102377517,0.7535070140280561,0.865546218487395,0.6970954356846473,0,0.19031202262286548,0.8915009216940233,0,0.6717521975089233,0,0.13266564232631287
2024-01-06,Colorado,2.16,4.2,1.08,23-24,2024,1,7.02405,0.8155529873015811,0.8336673346693386,0.9075630252100841,0.7551867219917012,0,0.19031202262286548,0.8915009216940233,0,0.7432151972439152,0,0.14372111252017228
2024-02-10,Colorado,1.15,2.53,0.53,23-24,2024,6,4.90507,0.5374228949560061,0.4989979959919839,0.44537815126050423,0.3360995850622406,0,0.19031202262286548,0.8915009216940233,0,0.4448571733503242,0,0.06396379183590083
2024-04-13,Colorado,0.34,0.59,0.11,23-24,2024,15,2.63769,0.23981432442560477,0.11022044088176351,0.09243697478991597,0,0,0.19031202262286548,0.8915009216940233,0,0.09826162463561378,0,0
2024-05-18,Colorado,0.45,0.3,0.05,23-24,2024,20,2.24864,0.18874894748620658,0.052104208416833664,0.04201680672268908,0.045643153526970945,0,0.19031202262286548,0.8915009216940233,0,0.0464509498277447,0,0.008686440866603817
2024-05-25,Colorado,0.47,0.25,0.03,23-24,2024,21,1.97236,0.1524853763749948,0.04208416833667334,0.025210084033613446,0.05394190871369292,0,0.19031202262286548,0.8915009216940233,0,0.037518074860870713,0,0.010265793751440872
2023-06-03,Colorado,0.37,0.1,0.01,23-24,2023,22,1.8689,0.138905569414064,0.012024048096192385,0.008403361344537816,0.012448132780082975,0,0.19031202262286548,0.8915009216940233,0,0.010719449960248777,0,0.0023690293272555845
2023-06-10,Colorado,0.39,0.09,0.01,23-24,2023,23,1.60421,0.10416326219882353,0.01002004008016032,0.008403361344537816,0.020746887966804975,0,0.19031202262286548,0.8915009216940233,0,0.00893287496687398,0,0.003948382212092644
2023-06-17,Colorado,0.41,0.09,0.01,23-24,2023,24,1.41332,0.07910769143937946,0.01002004008016032,0.008403361344537816,0.029045643153526948,0,0.19031202262286548,0.8915009216940233,0,0.00893287496687398,0,0.005527735096929698
2023-07-01,Colorado,0.42,0.06,0,23-24,2023,26,1.07157,0.03425075127991582,0.004008016032064127,0,0.033195020746887946,0,0.19031202262286548,0.8915009216940233,0,0.003573149986749591,0,0.006317411539348228
2023-08-05,Colorado,0.7,0.06,0.01,23-24,2023,31,0.810625,0,0.004008016032064127,0.008403361344537816,0.14937759336099582,0,0.19031202262286548,0.8915009216940233,0,0.003573149986749591,0,0.028428351927067035
2023-08-19,Colorado,1.1,0.07,0.01,23-24,2023,33,1.08732,0.036318042596701655,0.006012024048096193,0.008403361344537816,0.3153526970954357,0,0.19031202262286548,0.8915009216940233,0,0.005359724980124389,0,0.0600154096238082
2023-09-16,Colorado,1.65,0.06,0.02,23-24,2023,37,1.76674,0.12549639602213772,0.004008016032064127,0.016806722689075633,0.5435684647302903,0,0.19031202262286548,0.8915009216940233,0,0.003573149986749591,0,0.10344761395682726
2023-09-23,Colorado,1.86,0.1,0.02,23-24,2023,38,1.86441,0.13831622731804064,0.012024048096192385,0.016806722689075633,0.6307053941908713,0,0.19031202262286548,0.8915009216940233,0,0.010719449960248777,0,0.1200308192476164
2023-11-18,Colorado,2.59,1.58,0.26,23-24,2023,46,4.51131,0.4857392994704453,0.30861723446893785,0.21848739495798322,0.933609958506224,0,0.19031202262286548,0.8915009216940233,0,0.27513254897971856,0,0.177677199544169
