,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-08-19,2024-01-06
1,Alabama,Alabama,2024-08-03,2024-09-07
2,Alabama,Alabama,2024-11-09,2025-01-04
3,Alaska,Alaska,2022-11-12,2022-12-17
4,Alaska,Alaska,2023-09-09,2023-11-11
5,Alaska,Alaska,2024-12-14,2025-01-04
6,Arizona,Arizona,2022-11-12,2022-12-24
7,Arizona,Arizona,2023-10-28,2024-01-13
8,Arizona,Arizona,2024-11-02,2025-01-11
9,Arkansas,Arkansas,2023-08-19,2024-02-24
10,Arkansas,Arkansas,2024-07-27,2024-09-14
11,Arkansas,Arkansas,2024-11-09,2025-01-11
12,California,California,2022-11-12,2022-12-17
13,California,California,2023-09-16,2024-01-06
14,California,California,2024-10-12,2025-01-11
15,Colorado,Colorado,2022-11-12,2022-12-24
16,Colorado,Colorado,2023-08-26,2024-01-06
17,Colorado,Colorado,2024-08-17,2025-01-11
18,Connecticut,Connecticut,2022-11-12,2022-12-24
19,Connecticut,Connecticut,2023-09-02,2024-01-06
20,Connecticut,Connecticut,2024-08-24,2025-01-11
21,Delaware,Delaware,2022-11-12,2022-12-24
22,Delaware,Delaware,2023-09-09,2024-01-06
23,Delaware,Delaware,2024-09-14,2025-01-11
24,Florida,Florida,2022-11-19,2022-12-31
25,Florida,Florida,2023-08-12,2024-01-06
26,Florida,Florida,2024-11-09,2025-01-11
27,Georgia,Georgia,2023-08-05,2024-01-06
28,Georgia,Georgia,2024-08-03,2024-09-07
29,Georgia,Georgia,2024-11-09,2025-01-11
30,Hawaii,Hawaii,2023-08-19,2023-12-30
31,Hawaii,Hawaii,2024-06-01,2024-06-22
32,Hawaii,Hawaii,2024-11-09,2025-01-04
33,Idaho,Idaho,2022-11-12,2022-12-24
34,Idaho,Idaho,2023-09-02,2024-01-13
35,Idaho,Idaho,2024-11-16,2025-01-04
36,Illinois,Illinois,2022-11-12,2022-12-17
37,Illinois,Illinois,2023-08-19,2024-01-06
38,Illinois,Illinois,2024-08-17,2025-01-11
39,Indiana,Indiana,2022-11-26,2022-12-24
40,Indiana,Indiana,2023-08-26,2024-01-06
41,Indiana,Indiana,2024-08-03,2025-01-04
42,Iowa,Iowa,2022-11-12,2022-12-24
43,Iowa,Iowa,2023-07-29,2023-09-09
44,Iowa,Iowa,2023-11-11,2024-03-09
