,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2023-12-30,2025-02-15
1,State,Alabama,2024-08-17,2025-02-15
2,State,Alaska,2024-01-06,2025-02-15
3,State,Alaska,2024-07-27,2025-02-15
4,State,Arizona,2023-10-21,2025-02-15
5,State,Arizona,2023-11-18,2025-02-15
6,State,Arizona,2023-12-30,2025-02-15
7,State,Arkansas,2023-12-30,2025-02-15
8,State,Arkansas,2024-08-10,2025-02-15
9,State,California,2023-12-30,2025-02-15
10,State,Colorado,2023-11-25,2025-02-15
11,State,Connecticut,2023-12-30,2025-02-15
12,State,Delaware,2023-12-30,2025-02-15
13,State,District of Columbia,2024-01-13,2025-02-15
14,State,District of Columbia,2024-08-03,2025-02-15
15,State,Florida,2024-01-06,2025-02-15
16,State,Florida,2024-07-20,2025-02-15
17,State,Georgia,2023-12-30,2025-02-15
18,State,Georgia,2024-08-24,2025-02-15
19,State,Hawaii,2024-06-22,2025-02-15
20,State,Idaho,2023-12-02,2025-02-15
21,State,Idaho,2023-12-30,2025-02-15
22,State,Illinois,2023-12-30,2025-02-15
23,State,Indiana,2023-12-30,2025-02-15
24,State,Kansas,2023-12-30,2025-02-15
25,State,Kansas,2024-12-28,2025-02-15
26,State,Kentucky,2023-12-30,2025-02-15
27,State,Kentucky,2024-08-24,2025-02-15
28,State,Louisiana,2024-01-06,2025-02-15
29,State,Louisiana,2024-02-10,2025-02-15
30,State,Louisiana,2024-08-10,2025-02-15
31,State,Maine,2024-09-21,2025-02-15
32,State,Maine,2025-01-04,2025-02-15
33,State,Maryland,2023-12-30,2025-02-15
34,State,Minnesota,2024-02-10,2024-02-24
35,State,Minnesota,2024-08-17,2025-02-15
36,State,Minnesota,2025-01-04,2025-02-15
37,State,Mississippi,2023-12-30,2025-02-15
38,State,Mississippi,2024-08-10,2025-02-15
39,State,Montana,2023-11-11,2025-02-15
40,State,Montana,2024-01-06,2025-02-15
41,State,Nebraska,2024-08-17,2025-02-15
42,State,Nebraska,2025-01-04,2025-02-15
43,State,New Hampshire,2023-12-30,2025-02-15
44,State,New Jersey,2023-12-30,2025-02-15
45,State,New Mexico,2024-08-17,2025-02-15
46,State,New York,2023-12-30,2025-02-15
47,State,New York,2024-08-03,2025-02-15
48,State,North Carolina,2023-12-30,2025-02-15
49,State,North Carolina,2024-08-17,2025-02-15
50,State,North Dakota,2023-12-02,2025-02-15
51,State,North Dakota,2024-09-07,2025-02-15
52,State,Ohio,2023-12-30,2025-02-15
53,State,Pennsylvania,2023-12-30,2025-02-15
54,State,Rhode Island,2024-08-17,2025-02-15
55,State,Rhode Island,2025-01-04,2025-02-15
56,State,South Carolina,2024-01-06,2025-02-15
57,State,South Carolina,2024-08-24,2025-02-15
58,State,South Dakota,2024-09-07,2025-02-15
59,State,South Dakota,2025-01-04,2025-02-15
60,State,Tennessee,2023-12-30,2025-02-15
61,State,Tennessee,2024-08-17,2025-02-15
62,State,Texas,2024-01-06,2025-02-15
63,State,Texas,2024-01-27,2025-02-15
64,State,Texas,2024-08-03,2025-02-15
65,State,Utah,2023-12-30,2025-02-15
66,State,Vermont,2023-12-09,2025-02-15
67,State,Vermont,2023-12-30,2025-02-15
68,State,Vermont,2024-02-03,2024-02-17
69,State,Vermont,2024-08-24,2025-02-15
70,State,Vermont,2024-09-14,2025-02-15
71,State,Virginia,2023-12-30,2025-02-15
72,State,Washington,2024-08-03,2025-02-15
73,State,West Virginia,2024-09-07,2025-02-15
74,State,Wisconsin,2024-08-17,2025-02-15
75,State,Wisconsin,2025-01-04,2025-02-15
76,State,Wyoming,2023-12-02,2025-02-15
77,State,Wyoming,2023-12-30,2025-02-15
