,name_location,name_proxy,date_peak,date_detected
0,State,Alabama,2023-12-30,2025-02-15
1,State,Alabama,2024-12-28,2025-02-15
2,State,Alaska,2023-11-04,2025-02-15
3,State,Arizona,2023-12-30,2025-02-15
4,State,Arizona,2024-12-28,2025-02-15
5,State,Arkansas,2023-12-30,2025-02-15
6,State,Arkansas,2024-02-17,2025-02-15
7,State,Arkansas,2024-12-28,2025-02-15
8,State,Arkansas,2025-02-01,2025-02-15
9,State,California,2023-12-30,2025-02-15
10,State,California,2024-12-28,2025-02-15
11,State,Colorado,2023-12-30,2025-02-15
12,State,Colorado,2024-12-28,2025-02-15
13,State,Connecticut,2023-12-30,2025-02-15
14,State,Delaware,2023-12-30,2025-02-15
15,State,Delaware,2025-01-04,2025-02-15
16,State,District of Columbia,2023-12-30,2025-02-15
17,State,District of Columbia,2024-02-24,2025-02-15
18,State,Florida,2023-11-18,2025-02-15
19,State,Florida,2023-12-30,2025-02-15
20,State,Florida,2024-12-28,2025-02-15
21,State,Florida,2025-02-01,2025-02-15
22,State,Georgia,2023-12-30,2025-02-15
23,State,Georgia,2024-12-28,2025-02-15
24,State,Georgia,2025-01-25,2025-02-15
25,State,Hawaii,2023-11-11,2025-02-15
26,State,Hawaii,2023-12-30,2025-02-15
27,State,Hawaii,2024-12-28,2025-02-15
28,State,Idaho,2023-12-30,2025-02-15
29,State,Idaho,2024-12-28,2025-02-15
30,State,Illinois,2023-12-30,2025-02-15
31,State,Illinois,2024-12-28,2025-02-15
32,State,Indiana,2023-12-30,2025-02-15
33,State,Iowa,2024-01-06,2025-02-15
34,State,Iowa,2024-02-24,2025-02-15
35,State,Iowa,2024-12-28,2025-02-15
36,State,Kansas,2023-12-30,2025-02-15
37,State,Kansas,2024-03-02,2025-02-15
38,State,Kansas,2024-12-28,2025-02-15
39,State,Kentucky,2023-12-30,2025-02-15
40,State,Kentucky,2024-12-28,2025-02-15
41,State,Louisiana,2023-12-23,2025-02-15
42,State,Louisiana,2024-12-28,2025-02-15
43,State,Maine,2023-12-30,2025-02-15
44,State,Maryland,2023-12-30,2025-02-15
45,State,Massachusetts,2023-12-30,2025-02-15
46,State,Michigan,2023-12-30,2025-02-15
47,State,Michigan,2024-03-02,2025-02-15
48,State,Minnesota,2023-12-30,2025-02-15
49,State,Minnesota,2024-02-03,2025-02-15
50,State,Minnesota,2024-02-10,2024-02-24
51,State,Minnesota,2025-01-25,2025-02-15
52,State,Mississippi,2023-11-18,2025-02-15
53,State,Mississippi,2023-12-23,2025-02-15
54,State,Mississippi,2024-12-28,2025-02-15
55,State,Mississippi,2025-01-25,2025-02-15
56,State,Montana,2023-12-30,2025-02-15
57,State,Montana,2024-12-28,2025-02-15
58,State,Nebraska,2023-12-30,2025-02-15
59,State,Nebraska,2024-03-02,2025-02-15
60,State,Nebraska,2024-12-28,2025-02-15
61,State,Nevada,2023-12-30,2025-02-15
62,State,Nevada,2024-12-28,2025-02-15
63,State,New Hampshire,2023-12-30,2025-02-15
64,State,New Hampshire,2024-03-02,2025-02-15
65,State,New Jersey,2023-12-30,2025-02-15
66,State,New Jersey,2025-02-01,2025-02-15
67,State,New Mexico,2023-12-30,2025-02-15
68,State,New Mexico,2024-12-28,2025-02-15
69,State,New York,2023-12-30,2025-02-15
70,State,New York,2025-02-01,2025-02-15
71,State,North Carolina,2023-12-30,2025-02-15
72,State,North Carolina,2025-02-08,2025-02-15
73,State,North Dakota,2023-12-23,2025-02-15
74,State,North Dakota,2025-01-25,2025-02-15
75,State,Ohio,2023-12-30,2025-02-15
76,State,Ohio,2024-02-24,2025-02-15
77,State,Oklahoma,2024-01-06,2025-02-15
78,State,Oklahoma,2024-02-10,2025-02-15
79,State,Oklahoma,2025-02-01,2025-02-15
80,State,Oregon,2023-12-30,2025-02-15
81,State,Oregon,2024-02-17,2025-02-15
82,State,Oregon,2024-12-28,2025-02-15
83,State,Pennsylvania,2023-12-30,2025-02-15
84,State,Rhode Island,2023-12-30,2025-02-15
85,State,Rhode Island,2024-02-10,2025-02-15
86,State,Rhode Island,2024-03-09,2025-02-15
87,State,South Carolina,2023-12-30,2025-02-15
88,State,South Carolina,2025-02-01,2025-02-15
89,State,South Dakota,2023-12-30,2025-02-15
90,State,Tennessee,2023-12-30,2025-02-15
91,State,Tennessee,2024-12-28,2025-02-15
92,State,Tennessee,2025-02-01,2025-02-15
93,State,Texas,2023-11-25,2025-02-15
94,State,Texas,2023-12-23,2025-02-15
95,State,Texas,2024-02-03,2025-02-15
96,State,Texas,2025-02-01,2025-02-15
97,State,Utah,2023-12-30,2025-02-15
98,State,Utah,2024-12-28,2025-02-15
99,State,Vermont,2023-12-30,2025-02-15
100,State,Vermont,2024-02-03,2025-02-15
101,State,Vermont,2024-02-03,2024-02-17
102,State,Vermont,2024-07-06,2025-02-15
103,State,Virginia,2023-12-30,2025-02-15
104,State,Virginia,2024-12-28,2025-02-15
105,State,Washington,2023-12-30,2025-02-15
106,State,Washington,2024-12-28,2025-02-15
107,State,West Virginia,2023-12-30,2025-02-15
108,State,West Virginia,2024-03-02,2025-02-15
109,State,Wisconsin,2023-12-30,2025-02-15
110,State,Wyoming,2023-12-30,2025-02-15
111,State,Wyoming,2024-12-28,2025-02-15
