,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-09-09,2023-12-09
1,Alabama,Alabama,2024-09-21,2025-01-04
2,Alaska,Alaska,2023-10-28,2024-01-06
3,Alaska,Alaska,2024-11-23,2025-01-04
4,Arizona,Arizona,2023-10-28,2024-01-20
5,Arizona,Arizona,2024-11-23,2025-02-15
6,Arkansas,Arkansas,2023-10-07,2023-12-30
7,Arkansas,Arkansas,2024-10-26,2025-01-11
8,California,California,2023-09-23,2024-01-06
9,California,California,2024-10-19,2025-02-01
10,Colorado,Colorado,2023-09-30,2024-01-13
11,Colorado,Colorado,2024-11-23,2025-02-15
12,Connecticut,Connecticut,2023-10-07,2023-12-23
13,Connecticut,Connecticut,2024-10-26,2025-01-11
14,Delaware,Delaware,2023-09-16,2023-12-09
15,Delaware,Delaware,2024-09-07,2025-01-04
16,Florida,Florida,2023-06-10,2023-11-18
17,Florida,Florida,2024-08-24,2025-01-04
18,Georgia,Georgia,2023-08-26,2023-11-25
19,Georgia,Georgia,2024-08-31,2024-12-28
20,Hawaii,Hawaii,2023-08-26,2023-12-23
21,Hawaii,Hawaii,2024-09-28,2025-01-04
22,Idaho,Idaho,2022-11-12,2022-12-17
23,Idaho,Idaho,2023-10-21,2024-01-27
24,Idaho,Idaho,2024-12-21,2025-02-15
25,Illinois,Illinois,2023-08-26,2023-12-30
26,Illinois,Illinois,2024-10-19,2025-01-11
27,Indiana,Indiana,2023-08-19,2024-01-06
28,Indiana,Indiana,2024-10-26,2025-01-11
29,Iowa,Iowa,2023-10-14,2024-01-20
30,Iowa,Iowa,2024-11-23,2025-02-08
31,Kansas,Kansas,2023-09-30,2024-01-13
32,Kansas,Kansas,2024-11-16,2025-02-08
33,Kentucky,Kentucky,2023-09-09,2023-12-23
34,Kentucky,Kentucky,2024-10-26,2025-01-11
35,Louisiana,Louisiana,2023-08-05,2023-12-09
36,Louisiana,Louisiana,2024-08-31,2025-01-04
37,Maine,Maine,2023-10-21,2024-01-13
38,Maine,Maine,2024-12-14,2025-02-08
39,Maryland,Maryland,2023-09-30,2023-12-16
40,Maryland,Maryland,2024-10-12,2025-01-04
41,Massachusetts,Massachusetts,2023-08-19,2023-12-23
42,Massachusetts,Massachusetts,2024-10-05,2025-01-11
43,Michigan,Michigan,2023-10-07,2024-01-06
44,Michigan,Michigan,2024-10-19,2025-01-25
45,Minnesota,Minnesota,2023-10-28,2024-01-20
46,Minnesota,Minnesota,2024-10-26,2025-02-15
47,Mississippi,Mississippi,2023-08-05,2023-12-02
48,Mississippi,Mississippi,2024-10-19,2024-12-21
49,Montana,Montana,2022-11-12,2022-12-31
50,Montana,Montana,2023-10-28,2024-03-16
51,Montana,Montana,2024-12-14,2025-02-15
52,Montana,Montana,2024-12-28,2025-02-15
53,Nebraska,Nebraska,2023-10-28,2024-01-06
54,Nebraska,Nebraska,2024-11-16,2025-02-15
55,Nevada,Nevada,2023-10-21,2024-01-06
56,Nevada,Nevada,2024-11-09,2025-01-25
57,New Hampshire,New Hampshire,2023-09-23,2023-12-30
58,New Hampshire,New Hampshire,2024-11-30,2025-01-18
59,New Jersey,New Jersey,2023-09-30,2023-12-16
60,New Jersey,New Jersey,2024-08-31,2025-01-04
61,New Mexico,New Mexico,2023-10-14,2024-01-06
62,New Mexico,New Mexico,2024-11-23,2025-02-15
63,New York,New York,2023-09-23,2023-12-30
64,New York,New York,2024-10-12,2025-01-04
65,North Carolina,North Carolina,2023-08-26,2023-12-30
66,North Carolina,North Carolina,2024-10-05,2025-01-11
67,North Dakota,North Dakota,2022-11-12,2022-12-17
68,North Dakota,North Dakota,2023-10-28,2024-02-17
69,North Dakota,North Dakota,2024-12-21,2025-02-15
70,Ohio,Ohio,2023-10-28,2024-01-06
71,Ohio,Ohio,2024-10-12,2025-01-11
72,Oklahoma,Oklahoma,2023-10-21,2023-12-30
73,Oklahoma,Oklahoma,2024-11-30,2025-02-08
74,Oregon,Oregon,2022-11-12,2022-12-17
75,Oregon,Oregon,2023-09-23,2024-01-13
76,Oregon,Oregon,2024-11-23,2025-02-15
77,Pennsylvania,Pennsylvania,2023-09-30,2023-12-30
78,Pennsylvania,Pennsylvania,2024-10-12,2025-01-11
79,Rhode Island,Rhode Island,2023-11-04,2023-12-23
80,Rhode Island,Rhode Island,2024-10-12,2025-01-11
81,South Carolina,South Carolina,2023-08-19,2023-12-02
82,South Carolina,South Carolina,2024-09-14,2025-01-04
83,South Dakota,South Dakota,2022-11-12,2022-12-17
84,South Dakota,South Dakota,2023-11-25,2024-03-02
85,South Dakota,South Dakota,2024-12-28,2025-02-15
86,Tennessee,Tennessee,2023-08-19,2023-12-09
87,Tennessee,Tennessee,2024-08-24,2025-01-04
88,Texas,Texas,2023-08-05,2023-12-02
89,Texas,Texas,2024-09-21,2025-01-04
90,Utah,Utah,2022-11-12,2022-12-17
91,Utah,Utah,2023-09-09,2024-02-03
92,Utah,Utah,2024-10-26,2025-02-15
93,Vermont,Vermont,2023-10-21,2024-01-13
94,Virginia,Virginia,2023-08-26,2023-12-09
95,Virginia,Virginia,2024-10-19,2025-01-04
96,Washington,Washington,2023-10-07,2024-01-06
97,Washington,Washington,2024-10-05,2025-01-18
98,West Virginia,West Virginia,2023-10-28,2024-01-06
99,West Virginia,West Virginia,2024-08-24,2025-02-15
100,West Virginia,West Virginia,2024-11-09,2025-01-11
101,Wisconsin,Wisconsin,2023-10-07,2024-01-20
102,Wisconsin,Wisconsin,2024-11-23,2025-02-15
103,Wyoming,Wyoming,2022-11-12,2022-12-31
104,Wyoming,Wyoming,2024-11-09,2025-02-15
105,District of Columbia,District of Columbia,2023-08-12,2023-11-25
106,District of Columbia,District of Columbia,2024-11-09,2025-01-04
