,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-08-12,2024-01-06
1,Alabama,Alabama,2024-10-26,2025-01-25
2,Alaska,Alaska,2023-09-23,2023-11-11
3,Alaska,Alaska,2024-02-24,2024-04-06
4,Alaska,Alaska,2024-11-23,2025-03-15
5,Arizona,Arizona,2022-11-19,2022-12-24
6,Arizona,Arizona,2023-04-29,2023-06-10
7,Arizona,Arizona,2023-09-30,2024-01-06
8,Arizona,Arizona,2024-10-19,2025-01-11
9,Arkansas,Arkansas,2023-10-28,2024-02-24
10,Arkansas,Arkansas,2024-11-16,2025-02-15
11,California,California,2023-09-16,2024-01-06
12,California,California,2024-10-26,2025-02-01
13,Colorado,Colorado,2022-11-19,2022-12-31
14,Colorado,Colorado,2023-09-30,2024-01-13
15,Colorado,Colorado,2024-10-26,2025-02-08
16,Connecticut,Connecticut,2022-11-19,2022-12-24
17,Connecticut,Connecticut,2023-11-04,2024-01-20
18,Connecticut,Connecticut,2024-10-05,2025-02-22
19,Delaware,Delaware,2023-11-25,2024-01-06
20,Delaware,Delaware,2024-11-23,2025-02-15
21,Florida,Florida,2022-11-19,2022-12-31
22,Florida,Florida,2023-05-13,2023-06-10
23,Florida,Florida,2023-09-16,2024-01-06
24,Florida,Florida,2024-09-07,2025-02-01
25,Georgia,Georgia,2023-08-12,2023-12-30
26,Georgia,Georgia,2024-11-02,2025-02-01
27,Hawaii,Hawaii,2023-08-05,2024-01-06
28,Hawaii,Hawaii,2024-12-07,2025-01-25
29,Idaho,Idaho,2022-12-03,2022-12-31
30,Idaho,Idaho,2023-09-16,2024-01-06
31,Idaho,Idaho,2024-11-16,2025-01-04
32,Illinois,Illinois,2023-09-09,2024-01-06
33,Illinois,Illinois,2024-10-19,2025-02-22
34,Indiana,Indiana,2022-11-19,2022-12-24
35,Indiana,Indiana,2023-09-30,2024-03-02
36,Indiana,Indiana,2024-11-09,2025-02-22
37,Iowa,Iowa,2022-12-03,2022-12-31
38,Iowa,Iowa,2023-06-03,2023-07-08
39,Iowa,Iowa,2023-11-18,2024-03-16
40,Iowa,Iowa,2024-11-30,2025-02-22
41,Kansas,Kansas,2022-11-19,2022-12-24
42,Kansas,Kansas,2023-10-14,2024-03-09
43,Kansas,Kansas,2024-11-16,2025-02-22
44,Kentucky,Kentucky,2023-09-16,2024-02-24
45,Kentucky,Kentucky,2024-11-02,2025-02-15
46,Louisiana,Louisiana,2023-08-19,2024-01-06
47,Louisiana,Louisiana,2024-10-19,2025-01-04
48,Maine,Maine,2022-12-03,2022-12-31
49,Maine,Maine,2023-11-11,2024-02-24
50,Maine,Maine,2024-12-21,2025-03-08
51,Maryland,Maryland,2023-09-23,2023-12-30
52,Maryland,Maryland,2024-11-16,2025-02-15
53,Massachusetts,Massachusetts,2022-12-03,2022-12-31
54,Massachusetts,Massachusetts,2023-08-26,2024-01-13
55,Massachusetts,Massachusetts,2024-10-19,2025-02-22
56,Michigan,Michigan,2022-12-03,2022-12-31
57,Michigan,Michigan,2023-09-02,2024-03-16
58,Michigan,Michigan,2024-10-26,2025-02-22
59,Minnesota,Minnesota,2023-11-04,2024-03-09
60,Minnesota,Minnesota,2024-09-21,2025-02-01
61,Mississippi,Mississippi,2023-10-21,2024-01-06
62,Mississippi,Mississippi,2024-10-05,2025-02-01
63,Montana,Montana,2022-12-03,2022-12-31
64,Montana,Montana,2023-11-25,2024-01-13
65,Montana,Montana,2024-12-14,2025-03-01
66,Montana,Montana,2024-12-14,2025-03-29
67,Nebraska,Nebraska,2022-12-03,2022-12-24
68,Nebraska,Nebraska,2023-11-25,2024-03-16
69,Nebraska,Nebraska,2024-11-30,2025-02-22
70,Nevada,Nevada,2022-11-19,2022-12-24
71,Nevada,Nevada,2023-05-13,2023-06-24
72,Nevada,Nevada,2023-11-04,2024-01-13
73,Nevada,Nevada,2024-10-12,2025-01-18
74,New Hampshire,New Hampshire,2022-12-03,2022-12-31
75,New Hampshire,New Hampshire,2023-12-09,2024-01-20
76,New Hampshire,New Hampshire,2024-11-09,2025-03-01
77,New Jersey,New Jersey,2023-10-14,2024-01-13
78,New Jersey,New Jersey,2024-10-26,2025-02-15
79,New Mexico,New Mexico,2022-12-03,2022-12-24
80,New Mexico,New Mexico,2023-11-04,2024-01-06
81,New Mexico,New Mexico,2024-10-05,2025-02-01
82,New York,New York,2022-11-19,2022-12-24
83,New York,New York,2023-09-23,2024-01-13
84,New York,New York,2024-11-09,2025-02-15
85,North Carolina,North Carolina,2023-09-02,2024-01-06
86,North Carolina,North Carolina,2024-08-17,2024-09-28
87,North Carolina,North Carolina,2024-11-16,2025-02-15
88,North Dakota,North Dakota,2022-12-03,2022-12-31
89,North Dakota,North Dakota,2023-12-02,2024-01-20
90,North Dakota,North Dakota,2024-12-14,2025-02-15
91,Ohio,Ohio,2022-11-19,2022-12-24
92,Ohio,Ohio,2023-08-19,2024-03-09
93,Ohio,Ohio,2024-10-26,2025-02-22
94,Oklahoma,Oklahoma,2022-11-19,2022-12-24
95,Oklahoma,Oklahoma,2023-11-04,2024-02-24
96,Oklahoma,Oklahoma,2024-11-16,2025-02-08
97,Oregon,Oregon,2023-11-18,2024-01-13
98,Oregon,Oregon,2024-11-02,2025-01-04
99,Pennsylvania,Pennsylvania,2022-11-19,2022-12-24
100,Pennsylvania,Pennsylvania,2023-09-09,2024-01-06
101,Pennsylvania,Pennsylvania,2024-10-12,2025-02-22
