,name_location,name_proxy,start_date,end_date
0,Alabama,Alabama,2023-08-19,2024-01-06
1,Alabama,Alabama,2024-08-03,2024-09-07
2,Alabama,Alabama,2024-11-09,2025-01-25
3,Alaska,Alaska,2023-09-09,2023-11-11
4,Alaska,Alaska,2024-12-14,2025-01-04
5,Arizona,Arizona,2022-11-19,2022-12-24
6,Arizona,Arizona,2023-10-28,2024-01-13
7,Arizona,Arizona,2024-11-02,2025-01-11
8,Arkansas,Arkansas,2023-11-04,2024-02-24
9,Arkansas,Arkansas,2024-08-17,2024-09-14
10,Arkansas,Arkansas,2024-11-09,2025-02-15
11,California,California,2023-09-16,2024-01-06
12,California,California,2024-10-12,2025-01-25
13,Colorado,Colorado,2022-11-19,2022-12-24
14,Colorado,Colorado,2023-09-16,2024-01-06
15,Colorado,Colorado,2024-10-12,2025-02-01
16,Connecticut,Connecticut,2022-11-19,2022-12-24
17,Connecticut,Connecticut,2023-09-02,2024-01-06
18,Connecticut,Connecticut,2024-08-24,2025-02-15
19,Delaware,Delaware,2022-11-19,2022-12-24
20,Delaware,Delaware,2023-09-09,2024-01-06
21,Delaware,Delaware,2024-10-12,2025-02-22
22,Florida,Florida,2022-11-19,2022-12-31
23,Florida,Florida,2023-09-30,2024-01-06
24,Florida,Florida,2024-11-09,2025-02-01
25,Georgia,Georgia,2023-10-07,2024-01-06
26,Georgia,Georgia,2024-11-09,2025-02-01
27,Hawaii,Hawaii,2023-10-14,2023-12-30
28,Hawaii,Hawaii,2024-06-01,2024-06-22
29,Hawaii,Hawaii,2024-11-09,2025-02-22
30,Idaho,Idaho,2022-12-03,2022-12-24
31,Idaho,Idaho,2023-11-18,2024-01-13
32,Idaho,Idaho,2024-11-16,2025-01-04
33,Illinois,Illinois,2023-08-19,2024-01-06
34,Illinois,Illinois,2024-08-17,2025-02-22
35,Indiana,Indiana,2022-11-19,2022-12-24
36,Indiana,Indiana,2023-08-26,2024-01-06
37,Indiana,Indiana,2024-09-14,2025-03-01
38,Iowa,Iowa,2022-11-19,2022-12-24
39,Iowa,Iowa,2023-11-11,2024-03-09
40,Iowa,Iowa,2024-10-19,2025-02-15
41,Kansas,Kansas,2023-10-21,2024-01-06
42,Kansas,Kansas,2024-09-14,2025-02-15
43,Kentucky,Kentucky,2023-11-11,2024-01-20
