date,epiweek,year,cases,geography
3/21/20,11,2020,1,Alaska
3/28/20,12,2020,21,Alaska
4/4/20,13,2020,92,Alaska
4/11/20,14,2020,69,Alaska
4/18/20,15,2020,87,Alaska
4/25/20,16,2020,47,Alaska
5/2/20,17,2020,22,Alaska
5/9/20,18,2020,27,Alaska
5/16/20,19,2020,12,Alaska
5/23/20,20,2020,18,Alaska
5/30/20,21,2020,13,Alaska
6/6/20,22,2020,60,Alaska
6/13/20,23,2020,119,Alaska
6/20/20,24,2020,146,Alaska
6/27/20,25,2020,125,Alaska
7/4/20,26,2020,201,Alaska
7/11/20,27,2020,311,Alaska
7/18/20,28,2020,401,Alaska
7/25/20,29,2020,503,Alaska
8/1/20,30,2020,825,Alaska
8/8/20,31,2020,882,Alaska
8/15/20,32,2020,489,Alaska
8/22/20,33,2020,587,Alaska
8/29/20,34,2020,498,Alaska
9/5/20,35,2020,480,Alaska
9/12/20,36,2020,567,Alaska
9/19/20,37,2020,533,Alaska
9/26/20,38,2020,568,Alaska
10/3/20,39,2020,655,Alaska
10/10/20,40,2020,941,Alaska
10/17/20,41,2020,1308,Alaska
10/24/20,42,2020,1326,Alaska
10/31/20,43,2020,2034,Alaska
11/7/20,44,2020,2629,Alaska
11/14/20,45,2020,3115,Alaska
11/21/20,46,2020,3976,Alaska
11/28/20,47,2020,3941,Alaska
12/5/20,48,2020,4267,Alaska
12/12/20,49,2020,4951,Alaska
12/19/20,50,2020,4087,Alaska
12/26/20,51,2020,2715,Alaska
1/2/21,52,2020,1898,Alaska
1/9/21,53,2020,1193,Alaska
1/9/21,1,2021,2089,Alaska
1/16/21,2,2021,1695,Alaska
1/23/21,3,2021,1352,Alaska
1/30/21,4,2021,1003,Alaska
2/6/21,5,2021,895,Alaska
2/13/21,6,2021,1128,Alaska
2/20/21,7,2021,971,Alaska
2/27/21,8,2021,867,Alaska
3/6/21,9,2021,1024,Alaska
3/13/21,10,2021,926,Alaska
3/20/21,11,2021,887,Alaska
3/27/21,12,2021,1061,Alaska
4/3/21,13,2021,1243,Alaska
4/10/21,14,2021,1272,Alaska
4/17/21,15,2021,1131,Alaska
4/24/21,16,2021,1128,Alaska
5/1/21,17,2021,1080,Alaska
5/8/21,18,2021,726,Alaska
5/15/21,19,2021,573,Alaska
5/22/21,20,2021,432,Alaska
5/29/21,21,2021,298,Alaska
6/5/21,22,2021,259,Alaska
6/12/21,23,2021,179,Alaska
6/19/21,24,2021,220,Alaska
6/26/21,25,2021,200,Alaska
7/3/21,26,2021,289,Alaska
7/10/21,27,2021,344,Alaska
7/17/21,28,2021,708,Alaska
7/24/21,29,2021,1367,Alaska
7/31/21,30,2021,1660,Alaska
8/7/21,31,2021,2086,Alaska
8/14/21,32,2021,2212,Alaska
8/21/21,33,2021,3318,Alaska
8/28/21,34,2021,3586,Alaska
9/4/21,35,2021,3872,Alaska
9/11/21,36,2021,4495,Alaska
9/18/21,37,2021,5168,Alaska
9/25/21,38,2021,7298,Alaska
10/2/21,39,2021,7979,Alaska
10/9/21,40,2021,5629,Alaska
10/16/21,41,2021,6397,Alaska
10/23/21,42,2021,5500,Alaska
10/30/21,43,2021,4582,Alaska
11/6/21,44,2021,4207,Alaska
11/13/21,45,2021,3030,Alaska
11/20/21,46,2021,2908,Alaska
11/27/21,47,2021,1996,Alaska
12/4/21,48,2021,1873,Alaska
12/11/21,49,2021,1433,Alaska
12/18/21,50,2021,1207,Alaska
12/25/21,51,2021,640,Alaska
1/1/22,52,2021,1861,Alaska
1/8/22,1,2022,8125,Alaska
1/8/22,53,2021,1106,Alaska
1/15/22,2,2022,13219,Alaska
1/22/22,3,2022,16659,Alaska
1/29/22,4,2022,16984,Alaska
2/5/22,5,2022,12456,Alaska
2/12/22,6,2022,7140,Alaska
2/19/22,7,2022,3828,Alaska
2/26/22,8,2022,2714,Alaska
3/5/22,9,2022,1987,Alaska
3/12/22,10,2022,2603,Alaska
3/19/22,11,2022,1471,Alaska
3/26/22,12,2022,1484,Alaska
4/2/22,13,2022,1344,Alaska
4/9/22,14,2022,934,Alaska
4/16/22,15,2022,1297,Alaska
4/23/22,16,2022,1526,Alaska
4/30/22,17,2022,1487,Alaska
5/7/22,18,2022,1459,Alaska
5/14/22,19,2022,1620,Alaska
5/21/22,20,2022,1948,Alaska
5/28/22,21,2022,2016,Alaska
6/4/22,22,2022,2009,Alaska
6/11/22,23,2022,2461,Alaska
6/18/22,24,2022,2174,Alaska
6/25/22,25,2022,2573,Alaska
7/2/22,26,2022,3099,Alaska
7/9/22,27,2022,2906,Alaska
7/16/22,28,2022,2994,Alaska
7/23/22,29,2022,2885,Alaska
7/30/22,30,2022,2437,Alaska
8/6/22,31,2022,3157,Alaska
8/13/22,32,2022,2229,Alaska
8/20/22,33,2022,1848,Alaska
8/27/22,34,2022,2192,Alaska
9/3/22,35,2022,1422,Alaska
9/10/22,36,2022,1097,Alaska
9/17/22,37,2022,1207,Alaska
9/24/22,38,2022,756,Alaska
10/1/22,39,2022,614,Alaska
10/8/22,40,2022,685,Alaska
10/15/22,41,2022,564,Alaska
10/22/22,42,2022,355,Alaska
10/29/22,43,2022,384,Alaska
11/5/22,44,2022,366,Alaska
11/12/22,45,2022,124,Alaska
11/19/22,46,2022,442,Alaska
11/26/22,47,2022,430,Alaska
12/3/22,48,2022,397,Alaska
12/10/22,49,2022,494,Alaska
12/17/22,50,2022,339,Alaska
12/24/22,51,2022,378,Alaska
12/31/22,52,2022,325,Alaska
1/7/23,1,2023,364,Alaska
1/14/23,2,2023,466,Alaska
1/21/23,3,2023,649,Alaska
1/28/23,4,2023,644,Alaska
2/4/23,5,2023,784,Alaska
2/11/23,6,2023,689,Alaska
2/18/23,7,2023,781,Alaska
2/25/23,8,2023,777,Alaska
3/4/23,9,2023,449,Alaska
3/11/23,10,2023,581,Alaska
3/18/23,11,2023,441,Alaska
3/25/23,12,2023,494,Alaska
12/30/23,52,2023,0,Alaska
