date,epiweek,year,cases,geography
2/1/20,4,2020,1,Arizona
2/8/20,5,2020,0,Arizona
2/15/20,6,2020,0,Arizona
2/22/20,7,2020,0,Arizona
2/29/20,8,2020,0,Arizona
3/7/20,9,2020,0,Arizona
3/14/20,10,2020,4,Arizona
3/21/20,11,2020,8,Arizona
3/28/20,12,2020,140,Arizona
4/4/20,13,2020,777,Arizona
4/11/20,14,2020,1339,Arizona
4/18/20,15,2020,1270,Arizona
4/25/20,16,2020,1390,Arizona
5/2/20,17,2020,1597,Arizona
5/9/20,18,2020,2114,Arizona
5/16/20,19,2020,2479,Arizona
5/23/20,20,2020,2818,Arizona
5/30/20,21,2020,2402,Arizona
6/6/20,22,2020,3597,Arizona
6/13/20,23,2020,6988,Arizona
6/20/20,24,2020,9029,Arizona
6/27/20,25,2020,16713,Arizona
7/4/20,26,2020,21295,Arizona
7/11/20,27,2020,24165,Arizona
7/18/20,28,2020,24353,Arizona
7/25/20,29,2020,21165,Arizona
8/1/20,30,2020,18397,Arizona
8/8/20,31,2020,16432,Arizona
8/15/20,32,2020,8613,Arizona
8/22/20,33,2020,6468,Arizona
8/29/20,34,2020,4563,Arizona
9/5/20,35,2020,3578,Arizona
9/12/20,36,2020,4077,Arizona
9/19/20,37,2020,2742,Arizona
9/26/20,38,2020,5504,Arizona
10/3/20,39,2020,3219,Arizona
10/10/20,40,2020,3520,Arizona
10/17/20,41,2020,4818,Arizona
10/24/20,42,2020,5574,Arizona
10/31/20,43,2020,7051,Arizona
11/7/20,44,2020,9284,Arizona
11/14/20,45,2020,11815,Arizona
11/21/20,46,2020,16224,Arizona
11/28/20,47,2020,24175,Arizona
12/5/20,48,2020,26297,Arizona
12/12/20,49,2020,38281,Arizona
12/19/20,50,2020,44370,Arizona
12/26/20,51,2020,44955,Arizona
1/2/21,52,2020,40888,Arizona
1/9/21,53,2020,29340,Arizona
1/9/21,1,2021,62162,Arizona
1/16/21,2,2021,55336,Arizona
1/23/21,3,2021,48692,Arizona
1/30/21,4,2021,36002,Arizona
2/6/21,5,2021,22296,Arizona
2/13/21,6,2021,16665,Arizona
2/20/21,7,2021,10710,Arizona
2/27/21,8,2021,8985,Arizona
3/6/21,9,2021,9222,Arizona
3/13/21,10,2021,6289,Arizona
3/20/21,11,2021,3510,Arizona
3/27/21,12,2021,3635,Arizona
