date,epiweek,year,cases,geography
3/21/20,11,2020,16,Arkansas
3/28/20,12,2020,149,Arkansas
4/4/20,13,2020,284,Arkansas
4/11/20,14,2020,404,Arkansas
4/18/20,15,2020,427,Arkansas
4/25/20,16,2020,501,Arkansas
5/2/20,17,2020,1220,Arkansas
5/9/20,18,2020,430,Arkansas
5/16/20,19,2020,581,Arkansas
5/23/20,20,2020,747,Arkansas
5/30/20,21,2020,1163,Arkansas
6/6/20,22,2020,1331,Arkansas
6/13/20,23,2020,2173,Arkansas
6/20/20,24,2020,3075,Arkansas
6/27/20,25,2020,3060,Arkansas
7/4/20,26,2020,4257,Arkansas
7/11/20,27,2020,3996,Arkansas
7/18/20,28,2020,4553,Arkansas
7/25/20,29,2020,4861,Arkansas
8/1/20,30,2020,5395,Arkansas
8/8/20,31,2020,5187,Arkansas
8/15/20,32,2020,5573,Arkansas
8/22/20,33,2020,3282,Arkansas
8/29/20,34,2020,3909,Arkansas
9/5/20,35,2020,4282,Arkansas
9/12/20,36,2020,5068,Arkansas
9/19/20,37,2020,4295,Arkansas
9/26/20,38,2020,5504,Arkansas
10/3/20,39,2020,5519,Arkansas
10/10/20,40,2020,5771,Arkansas
10/17/20,41,2020,5820,Arkansas
10/24/20,42,2020,6233,Arkansas
10/31/20,43,2020,7049,Arkansas
11/7/20,44,2020,6942,Arkansas
11/14/20,45,2020,8809,Arkansas
11/21/20,46,2020,11174,Arkansas
11/28/20,47,2020,12133,Arkansas
12/5/20,48,2020,11074,Arkansas
12/12/20,49,2020,14677,Arkansas
12/19/20,50,2020,14778,Arkansas
12/26/20,51,2020,15948,Arkansas
1/2/21,52,2020,13227,Arkansas
1/9/21,53,2020,10261,Arkansas
1/9/21,1,2021,21601,Arkansas
1/16/21,2,2021,16078,Arkansas
1/23/21,3,2021,12912,Arkansas
1/30/21,4,2021,11202,Arkansas
2/6/21,5,2021,11468,Arkansas
2/13/21,6,2021,6292,Arkansas
2/20/21,7,2021,2486,Arkansas
2/27/21,8,2021,6901,Arkansas
3/6/21,9,2021,2403,Arkansas
3/13/21,10,2021,2125,Arkansas
3/20/21,11,2021,1712,Arkansas
3/27/21,12,2021,1274,Arkansas
4/3/21,13,2021,1125,Arkansas
4/10/21,14,2021,1099,Arkansas
4/17/21,15,2021,1299,Arkansas
4/24/21,16,2021,1254,Arkansas
5/1/21,17,2021,1399,Arkansas
5/8/21,18,2021,1405,Arkansas
5/15/21,19,2021,1272,Arkansas
5/22/21,20,2021,1355,Arkansas
5/29/21,21,2021,1214,Arkansas
6/5/21,22,2021,1082,Arkansas
6/12/21,23,2021,1531,Arkansas
6/19/21,24,2021,1641,Arkansas
6/26/21,25,2021,1649,Arkansas
7/3/21,26,2021,3325,Arkansas
7/10/21,27,2021,4881,Arkansas
7/17/21,28,2021,7120,Arkansas
7/24/21,29,2021,12770,Arkansas
7/31/21,30,2021,13086,Arkansas
8/7/21,31,2021,15841,Arkansas
8/14/21,32,2021,15530,Arkansas
8/21/21,33,2021,15449,Arkansas
8/28/21,34,2021,14127,Arkansas
9/4/21,35,2021,14412,Arkansas
9/11/21,36,2021,11206,Arkansas
9/18/21,37,2021,10055,Arkansas
9/25/21,38,2021,7594,Arkansas
10/2/21,39,2021,5412,Arkansas
10/9/21,40,2021,4810,Arkansas
10/16/21,41,2021,4084,Arkansas
10/23/21,42,2021,3289,Arkansas
10/30/21,43,2021,2970,Arkansas
11/6/21,44,2021,3030,Arkansas
11/13/21,45,2021,3515,Arkansas
11/20/21,46,2021,4410,Arkansas
11/27/21,47,2021,3417,Arkansas
12/4/21,48,2021,5769,Arkansas
12/11/21,49,2021,5070,Arkansas
12/18/21,50,2021,5222,Arkansas
12/25/21,51,2021,6765,Arkansas
1/1/22,52,2021,16073,Arkansas
1/8/22,1,2022,40192,Arkansas
1/8/22,53,2021,8337,Arkansas
1/15/22,2,2022,68162,Arkansas
1/22/22,3,2022,57462,Arkansas
1/29/22,4,2022,29423,Arkansas
2/5/22,5,2022,26281,Arkansas
2/12/22,6,2022,12535,Arkansas
2/19/22,7,2022,7851,Arkansas
2/26/22,8,2022,4698,Arkansas
3/5/22,9,2022,3784,Arkansas
3/12/22,10,2022,3360,Arkansas
3/19/22,11,2022,3740,Arkansas
3/26/22,12,2022,2243,Arkansas
4/2/22,13,2022,575,Arkansas
4/9/22,14,2022,557,Arkansas
4/16/22,15,2022,546,Arkansas
4/23/22,16,2022,764,Arkansas
4/30/22,17,2022,921,Arkansas
5/7/22,18,2022,1238,Arkansas
5/14/22,19,2022,1456,Arkansas
5/21/22,20,2022,1980,Arkansas
5/28/22,21,2022,2475,Arkansas
6/4/22,22,2022,2881,Arkansas
6/11/22,23,2022,4257,Arkansas
6/18/22,24,2022,5089,Arkansas
6/25/22,25,2022,5718,Arkansas
7/2/22,26,2022,7374,Arkansas
7/9/22,27,2022,8996,Arkansas
7/16/22,28,2022,9356,Arkansas
7/23/22,29,2022,8965,Arkansas
7/30/22,30,2022,8230,Arkansas
8/6/22,31,2022,6877,Arkansas
8/13/22,32,2022,6253,Arkansas
8/20/22,33,2022,5618,Arkansas
8/27/22,34,2022,6929,Arkansas
9/3/22,35,2022,6803,Arkansas
9/10/22,36,2022,5053,Arkansas
9/17/22,37,2022,4841,Arkansas
9/24/22,38,2022,3449,Arkansas
10/1/22,39,2022,2250,Arkansas
10/8/22,40,2022,2072,Arkansas
10/15/22,41,2022,1880,Arkansas
10/22/22,42,2022,1958,Arkansas
10/29/22,43,2022,1768,Arkansas
11/5/22,44,2022,2083,Arkansas
11/12/22,45,2022,1975,Arkansas
11/19/22,46,2022,1735,Arkansas
11/26/22,47,2022,1989,Arkansas
12/3/22,48,2022,3556,Arkansas
12/10/22,49,2022,3596,Arkansas
12/17/22,50,2022,3707,Arkansas
12/24/22,51,2022,3246,Arkansas
12/31/22,52,2022,10260,Arkansas
1/7/23,1,2023,3335,Arkansas
1/14/23,2,2023,2732,Arkansas
1/21/23,3,2023,2372,Arkansas
1/28/23,4,2023,2080,Arkansas
2/4/23,5,2023,1615,Arkansas
2/11/23,6,2023,1771,Arkansas
2/18/23,7,2023,2442,Arkansas
2/25/23,8,2023,2259,Arkansas
3/4/23,9,2023,1494,Arkansas
3/11/23,10,2023,1534,Arkansas
3/18/23,11,2023,922,Arkansas
3/25/23,12,2023,0,Arkansas
12/30/23,52,2023,254,Arkansas
