date,epiweek,year,cases,geography
3/21/20,11,2020,7,Delaware
3/28/20,12,2020,49,Delaware
4/4/20,13,2020,176,Delaware
4/11/20,14,2020,441,Delaware
4/18/20,15,2020,952,Delaware
4/25/20,16,2020,913,Delaware
5/2/20,17,2020,1496,Delaware
5/9/20,18,2020,1174,Delaware
5/16/20,19,2020,1239,Delaware
5/23/20,20,2020,1223,Delaware
5/30/20,21,2020,1139,Delaware
6/6/20,22,2020,689,Delaware
6/13/20,23,2020,444,Delaware
6/20/20,24,2020,322,Delaware
6/27/20,25,2020,511,Delaware
7/4/20,26,2020,451,Delaware
7/11/20,27,2020,902,Delaware
7/18/20,28,2020,676,Delaware
7/25/20,29,2020,715,Delaware
8/1/20,30,2020,771,Delaware
8/8/20,31,2020,659,Delaware
8/15/20,32,2020,626,Delaware
8/22/20,33,2020,876,Delaware
8/29/20,34,2020,444,Delaware
9/5/20,35,2020,448,Delaware
9/12/20,36,2020,700,Delaware
9/19/20,37,2020,806,Delaware
9/26/20,38,2020,717,Delaware
10/3/20,39,2020,694,Delaware
10/10/20,40,2020,983,Delaware
10/17/20,41,2020,887,Delaware
10/24/20,42,2020,963,Delaware
10/31/20,43,2020,868,Delaware
11/7/20,44,2020,1165,Delaware
11/14/20,45,2020,1477,Delaware
11/21/20,46,2020,2200,Delaware
11/28/20,47,2020,3005,Delaware
12/5/20,48,2020,3443,Delaware
12/12/20,49,2020,4661,Delaware
12/19/20,50,2020,5548,Delaware
12/26/20,51,2020,5156,Delaware
1/2/21,52,2020,4441,Delaware
1/9/21,53,2020,2399,Delaware
1/9/21,1,2021,5789,Delaware
1/16/21,2,2021,5021,Delaware
1/23/21,3,2021,4281,Delaware
1/30/21,4,2021,3496,Delaware
2/6/21,5,2021,2523,Delaware
2/13/21,6,2021,2409,Delaware
2/20/21,7,2021,1729,Delaware
2/27/21,8,2021,2067,Delaware
3/6/21,9,2021,1555,Delaware
3/13/21,10,2021,2027,Delaware
3/20/21,11,2021,1906,Delaware
3/27/21,12,2021,1775,Delaware
4/3/21,13,2021,2314,Delaware
4/10/21,14,2021,2194,Delaware
4/17/21,15,2021,2588,Delaware
4/24/21,16,2021,2064,Delaware
5/1/21,17,2021,1687,Delaware
5/8/21,18,2021,1239,Delaware
5/15/21,19,2021,859,Delaware
5/22/21,20,2021,1358,Delaware
5/29/21,21,2021,456,Delaware
6/5/21,22,2021,305,Delaware
6/12/21,23,2021,232,Delaware
6/19/21,24,2021,190,Delaware
6/26/21,25,2021,134,Delaware
7/3/21,26,2021,193,Delaware
7/10/21,27,2021,199,Delaware
7/17/21,28,2021,313,Delaware
7/24/21,29,2021,410,Delaware
7/31/21,30,2021,766,Delaware
8/7/21,31,2021,1209,Delaware
8/14/21,32,2021,1714,Delaware
8/21/21,33,2021,2285,Delaware
8/28/21,34,2021,2455,Delaware
9/4/21,35,2021,2885,Delaware
9/11/21,36,2021,2994,Delaware
9/18/21,37,2021,3148,Delaware
9/25/21,38,2021,3171,Delaware
10/2/21,39,2021,3195,Delaware
10/9/21,40,2021,2980,Delaware
10/16/21,41,2021,2275,Delaware
10/23/21,42,2021,2480,Delaware
10/30/21,43,2021,1844,Delaware
11/6/21,44,2021,1705,Delaware
11/13/21,45,2021,1972,Delaware
11/20/21,46,2021,2510,Delaware
11/27/21,47,2021,2285,Delaware
12/4/21,48,2021,3784,Delaware
12/11/21,49,2021,4314,Delaware
12/18/21,50,2021,4853,Delaware
12/25/21,51,2021,7206,Delaware
1/1/22,52,2021,7539,Delaware
1/8/22,1,2022,18644,Delaware
1/8/22,53,2021,2028,Delaware
1/15/22,2,2022,21954,Delaware
1/22/22,3,2022,12585,Delaware
1/29/22,4,2022,7459,Delaware
2/5/22,5,2022,3554,Delaware
2/12/22,6,2022,2342,Delaware
2/19/22,7,2022,1562,Delaware
2/26/22,8,2022,1455,Delaware
3/5/22,9,2022,719,Delaware
3/12/22,10,2022,915,Delaware
3/19/22,11,2022,486,Delaware
3/26/22,12,2022,703,Delaware
4/2/22,13,2022,553,Delaware
4/9/22,14,2022,-668,Delaware
4/16/22,15,2022,782,Delaware
4/23/22,16,2022,1358,Delaware
4/30/22,17,2022,1062,Delaware
5/7/22,18,2022,1915,Delaware
5/14/22,19,2022,2889,Delaware
5/21/22,20,2022,4029,Delaware
5/28/22,21,2022,3605,Delaware
6/4/22,22,2022,2767,Delaware
6/11/22,23,2022,2586,Delaware
6/18/22,24,2022,1734,Delaware
6/25/22,25,2022,1646,Delaware
7/2/22,26,2022,1771,Delaware
7/9/22,27,2022,1675,Delaware
7/16/22,28,2022,2188,Delaware
7/23/22,29,2022,2353,Delaware
7/30/22,30,2022,2422,Delaware
8/6/22,31,2022,2149,Delaware
8/13/22,32,2022,2072,Delaware
8/20/22,33,2022,1983,Delaware
8/27/22,34,2022,1552,Delaware
9/3/22,35,2022,1399,Delaware
9/10/22,36,2022,1197,Delaware
9/17/22,37,2022,1379,Delaware
9/24/22,38,2022,1498,Delaware
10/1/22,39,2022,1443,Delaware
10/8/22,40,2022,1091,Delaware
10/15/22,41,2022,1189,Delaware
10/22/22,42,2022,1026,Delaware
10/29/22,43,2022,971,Delaware
11/5/22,44,2022,923,Delaware
11/12/22,45,2022,771,Delaware
11/19/22,46,2022,871,Delaware
11/26/22,47,2022,491,Delaware
12/3/22,48,2022,1359,Delaware
12/10/22,49,2022,1162,Delaware
12/17/22,50,2022,910,Delaware
12/24/22,51,2022,1104,Delaware
12/31/22,52,2022,7937,Delaware
1/7/23,1,2023,1263,Delaware
1/14/23,2,2023,986,Delaware
1/21/23,3,2023,946,Delaware
1/28/23,4,2023,789,Delaware
2/4/23,5,2023,975,Delaware
2/11/23,6,2023,1026,Delaware
2/18/23,7,2023,1042,Delaware
2/25/23,8,2023,1417,Delaware
3/4/23,9,2023,461,Delaware
3/11/23,10,2023,1365,Delaware
3/18/23,11,2023,368,Delaware
3/25/23,12,2023,335,Delaware
12/30/23,52,2023,0,Delaware
