date,epiweek,year,cases,geography
3/14/20,10,2020,11,Georgia
3/21/20,11,2020,86,Georgia
3/28/20,12,2020,523,Georgia
4/4/20,13,2020,2063,Georgia
4/11/20,14,2020,4059,Georgia
4/18/20,15,2020,5361,Georgia
4/25/20,16,2020,5516,Georgia
5/2/20,17,2020,4840,Georgia
5/9/20,18,2020,5159,Georgia
5/16/20,19,2020,4649,Georgia
5/23/20,20,2020,3687,Georgia
5/30/20,21,2020,5035,Georgia
6/6/20,22,2020,4062,Georgia
6/13/20,23,2020,4320,Georgia
6/20/20,24,2020,5503,Georgia
6/27/20,25,2020,6619,Georgia
7/4/20,26,2020,11307,Georgia
7/11/20,27,2020,16689,Georgia
7/18/20,28,2020,18900,Georgia
7/25/20,29,2020,22405,Georgia
8/1/20,30,2020,22682,Georgia
8/8/20,31,2020,24080,Georgia
8/15/20,32,2020,22591,Georgia
8/22/20,33,2020,20018,Georgia
8/29/20,34,2020,17237,Georgia
9/5/20,35,2020,15411,Georgia
9/12/20,36,2020,13894,Georgia
9/19/20,37,2020,11008,Georgia
9/26/20,38,2020,11381,Georgia
10/3/20,39,2020,9225,Georgia
10/10/20,40,2020,8457,Georgia
10/17/20,41,2020,29808,Georgia
10/24/20,42,2020,12187,Georgia
10/31/20,43,2020,11571,Georgia
11/7/20,44,2020,13356,Georgia
11/14/20,45,2020,16917,Georgia
11/21/20,46,2020,18887,Georgia
11/28/20,47,2020,23450,Georgia
12/5/20,48,2020,19368,Georgia
12/12/20,49,2020,30784,Georgia
12/19/20,50,2020,40474,Georgia
12/26/20,51,2020,44074,Georgia
1/2/21,52,2020,42920,Georgia
1/9/21,53,2020,33491,Georgia
1/9/21,1,2021,64416,Georgia
1/16/21,2,2021,59201,Georgia
1/23/21,3,2021,51476,Georgia
1/30/21,4,2021,42451,Georgia
2/6/21,5,2021,31814,Georgia
2/13/21,6,2021,23388,Georgia
2/20/21,7,2021,20246,Georgia
2/27/21,8,2021,21147,Georgia
3/6/21,9,2021,16410,Georgia
3/13/21,10,2021,10288,Georgia
3/20/21,11,2021,11842,Georgia
3/27/21,12,2021,10515,Georgia
4/3/21,13,2021,9673,Georgia
4/10/21,14,2021,9389,Georgia
4/17/21,15,2021,10238,Georgia
4/24/21,16,2021,9296,Georgia
5/1/21,17,2021,8826,Georgia
5/8/21,18,2021,7128,Georgia
5/15/21,19,2021,5541,Georgia
5/22/21,20,2021,4398,Georgia
5/29/21,21,2021,3544,Georgia
6/5/21,22,2021,2528,Georgia
6/12/21,23,2021,2782,Georgia
6/19/21,24,2021,2362,Georgia
6/26/21,25,2021,2266,Georgia
7/3/21,26,2021,2162,Georgia
7/10/21,27,2021,3757,Georgia
7/17/21,28,2021,6343,Georgia
7/24/21,29,2021,11394,Georgia
7/31/21,30,2021,20968,Georgia
8/7/21,31,2021,31120,Georgia
8/14/21,32,2021,40212,Georgia
8/21/21,33,2021,53172,Georgia
8/28/21,34,2021,61539,Georgia
9/4/21,35,2021,62328,Georgia
9/11/21,36,2021,49866,Georgia
9/18/21,37,2021,40107,Georgia
9/25/21,38,2021,31925,Georgia
10/2/21,39,2021,23895,Georgia
10/9/21,40,2021,19940,Georgia
10/16/21,41,2021,12064,Georgia
10/23/21,42,2021,9815,Georgia
10/30/21,43,2021,8544,Georgia
11/6/21,44,2021,7731,Georgia
11/13/21,45,2021,6924,Georgia
11/20/21,46,2021,7509,Georgia
11/27/21,47,2021,4779,Georgia
12/4/21,48,2021,9695,Georgia
12/11/21,49,2021,10205,Georgia
12/18/21,50,2021,12486,Georgia
12/25/21,51,2021,40749,Georgia
1/1/22,52,2021,100398,Georgia
1/8/22,53,2021,23640,Georgia
1/8/22,1,2022,126646,Georgia
1/15/22,2,2022,134303,Georgia
1/22/22,3,2022,111717,Georgia
1/29/22,4,2022,110207,Georgia
2/5/22,5,2022,52922,Georgia
2/12/22,6,2022,30197,Georgia
2/19/22,7,2022,17262,Georgia
2/26/22,8,2022,10765,Georgia
3/5/22,9,2022,7657,Georgia
3/12/22,10,2022,6201,Georgia
3/19/22,11,2022,5892,Georgia
3/26/22,12,2022,3634,Georgia
4/2/22,13,2022,14474,Georgia
4/9/22,14,2022,2810,Georgia
4/16/22,15,2022,3831,Georgia
4/23/22,16,2022,2750,Georgia
4/30/22,17,2022,5711,Georgia
5/7/22,18,2022,6536,Georgia
5/14/22,19,2022,8833,Georgia
5/21/22,20,2022,10593,Georgia
5/28/22,21,2022,13747,Georgia
6/4/22,22,2022,14526,Georgia
6/11/22,23,2022,17360,Georgia
6/18/22,24,2022,18507,Georgia
6/25/22,25,2022,17830,Georgia
7/2/22,26,2022,19960,Georgia
7/9/22,27,2022,19360,Georgia
7/16/22,28,2022,25564,Georgia
7/23/22,29,2022,26141,Georgia
7/30/22,30,2022,28120,Georgia
8/6/22,31,2022,26497,Georgia
8/13/22,32,2022,24150,Georgia
8/20/22,33,2022,24995,Georgia
8/27/22,34,2022,22772,Georgia
9/3/22,35,2022,17315,Georgia
9/10/22,36,2022,12041,Georgia
9/17/22,37,2022,9232,Georgia
9/24/22,38,2022,7006,Georgia
10/1/22,39,2022,4597,Georgia
10/8/22,40,2022,4005,Georgia
10/15/22,41,2022,3455,Georgia
10/22/22,42,2022,3765,Georgia
10/29/22,43,2022,3188,Georgia
11/5/22,44,2022,3929,Georgia
11/12/22,45,2022,4381,Georgia
11/19/22,46,2022,3686,Georgia
11/26/22,47,2022,3958,Georgia
