date,epiweek,year,cases,geography
3/14/20,10,2020,2,Hawaii
3/21/20,11,2020,5,Hawaii
3/28/20,12,2020,49,Hawaii
4/4/20,13,2020,119,Hawaii
4/11/20,14,2020,194,Hawaii
4/18/20,15,2020,128,Hawaii
4/25/20,16,2020,77,Hawaii
5/2/20,17,2020,25,Hawaii
5/9/20,18,2020,12,Hawaii
5/16/20,19,2020,10,Hawaii
5/23/20,20,2020,9,Hawaii
5/30/20,21,2020,3,Hawaii
6/6/20,22,2020,9,Hawaii
6/13/20,23,2020,21,Hawaii
6/20/20,24,2020,53,Hawaii
6/27/20,25,2020,86,Hawaii
7/4/20,26,2020,81,Hawaii
7/11/20,27,2020,122,Hawaii
7/18/20,28,2020,196,Hawaii
7/25/20,29,2020,158,Hawaii
8/1/20,30,2020,301,Hawaii
8/8/20,31,2020,559,Hawaii
8/15/20,32,2020,1256,Hawaii
8/22/20,33,2020,1544,Hawaii
8/29/20,34,2020,1558,Hawaii
9/5/20,35,2020,1738,Hawaii
9/12/20,36,2020,1514,Hawaii
9/19/20,37,2020,979,Hawaii
9/26/20,38,2020,726,Hawaii
10/3/20,39,2020,730,Hawaii
10/10/20,40,2020,693,Hawaii
10/17/20,41,2020,676,Hawaii
10/24/20,42,2020,550,Hawaii
10/31/20,43,2020,640,Hawaii
11/7/20,44,2020,464,Hawaii
11/14/20,45,2020,779,Hawaii
11/21/20,46,2020,553,Hawaii
11/28/20,47,2020,683,Hawaii
12/5/20,48,2020,623,Hawaii
12/12/20,49,2020,656,Hawaii
12/19/20,50,2020,721,Hawaii
12/26/20,51,2020,989,Hawaii
1/2/21,52,2020,773,Hawaii
1/9/21,53,2020,395,Hawaii
1/9/21,1,2021,1283,Hawaii
1/16/21,2,2021,1009,Hawaii
1/23/21,3,2021,784,Hawaii
1/30/21,4,2021,693,Hawaii
2/6/21,5,2021,612,Hawaii
2/13/21,6,2021,374,Hawaii
2/20/21,7,2021,303,Hawaii
2/27/21,8,2021,398,Hawaii
3/6/21,9,2021,348,Hawaii
3/13/21,10,2021,447,Hawaii
3/20/21,11,2021,566,Hawaii
3/27/21,12,2021,694,Hawaii
4/3/21,13,2021,810,Hawaii
4/10/21,14,2021,707,Hawaii
4/17/21,15,2021,670,Hawaii
4/24/21,16,2021,569,Hawaii
5/1/21,17,2021,705,Hawaii
5/8/21,18,2021,624,Hawaii
5/15/21,19,2021,567,Hawaii
5/22/21,20,2021,474,Hawaii
5/29/21,21,2021,354,Hawaii
6/5/21,22,2021,352,Hawaii
6/12/21,23,2021,363,Hawaii
6/19/21,24,2021,313,Hawaii
6/26/21,25,2021,261,Hawaii
7/3/21,26,2021,307,Hawaii
7/10/21,27,2021,421,Hawaii
7/17/21,28,2021,692,Hawaii
7/24/21,29,2021,1283,Hawaii
7/31/21,30,2021,2090,Hawaii
8/7/21,31,2021,3519,Hawaii
8/14/21,32,2021,4596,Hawaii
8/21/21,33,2021,4833,Hawaii
8/28/21,34,2021,6056,Hawaii
9/4/21,35,2021,5221,Hawaii
9/11/21,36,2021,4314,Hawaii
9/18/21,37,2021,3519,Hawaii
9/25/21,38,2021,2610,Hawaii
10/2/21,39,2021,1930,Hawaii
10/9/21,40,2021,1298,Hawaii
10/16/21,41,2021,846,Hawaii
10/23/21,42,2021,890,Hawaii
10/30/21,43,2021,864,Hawaii
11/6/21,44,2021,696,Hawaii
11/13/21,45,2021,704,Hawaii
11/20/21,46,2021,1006,Hawaii
11/27/21,47,2021,623,Hawaii
12/4/21,48,2021,715,Hawaii
12/11/21,49,2021,895,Hawaii
12/18/21,50,2021,3450,Hawaii
12/25/21,51,2021,9524,Hawaii
1/1/22,52,2021,10377,Hawaii
1/8/22,53,2021,558,Hawaii
1/8/22,1,2022,23862,Hawaii
1/15/22,2,2022,26360,Hawaii
1/22/22,3,2022,31960,Hawaii
1/29/22,4,2022,15186,Hawaii
2/5/22,5,2022,8405,Hawaii
2/12/22,6,2022,4854,Hawaii
2/19/22,7,2022,2708,Hawaii
2/26/22,8,2022,1582,Hawaii
3/5/22,9,2022,1255,Hawaii
3/12/22,10,2022,272,Hawaii
3/19/22,11,2022,1001,Hawaii
3/26/22,12,2022,724,Hawaii
4/2/22,13,2022,1090,Hawaii
4/9/22,14,2022,1138,Hawaii
4/16/22,15,2022,1300,Hawaii
4/23/22,16,2022,1666,Hawaii
4/30/22,17,2022,3192,Hawaii
5/7/22,18,2022,4155,Hawaii
5/14/22,19,2022,5649,Hawaii
5/21/22,20,2022,7022,Hawaii
5/28/22,21,2022,8821,Hawaii
6/4/22,22,2022,8029,Hawaii
6/11/22,23,2022,7943,Hawaii
6/18/22,24,2022,7078,Hawaii
6/25/22,25,2022,5355,Hawaii
7/2/22,26,2022,5239,Hawaii
7/9/22,27,2022,4102,Hawaii
7/16/22,28,2022,4213,Hawaii
7/23/22,29,2022,4244,Hawaii
7/30/22,30,2022,3980,Hawaii
8/6/22,31,2022,3593,Hawaii
8/13/22,32,2022,3141,Hawaii
8/20/22,33,2022,2656,Hawaii
8/27/22,34,2022,2176,Hawaii
9/3/22,35,2022,1744,Hawaii
9/10/22,36,2022,1183,Hawaii
9/17/22,37,2022,1269,Hawaii
9/24/22,38,2022,1073,Hawaii
10/1/22,39,2022,12713,Hawaii
10/8/22,40,2022,1237,Hawaii
10/15/22,41,2022,1028,Hawaii
10/22/22,42,2022,2170,Hawaii
10/29/22,43,2022,1313,Hawaii
11/5/22,44,2022,996,Hawaii
11/12/22,45,2022,1216,Hawaii
11/19/22,46,2022,1019,Hawaii
11/26/22,47,2022,1157,Hawaii
12/3/22,48,2022,989,Hawaii
12/10/22,49,2022,1351,Hawaii
12/17/22,50,2022,1160,Hawaii
12/24/22,51,2022,1148,Hawaii
12/31/22,52,2022,6895,Hawaii
1/7/23,1,2023,1290,Hawaii
1/14/23,2,2023,1321,Hawaii
1/21/23,3,2023,1043,Hawaii
1/28/23,4,2023,1033,Hawaii
2/4/23,5,2023,756,Hawaii
2/11/23,6,2023,736,Hawaii
2/18/23,7,2023,616,Hawaii
2/25/23,8,2023,0,Hawaii
3/4/23,9,2023,963,Hawaii
3/11/23,10,2023,510,Hawaii
3/18/23,11,2023,446,Hawaii
3/25/23,12,2023,506,Hawaii
12/30/23,52,2023,0,Hawaii
