date,epiweek,year,cases,geography
3/14/20,10,2020,2,Indiana
3/21/20,11,2020,17,Indiana
3/28/20,12,2020,185,Indiana
4/4/20,13,2020,1318,Indiana
4/11/20,14,2020,2915,Indiana
4/18/20,15,2020,3553,Indiana
4/25/20,16,2020,3311,Indiana
5/2/20,17,2020,3886,Indiana
5/9/20,18,2020,5080,Indiana
5/16/20,19,2020,4366,Indiana
5/23/20,20,2020,3786,Indiana
5/30/20,21,2020,3732,Indiana
6/6/20,22,2020,3278,Indiana
6/13/20,23,2020,2899,Indiana
6/20/20,24,2020,2573,Indiana
6/27/20,25,2020,2595,Indiana
7/4/20,26,2020,2575,Indiana
7/11/20,27,2020,3132,Indiana
7/18/20,28,2020,3689,Indiana
7/25/20,29,2020,5073,Indiana
8/1/20,30,2020,5916,Indiana
8/8/20,31,2020,5650,Indiana
8/15/20,32,2020,6540,Indiana
8/22/20,33,2020,6233,Indiana
8/29/20,34,2020,5638,Indiana
9/5/20,35,2020,7452,Indiana
9/12/20,36,2020,6543,Indiana
9/19/20,37,2020,6083,Indiana
9/26/20,38,2020,5708,Indiana
10/3/20,39,2020,5993,Indiana
10/10/20,40,2020,7780,Indiana
10/17/20,41,2020,9858,Indiana
10/24/20,42,2020,12646,Indiana
10/31/20,43,2020,15033,Indiana
11/7/20,44,2020,19551,Indiana
11/14/20,45,2020,28306,Indiana
11/21/20,46,2020,41277,Indiana
11/28/20,47,2020,43849,Indiana
12/5/20,48,2020,38006,Indiana
12/12/20,49,2020,48364,Indiana
12/19/20,50,2020,43884,Indiana
12/26/20,51,2020,38983,Indiana
1/2/21,52,2020,29537,Indiana
1/9/21,53,2020,17660,Indiana
1/9/21,1,2021,37616,Indiana
1/16/21,2,2021,26592,Indiana
1/23/21,3,2021,20858,Indiana
1/30/21,4,2021,15673,Indiana
2/6/21,5,2021,13072,Indiana
2/13/21,6,2021,9195,Indiana
2/20/21,7,2021,6670,Indiana
2/27/21,8,2021,6150,Indiana
3/6/21,9,2021,5620,Indiana
3/13/21,10,2021,5322,Indiana
3/20/21,11,2021,5366,Indiana
3/27/21,12,2021,6116,Indiana
4/3/21,13,2021,6900,Indiana
4/10/21,14,2021,7784,Indiana
4/17/21,15,2021,9378,Indiana
4/24/21,16,2021,6724,Indiana
5/1/21,17,2021,7874,Indiana
5/8/21,18,2021,7076,Indiana
5/15/21,19,2021,5750,Indiana
5/22/21,20,2021,4734,Indiana
5/29/21,21,2021,3508,Indiana
6/5/21,22,2021,2858,Indiana
6/12/21,23,2021,2547,Indiana
6/19/21,24,2021,2146,Indiana
6/26/21,25,2021,1463,Indiana
7/3/21,26,2021,2032,Indiana
7/10/21,27,2021,2344,Indiana
7/17/21,28,2021,3100,Indiana
7/24/21,29,2021,4290,Indiana
7/31/21,30,2021,6850,Indiana
8/7/21,31,2021,10023,Indiana
8/14/21,32,2021,15411,Indiana
8/21/21,33,2021,20411,Indiana
8/28/21,34,2021,26550,Indiana
9/4/21,35,2021,29793,Indiana
9/11/21,36,2021,26369,Indiana
9/18/21,37,2021,26767,Indiana
9/25/21,38,2021,21322,Indiana
10/2/21,39,2021,18067,Indiana
10/9/21,40,2021,16574,Indiana
10/16/21,41,2021,13921,Indiana
10/23/21,42,2021,11353,Indiana
10/30/21,43,2021,10979,Indiana
11/6/21,44,2021,11664,Indiana
11/13/21,45,2021,19301,Indiana
11/20/21,46,2021,19879,Indiana
11/27/21,47,2021,15049,Indiana
12/4/21,48,2021,33870,Indiana
12/11/21,49,2021,32587,Indiana
12/18/21,50,2021,30674,Indiana
12/25/21,51,2021,19395,Indiana
1/1/22,52,2021,45944,Indiana
1/8/22,53,2021,14599,Indiana
1/8/22,1,2022,82582,Indiana
1/15/22,2,2022,96536,Indiana
1/22/22,3,2022,98683,Indiana
1/29/22,4,2022,79585,Indiana
2/5/22,5,2022,42902,Indiana
2/12/22,6,2022,17435,Indiana
2/19/22,7,2022,9944,Indiana
2/26/22,8,2022,6078,Indiana
3/5/22,9,2022,3423,Indiana
3/12/22,10,2022,2942,Indiana
3/19/22,11,2022,2109,Indiana
3/26/22,12,2022,1379,Indiana
4/2/22,13,2022,-2693,Indiana
4/9/22,14,2022,1234,Indiana
4/16/22,15,2022,861,Indiana
4/23/22,16,2022,3194,Indiana
4/30/22,17,2022,5533,Indiana
5/7/22,18,2022,4793,Indiana
5/14/22,19,2022,6749,Indiana
5/21/22,20,2022,8143,Indiana
5/28/22,21,2022,8784,Indiana
6/4/22,22,2022,8082,Indiana
6/11/22,23,2022,8643,Indiana
6/18/22,24,2022,8473,Indiana
6/25/22,25,2022,8917,Indiana
7/2/22,26,2022,11010,Indiana
7/9/22,27,2022,11173,Indiana
7/16/22,28,2022,11371,Indiana
7/23/22,29,2022,14728,Indiana
7/30/22,30,2022,15576,Indiana
8/6/22,31,2022,14888,Indiana
8/13/22,32,2022,15574,Indiana
8/20/22,33,2022,14200,Indiana
8/27/22,34,2022,13962,Indiana
9/3/22,35,2022,12195,Indiana
9/10/22,36,2022,8772,Indiana
9/17/22,37,2022,6026,Indiana
9/24/22,38,2022,4977,Indiana
10/1/22,39,2022,2665,Indiana
10/8/22,40,2022,3652,Indiana
10/15/22,41,2022,4377,Indiana
10/22/22,42,2022,3080,Indiana
10/29/22,43,2022,4463,Indiana
11/5/22,44,2022,5143,Indiana
11/12/22,45,2022,5311,Indiana
11/19/22,46,2022,5478,Indiana
11/26/22,47,2022,5925,Indiana
12/3/22,48,2022,6335,Indiana
12/10/22,49,2022,11535,Indiana
12/17/22,50,2022,9725,Indiana
12/24/22,51,2022,9236,Indiana
12/31/22,52,2022,6507,Indiana
1/7/23,1,2023,9151,Indiana
1/14/23,2,2023,6067,Indiana
1/21/23,3,2023,2960,Indiana
1/28/23,4,2023,4031,Indiana
2/4/23,5,2023,4490,Indiana
2/11/23,6,2023,4420,Indiana
2/18/23,7,2023,4846,Indiana
2/25/23,8,2023,4344,Indiana
3/4/23,9,2023,4553,Indiana
3/11/23,10,2023,3482,Indiana
3/18/23,11,2023,3428,Indiana
3/25/23,12,2023,1,Indiana
12/30/23,52,2023,0,Indiana
