date,epiweek,year,cases,geography
3/14/20,10,2020,3,Iowa
3/21/20,11,2020,19,Iowa
3/28/20,12,2020,68,Iowa
4/4/20,13,2020,246,Iowa
4/11/20,14,2020,532,Iowa
4/18/20,15,2020,719,Iowa
4/25/20,16,2020,1328,Iowa
5/2/20,17,2020,2575,Iowa
5/9/20,18,2020,3679,Iowa
5/16/20,19,2020,2790,Iowa
5/23/20,20,2020,2692,Iowa
5/30/20,21,2020,2783,Iowa
6/6/20,22,2020,2187,Iowa
6/13/20,23,2020,2173,Iowa
6/20/20,24,2020,2165,Iowa
6/27/20,25,2020,2061,Iowa
7/4/20,26,2020,2500,Iowa
7/11/20,27,2020,3092,Iowa
7/18/20,28,2020,3798,Iowa
7/25/20,29,2020,3403,Iowa
8/1/20,30,2020,3544,Iowa
8/8/20,31,2020,3366,Iowa
8/15/20,32,2020,3196,Iowa
8/22/20,33,2020,3528,Iowa
8/29/20,34,2020,3994,Iowa
9/5/20,35,2020,8158,Iowa
9/12/20,36,2020,5611,Iowa
9/19/20,37,2020,4465,Iowa
9/26/20,38,2020,5735,Iowa
10/3/20,39,2020,6214,Iowa
10/10/20,40,2020,6120,Iowa
10/17/20,41,2020,7197,Iowa
10/24/20,42,2020,7393,Iowa
10/31/20,43,2020,8904,Iowa
11/7/20,44,2020,14859,Iowa
11/14/20,45,2020,24486,Iowa
11/21/20,46,2020,30731,Iowa
11/28/20,47,2020,25350,Iowa
12/5/20,48,2020,17026,Iowa
12/12/20,49,2020,15999,Iowa
12/19/20,50,2020,11560,Iowa
12/26/20,51,2020,11080,Iowa
1/2/21,52,2020,7970,Iowa
1/9/21,53,2020,6413,Iowa
1/9/21,1,2021,11967,Iowa
1/16/21,2,2021,8469,Iowa
1/23/21,3,2021,7989,Iowa
1/30/21,4,2021,6268,Iowa
2/6/21,5,2021,5182,Iowa
2/13/21,6,2021,4668,Iowa
2/20/21,7,2021,3382,Iowa
2/27/21,8,2021,3815,Iowa
3/6/21,9,2021,3217,Iowa
3/13/21,10,2021,3214,Iowa
3/20/21,11,2021,2899,Iowa
3/27/21,12,2021,3929,Iowa
4/3/21,13,2021,3648,Iowa
4/10/21,14,2021,3657,Iowa
4/17/21,15,2021,2994,Iowa
4/24/21,16,2021,2910,Iowa
5/1/21,17,2021,2596,Iowa
5/8/21,18,2021,2196,Iowa
5/15/21,19,2021,1653,Iowa
5/22/21,20,2021,1257,Iowa
5/29/21,21,2021,759,Iowa
6/5/21,22,2021,645,Iowa
6/12/21,23,2021,548,Iowa
6/19/21,24,2021,524,Iowa
6/26/21,25,2021,482,Iowa
7/3/21,26,2021,597,Iowa
7/10/21,27,2021,491,Iowa
7/17/21,28,2021,1055,Iowa
