date,epiweek,year,cases,geography
3/14/20,10,2020,1,Kansas
3/21/20,11,2020,8,Kansas
3/28/20,12,2020,57,Kansas
4/4/20,13,2020,267,Kansas
4/11/20,14,2020,436,Kansas
4/18/20,15,2020,568,Kansas
4/25/20,16,2020,560,Kansas
5/2/20,17,2020,1301,Kansas
5/9/20,18,2020,1979,Kansas
5/16/20,19,2020,1868,Kansas
5/23/20,20,2020,1021,Kansas
5/30/20,21,2020,1069,Kansas
6/6/20,22,2020,743,Kansas
6/13/20,23,2020,671,Kansas
6/20/20,24,2020,698,Kansas
6/27/20,25,2020,1011,Kansas
7/4/20,26,2020,1758,Kansas
7/11/20,27,2020,2273,Kansas
7/18/20,28,2020,3006,Kansas
7/25/20,29,2020,3164,Kansas
8/1/20,30,2020,3190,Kansas
8/8/20,31,2020,2692,Kansas
8/15/20,32,2020,2804,Kansas
8/22/20,33,2020,3350,Kansas
8/29/20,34,2020,3231,Kansas
9/5/20,35,2020,4285,Kansas
9/12/20,36,2020,4140,Kansas
9/19/20,37,2020,3257,Kansas
9/26/20,38,2020,4025,Kansas
10/3/20,39,2020,4545,Kansas
10/10/20,40,2020,4501,Kansas
10/17/20,41,2020,4752,Kansas
10/24/20,42,2020,5491,Kansas
10/31/20,43,2020,5519,Kansas
11/7/20,44,2020,8568,Kansas
11/14/20,45,2020,12996,Kansas
11/21/20,46,2020,18046,Kansas
11/28/20,47,2020,19679,Kansas
12/5/20,48,2020,17847,Kansas
12/12/20,49,2020,16258,Kansas
12/19/20,50,2020,17025,Kansas
12/26/20,51,2020,15014,Kansas
1/2/21,52,2020,9499,Kansas
1/9/21,53,2020,12282,Kansas
1/9/21,1,2021,15177,Kansas
1/16/21,2,2021,13697,Kansas
1/23/21,3,2021,10385,Kansas
1/30/21,4,2021,8022,Kansas
2/6/21,5,2021,6927,Kansas
2/13/21,6,2021,4665,Kansas
2/20/21,7,2021,4785,Kansas
2/27/21,8,2021,2788,Kansas
3/6/21,9,2021,2102,Kansas
3/13/21,10,2021,1802,Kansas
3/20/21,11,2021,1521,Kansas
3/27/21,12,2021,1487,Kansas
4/3/21,13,2021,1427,Kansas
4/10/21,14,2021,1381,Kansas
4/17/21,15,2021,1601,Kansas
4/24/21,16,2021,1425,Kansas
5/1/21,17,2021,1674,Kansas
5/8/21,18,2021,1419,Kansas
5/15/21,19,2021,1139,Kansas
5/22/21,20,2021,1270,Kansas
5/29/21,21,2021,814,Kansas
6/5/21,22,2021,766,Kansas
6/12/21,23,2021,761,Kansas
6/19/21,24,2021,717,Kansas
6/26/21,25,2021,729,Kansas
7/3/21,26,2021,1158,Kansas
7/10/21,27,2021,1821,Kansas
7/17/21,28,2021,2926,Kansas
7/24/21,29,2021,3865,Kansas
7/31/21,30,2021,5556,Kansas
8/7/21,31,2021,6582,Kansas
8/14/21,32,2021,8332,Kansas
8/21/21,33,2021,8193,Kansas
8/28/21,34,2021,9660,Kansas
9/4/21,35,2021,11318,Kansas
9/11/21,36,2021,9954,Kansas
9/18/21,37,2021,9856,Kansas
9/25/21,38,2021,7459,Kansas
10/2/21,39,2021,6819,Kansas
10/9/21,40,2021,6332,Kansas
10/16/21,41,2021,5444,Kansas
10/23/21,42,2021,5652,Kansas
10/30/21,43,2021,5941,Kansas
11/6/21,44,2021,5577,Kansas
11/13/21,45,2021,7410,Kansas
11/20/21,46,2021,8071,Kansas
11/27/21,47,2021,5393,Kansas
12/4/21,48,2021,13319,Kansas
12/11/21,49,2021,11509,Kansas
12/18/21,50,2021,11791,Kansas
12/25/21,51,2021,7748,Kansas
1/1/22,52,2021,13981,Kansas
1/8/22,53,2021,4897,Kansas
1/8/22,1,2022,45901,Kansas
1/15/22,2,2022,55242,Kansas
1/22/22,3,2022,60097,Kansas
1/29/22,4,2022,41545,Kansas
2/5/22,5,2022,21680,Kansas
2/12/22,6,2022,8838,Kansas
2/19/22,7,2022,8966,Kansas
2/26/22,8,2022,3743,Kansas
3/5/22,9,2022,1942,Kansas
3/12/22,10,2022,1276,Kansas
3/19/22,11,2022,432,Kansas
3/26/22,12,2022,476,Kansas
4/2/22,13,2022,562,Kansas
4/9/22,14,2022,724,Kansas
4/16/22,15,2022,1240,Kansas
4/23/22,16,2022,1516,Kansas
4/30/22,17,2022,1983,Kansas
5/7/22,18,2022,2235,Kansas
5/14/22,19,2022,2845,Kansas
5/21/22,20,2022,2000,Kansas
5/28/22,21,2022,3041,Kansas
6/4/22,22,2022,3178,Kansas
6/11/22,23,2022,4622,Kansas
6/18/22,24,2022,3923,Kansas
6/25/22,25,2022,4128,Kansas
7/2/22,26,2022,5015,Kansas
7/9/22,27,2022,5421,Kansas
7/16/22,28,2022,7347,Kansas
7/23/22,29,2022,7772,Kansas
7/30/22,30,2022,7477,Kansas
8/6/22,31,2022,6770,Kansas
8/13/22,32,2022,6296,Kansas
8/20/22,33,2022,5427,Kansas
8/27/22,34,2022,5030,Kansas
9/3/22,35,2022,5795,Kansas
9/10/22,36,2022,4377,Kansas
9/17/22,37,2022,4220,Kansas
9/24/22,38,2022,2650,Kansas
10/1/22,39,2022,2790,Kansas
10/8/22,40,2022,1627,Kansas
10/15/22,41,2022,2850,Kansas
10/22/22,42,2022,2638,Kansas
10/29/22,43,2022,2185,Kansas
11/5/22,44,2022,2381,Kansas
11/12/22,45,2022,2616,Kansas
11/19/22,46,2022,2469,Kansas
11/26/22,47,2022,2858,Kansas
12/3/22,48,2022,3497,Kansas
12/10/22,49,2022,4158,Kansas
12/17/22,50,2022,4141,Kansas
12/24/22,51,2022,3902,Kansas
12/31/22,52,2022,2747,Kansas
1/7/23,1,2023,2814,Kansas
1/14/23,2,2023,2337,Kansas
1/21/23,3,2023,1943,Kansas
1/28/23,4,2023,2354,Kansas
2/4/23,5,2023,1959,Kansas
2/11/23,6,2023,1954,Kansas
2/18/23,7,2023,2064,Kansas
2/25/23,8,2023,1983,Kansas
3/4/23,9,2023,1917,Kansas
3/11/23,10,2023,1760,Kansas
3/18/23,11,2023,1349,Kansas
3/25/23,12,2023,1290,Kansas
12/30/23,52,2023,0,Kansas
