date,epiweek,year,cases,geography
3/14/20,10,2020,4,Kentucky
3/21/20,11,2020,17,Kentucky
3/28/20,12,2020,82,Kentucky
4/4/20,13,2020,336,Kentucky
4/11/20,14,2020,609,Kentucky
4/18/20,15,2020,915,Kentucky
4/25/20,16,2020,997,Kentucky
5/2/20,17,2020,1114,Kentucky
5/9/20,18,2020,1149,Kentucky
5/16/20,19,2020,1263,Kentucky
5/23/20,20,2020,1307,Kentucky
5/30/20,21,2020,1049,Kentucky
6/6/20,22,2020,1095,Kentucky
6/13/20,23,2020,1456,Kentucky
6/20/20,24,2020,1259,Kentucky
6/27/20,25,2020,1267,Kentucky
7/4/20,26,2020,1561,Kentucky
7/11/20,27,2020,1232,Kentucky
7/18/20,28,2020,3050,Kentucky
7/25/20,29,2020,3838,Kentucky
8/1/20,30,2020,4082,Kentucky
8/8/20,31,2020,4284,Kentucky
8/15/20,32,2020,4350,Kentucky
8/22/20,33,2020,4567,Kentucky
8/29/20,34,2020,4518,Kentucky
9/5/20,35,2020,4769,Kentucky
9/12/20,36,2020,6002,Kentucky
9/19/20,37,2020,4435,Kentucky
9/26/20,38,2020,4806,Kentucky
10/3/20,39,2020,4972,Kentucky
10/10/20,40,2020,5701,Kentucky
10/17/20,41,2020,6272,Kentucky
10/24/20,42,2020,7180,Kentucky
10/31/20,43,2020,9192,Kentucky
11/7/20,44,2020,11870,Kentucky
11/14/20,45,2020,12595,Kentucky
11/21/20,46,2020,17072,Kentucky
11/28/20,47,2020,20955,Kentucky
12/5/20,48,2020,18942,Kentucky
12/12/20,49,2020,24608,Kentucky
12/19/20,50,2020,21832,Kentucky
12/26/20,51,2020,18180,Kentucky
1/2/21,52,2020,14036,Kentucky
1/9/21,53,2020,10008,Kentucky
1/9/21,1,2021,28345,Kentucky
1/16/21,2,2021,22993,Kentucky
1/23/21,3,2021,19378,Kentucky
1/30/21,4,2021,17663,Kentucky
2/6/21,5,2021,14414,Kentucky
2/13/21,6,2021,11719,Kentucky
2/20/21,7,2021,7962,Kentucky
2/27/21,8,2021,7440,Kentucky
3/6/21,9,2021,5808,Kentucky
3/13/21,10,2021,5378,Kentucky
3/20/21,11,2021,4694,Kentucky
3/27/21,12,2021,4147,Kentucky
4/3/21,13,2021,3925,Kentucky
4/10/21,14,2021,4051,Kentucky
4/17/21,15,2021,4274,Kentucky
4/24/21,16,2021,3542,Kentucky
5/1/21,17,2021,4128,Kentucky
5/8/21,18,2021,3720,Kentucky
5/15/21,19,2021,3118,Kentucky
5/22/21,20,2021,2816,Kentucky
5/29/21,21,2021,2067,Kentucky
6/5/21,22,2021,1652,Kentucky
6/12/21,23,2021,1665,Kentucky
6/19/21,24,2021,914,Kentucky
6/26/21,25,2021,914,Kentucky
7/3/21,26,2021,1073,Kentucky
7/10/21,27,2021,1412,Kentucky
7/17/21,28,2021,2848,Kentucky
7/24/21,29,2021,4813,Kentucky
7/31/21,30,2021,8368,Kentucky
8/7/21,31,2021,12732,Kentucky
8/14/21,32,2021,17247,Kentucky
8/21/21,33,2021,22819,Kentucky
8/28/21,34,2021,28884,Kentucky
9/4/21,35,2021,30591,Kentucky
9/11/21,36,2021,28197,Kentucky
9/18/21,37,2021,30536,Kentucky
9/25/21,38,2021,24686,Kentucky
10/2/21,39,2021,21853,Kentucky
10/9/21,40,2021,15191,Kentucky
10/16/21,41,2021,13698,Kentucky
10/23/21,42,2021,10202,Kentucky
10/30/21,43,2021,8527,Kentucky
11/6/21,44,2021,7694,Kentucky
11/13/21,45,2021,8704,Kentucky
11/20/21,46,2021,9598,Kentucky
11/27/21,47,2021,7867,Kentucky
12/4/21,48,2021,16875,Kentucky
12/11/21,49,2021,15867,Kentucky
12/18/21,50,2021,14795,Kentucky
12/25/21,51,2021,11445,Kentucky
