date,epiweek,year,cases,geography
3/21/20,11,2020,103,Louisiana
3/28/20,12,2020,734,Louisiana
4/4/20,13,2020,2702,Louisiana
4/11/20,14,2020,9475,Louisiana
4/18/20,15,2020,7581,Louisiana
4/25/20,16,2020,3333,Louisiana
5/2/20,17,2020,2904,Louisiana
5/9/20,18,2020,2551,Louisiana
5/16/20,19,2020,2290,Louisiana
5/23/20,20,2020,2825,Louisiana
5/30/20,21,2020,2795,Louisiana
6/6/20,22,2020,2728,Louisiana
6/13/20,23,2020,2906,Louisiana
6/20/20,24,2020,3805,Louisiana
6/27/20,25,2020,3158,Louisiana
7/4/20,26,2020,6459,Louisiana
7/11/20,27,2020,8985,Louisiana
7/18/20,28,2020,12896,Louisiana
7/25/20,29,2020,13586,Louisiana
8/1/20,30,2020,15870,Louisiana
8/8/20,31,2020,12175,Louisiana
8/15/20,32,2020,11656,Louisiana
8/22/20,33,2020,6524,Louisiana
8/29/20,34,2020,5043,Louisiana
9/5/20,35,2020,5484,Louisiana
9/12/20,36,2020,5196,Louisiana
9/19/20,37,2020,4626,Louisiana
9/26/20,38,2020,3868,Louisiana
10/3/20,39,2020,3817,Louisiana
10/10/20,40,2020,3644,Louisiana
10/17/20,41,2020,4868,Louisiana
10/24/20,42,2020,4282,Louisiana
10/31/20,43,2020,4706,Louisiana
11/7/20,44,2020,4145,Louisiana
11/14/20,45,2020,5261,Louisiana
11/21/20,46,2020,11532,Louisiana
11/28/20,47,2020,15679,Louisiana
12/5/20,48,2020,12053,Louisiana
12/12/20,49,2020,18878,Louisiana
12/19/20,50,2020,17490,Louisiana
12/26/20,51,2020,17532,Louisiana
1/2/21,52,2020,13577,Louisiana
1/9/21,53,2020,15553,Louisiana
1/9/21,1,2021,25771,Louisiana
1/16/21,2,2021,22151,Louisiana
1/23/21,3,2021,14882,Louisiana
1/30/21,4,2021,16764,Louisiana
2/6/21,5,2021,11186,Louisiana
2/13/21,6,2021,8079,Louisiana
2/20/21,7,2021,4285,Louisiana
2/27/21,8,2021,5924,Louisiana
3/6/21,9,2021,3685,Louisiana
3/13/21,10,2021,3608,Louisiana
3/20/21,11,2021,2344,Louisiana
3/27/21,12,2021,3332,Louisiana
4/3/21,13,2021,2400,Louisiana
4/10/21,14,2021,3369,Louisiana
4/17/21,15,2021,3117,Louisiana
4/24/21,16,2021,3586,Louisiana
5/1/21,17,2021,3040,Louisiana
5/8/21,18,2021,3192,Louisiana
5/15/21,19,2021,3060,Louisiana
5/22/21,20,2021,2982,Louisiana
5/29/21,21,2021,2870,Louisiana
6/5/21,22,2021,2296,Louisiana
6/12/21,23,2021,2373,Louisiana
6/19/21,24,2021,2099,Louisiana
6/26/21,25,2021,2068,Louisiana
7/3/21,26,2021,3039,Louisiana
7/10/21,27,2021,4998,Louisiana
7/17/21,28,2021,8387,Louisiana
7/24/21,29,2021,16898,Louisiana
7/31/21,30,2021,28836,Louisiana
8/7/21,31,2021,32224,Louisiana
8/14/21,32,2021,40873,Louisiana
8/21/21,33,2021,35139,Louisiana
8/28/21,34,2021,29881,Louisiana
9/4/21,35,2021,17104,Louisiana
9/11/21,36,2021,15674,Louisiana
9/18/21,37,2021,13063,Louisiana
9/25/21,38,2021,8887,Louisiana
10/2/21,39,2021,7382,Louisiana
10/9/21,40,2021,5423,Louisiana
10/16/21,41,2021,4545,Louisiana
10/23/21,42,2021,3757,Louisiana
10/30/21,43,2021,2840,Louisiana
11/6/21,44,2021,3378,Louisiana
11/13/21,45,2021,2505,Louisiana
11/20/21,46,2021,2976,Louisiana
11/27/21,47,2021,1721,Louisiana
12/4/21,48,2021,3738,Louisiana
12/11/21,49,2021,3146,Louisiana
12/18/21,50,2021,4733,Louisiana
12/25/21,51,2021,9705,Louisiana
1/1/22,52,2021,38322,Louisiana
1/8/22,1,2022,79733,Louisiana
1/8/22,53,2021,5783,Louisiana
1/15/22,2,2022,88195,Louisiana
1/22/22,3,2022,63399,Louisiana
1/29/22,4,2022,100108,Louisiana
2/5/22,5,2022,32245,Louisiana
2/12/22,6,2022,18023,Louisiana
2/19/22,7,2022,9066,Louisiana
2/26/22,8,2022,6173,Louisiana
3/5/22,9,2022,2408,Louisiana
3/12/22,10,2022,1608,Louisiana
3/19/22,11,2022,1345,Louisiana
3/26/22,12,2022,848,Louisiana
4/2/22,13,2022,667,Louisiana
4/9/22,14,2022,966,Louisiana
4/16/22,15,2022,1171,Louisiana
4/23/22,16,2022,1461,Louisiana
4/30/22,17,2022,1900,Louisiana
5/7/22,18,2022,2527,Louisiana
5/14/22,19,2022,3885,Louisiana
5/21/22,20,2022,6006,Louisiana
5/28/22,21,2022,6719,Louisiana
6/4/22,22,2022,8077,Louisiana
6/11/22,23,2022,9573,Louisiana
6/18/22,24,2022,8170,Louisiana
6/25/22,25,2022,13893,Louisiana
7/2/22,26,2022,13968,Louisiana
7/9/22,27,2022,15535,Louisiana
7/16/22,28,2022,18949,Louisiana
7/23/22,29,2022,18230,Louisiana
7/30/22,30,2022,14123,Louisiana
8/6/22,31,2022,11798,Louisiana
8/13/22,32,2022,10801,Louisiana
8/20/22,33,2022,10552,Louisiana
8/27/22,34,2022,11634,Louisiana
9/3/22,35,2022,12917,Louisiana
9/10/22,36,2022,7517,Louisiana
9/17/22,37,2022,5618,Louisiana
9/24/22,38,2022,3992,Louisiana
10/1/22,39,2022,2795,Louisiana
10/8/22,40,2022,2059,Louisiana
10/15/22,41,2022,1959,Louisiana
10/22/22,42,2022,558,Louisiana
10/29/22,43,2022,1567,Louisiana
11/5/22,44,2022,1946,Louisiana
11/12/22,45,2022,2321,Louisiana
11/19/22,46,2022,1873,Louisiana
11/26/22,47,2022,2868,Louisiana
12/3/22,48,2022,2651,Louisiana
12/10/22,49,2022,4453,Louisiana
12/17/22,50,2022,4724,Louisiana
12/24/22,51,2022,25438,Louisiana
12/31/22,52,2022,6406,Louisiana
1/7/23,1,2023,7090,Louisiana
1/14/23,2,2023,6849,Louisiana
1/21/23,3,2023,5205,Louisiana
1/28/23,4,2023,5019,Louisiana
2/4/23,5,2023,10232,Louisiana
2/11/23,6,2023,6972,Louisiana
2/18/23,7,2023,5147,Louisiana
2/25/23,8,2023,5478,Louisiana
3/4/23,9,2023,4566,Louisiana
3/11/23,10,2023,3139,Louisiana
3/18/23,11,2023,2699,Louisiana
3/25/23,12,2023,4200,Louisiana
12/30/23,52,2023,0,Louisiana
