date,epiweek,year,cases,geography
3/14/20,10,2020,5,Maryland
3/21/20,11,2020,27,Maryland
3/28/20,12,2020,213,Maryland
4/4/20,13,2020,999,Maryland
4/11/20,14,2020,2365,Maryland
4/18/20,15,2020,4616,Maryland
4/25/20,16,2020,4667,Maryland
5/2/20,17,2020,5772,Maryland
5/9/20,18,2020,6897,Maryland
5/16/20,19,2020,7132,Maryland
5/23/20,20,2020,6227,Maryland
5/30/20,21,2020,7999,Maryland
6/6/20,22,2020,6537,Maryland
6/13/20,23,2020,5137,Maryland
6/20/20,24,2020,3735,Maryland
6/27/20,25,2020,2575,Maryland
7/4/20,26,2020,2457,Maryland
7/11/20,27,2020,2597,Maryland
7/18/20,28,2020,3748,Maryland
7/25/20,29,2020,4993,Maryland
8/1/20,30,2020,5608,Maryland
8/8/20,31,2020,6529,Maryland
8/15/20,32,2020,5230,Maryland
8/22/20,33,2020,4707,Maryland
8/29/20,34,2020,3846,Maryland
9/5/20,35,2020,3668,Maryland
9/12/20,36,2020,4271,Maryland
9/19/20,37,2020,4043,Maryland
9/26/20,38,2020,4056,Maryland
10/3/20,39,2020,3239,Maryland
10/10/20,40,2020,3890,Maryland
10/17/20,41,2020,4068,Maryland
10/24/20,42,2020,4296,Maryland
10/31/20,43,2020,4621,Maryland
11/7/20,44,2020,5857,Maryland
11/14/20,45,2020,7824,Maryland
11/21/20,46,2020,11866,Maryland
11/28/20,47,2020,16165,Maryland
12/5/20,48,2020,14245,Maryland
12/12/20,49,2020,18621,Maryland
12/19/20,50,2020,19627,Maryland
12/26/20,51,2020,16094,Maryland
1/2/21,52,2020,16386,Maryland
1/9/21,53,2020,9379,Maryland
1/9/21,1,2021,21366,Maryland
1/16/21,2,2021,19795,Maryland
1/23/21,3,2021,15018,Maryland
1/30/21,4,2021,12983,Maryland
2/6/21,5,2021,9180,Maryland
2/13/21,6,2021,7334,Maryland
2/20/21,7,2021,5374,Maryland
2/27/21,8,2021,5744,Maryland
3/6/21,9,2021,5220,Maryland
3/13/21,10,2021,6122,Maryland
3/20/21,11,2021,6585,Maryland
3/27/21,12,2021,8021,Maryland
4/3/21,13,2021,9285,Maryland
4/10/21,14,2021,9402,Maryland
4/17/21,15,2021,9298,Maryland
4/24/21,16,2021,7229,Maryland
5/1/21,17,2021,5737,Maryland
5/8/21,18,2021,4136,Maryland
5/15/21,19,2021,2880,Maryland
5/22/21,20,2021,2287,Maryland
5/29/21,21,2021,1506,Maryland
6/5/21,22,2021,800,Maryland
6/12/21,23,2021,696,Maryland
6/19/21,24,2021,471,Maryland
6/26/21,25,2021,405,Maryland
7/3/21,26,2021,452,Maryland
7/10/21,27,2021,590,Maryland
7/17/21,28,2021,1011,Maryland
7/24/21,29,2021,1754,Maryland
7/31/21,30,2021,3146,Maryland
8/7/21,31,2021,4875,Maryland
8/14/21,32,2021,5984,Maryland
8/21/21,33,2021,7017,Maryland
8/28/21,34,2021,8015,Maryland
9/4/21,35,2021,8053,Maryland
9/11/21,36,2021,7510,Maryland
9/18/21,37,2021,8557,Maryland
9/25/21,38,2021,8708,Maryland
10/2/21,39,2021,8447,Maryland
10/9/21,40,2021,7969,Maryland
10/16/21,41,2021,6333,Maryland
10/23/21,42,2021,5532,Maryland
10/30/21,43,2021,5187,Maryland
11/6/21,44,2021,4812,Maryland
11/13/21,45,2021,5544,Maryland
11/20/21,46,2021,6395,Maryland
11/27/21,47,2021,6118,Maryland
12/4/21,48,2021,8542,Maryland
12/11/21,49,2021,0,Maryland
12/18/21,50,2021,0,Maryland
12/25/21,51,2021,70735,Maryland
1/1/22,52,2021,37142,Maryland
1/8/22,53,2021,8653,Maryland
1/8/22,1,2022,93745,Maryland
1/15/22,2,2022,68740,Maryland
1/22/22,3,2022,35952,Maryland
1/29/22,4,2022,18595,Maryland
2/5/22,5,2022,10346,Maryland
2/12/22,6,2022,5751,Maryland
2/19/22,7,2022,27832,Maryland
2/26/22,8,2022,3755,Maryland
3/5/22,9,2022,2649,Maryland
3/12/22,10,2022,2099,Maryland
3/19/22,11,2022,2103,Maryland
3/26/22,12,2022,1982,Maryland
4/2/22,13,2022,1635,Maryland
4/9/22,14,2022,3001,Maryland
4/16/22,15,2022,4129,Maryland
4/23/22,16,2022,5433,Maryland
4/30/22,17,2022,6613,Maryland
5/7/22,18,2022,8244,Maryland
5/14/22,19,2022,12162,Maryland
5/21/22,20,2022,16084,Maryland
5/28/22,21,2022,15404,Maryland
6/4/22,22,2022,12479,Maryland
6/11/22,23,2022,11488,Maryland
6/18/22,24,2022,10006,Maryland
6/25/22,25,2022,8691,Maryland
7/2/22,26,2022,10229,Maryland
