date,epiweek,year,cases,geography
2/8/20,5,2020,1,Massachusetts
2/15/20,6,2020,0,Massachusetts
2/22/20,7,2020,0,Massachusetts
2/29/20,8,2020,0,Massachusetts
3/7/20,9,2020,0,Massachusetts
3/14/20,10,2020,27,Massachusetts
3/21/20,11,2020,136,Massachusetts
3/28/20,12,2020,482,Massachusetts
4/4/20,13,2020,4309,Massachusetts
4/11/20,14,2020,7545,Massachusetts
4/18/20,15,2020,12975,Massachusetts
4/25/20,16,2020,12602,Massachusetts
5/2/20,17,2020,16861,Massachusetts
5/9/20,18,2020,13149,Massachusetts
5/16/20,19,2020,9706,Massachusetts
5/23/20,20,2020,8217,Massachusetts
5/30/20,21,2020,6665,Massachusetts
6/6/20,22,2020,4290,Massachusetts
6/13/20,23,2020,6471,Massachusetts
6/20/20,24,2020,2167,Massachusetts
6/27/20,25,2020,1458,Massachusetts
7/4/20,26,2020,1606,Massachusetts
7/11/20,27,2020,1307,Massachusetts
7/18/20,28,2020,1623,Massachusetts
7/25/20,29,2020,1937,Massachusetts
8/1/20,30,2020,2103,Massachusetts
8/8/20,31,2020,2821,Massachusetts
8/15/20,32,2020,2582,Massachusetts
8/22/20,33,2020,2553,Massachusetts
8/29/20,34,2020,1767,Massachusetts
9/5/20,35,2020,2869,Massachusetts
9/12/20,36,2020,-5667,Massachusetts
9/19/20,37,2020,2264,Massachusetts
9/26/20,38,2020,2714,Massachusetts
10/3/20,39,2020,3102,Massachusetts
10/10/20,40,2020,4305,Massachusetts
10/17/20,41,2020,3956,Massachusetts
10/24/20,42,2020,4757,Massachusetts
10/31/20,43,2020,6905,Massachusetts
11/7/20,44,2020,9142,Massachusetts
11/14/20,45,2020,11692,Massachusetts
11/21/20,46,2020,16876,Massachusetts
11/28/20,47,2020,18575,Massachusetts
12/5/20,48,2020,18114,Massachusetts
12/12/20,49,2020,31880,Massachusetts
12/19/20,50,2020,33734,Massachusetts
12/26/20,51,2020,32953,Massachusetts
1/2/21,52,2020,29205,Massachusetts
1/9/21,53,2020,22442,Massachusetts
1/9/21,1,2021,45129,Massachusetts
1/16/21,2,2021,37349,Massachusetts
1/23/21,3,2021,29897,Massachusetts
1/30/21,4,2021,23988,Massachusetts
2/6/21,5,2021,19909,Massachusetts
2/13/21,6,2021,13843,Massachusetts
2/20/21,7,2021,11507,Massachusetts
2/27/21,8,2021,11864,Massachusetts
3/6/21,9,2021,10208,Massachusetts
3/13/21,10,2021,10952,Massachusetts
3/20/21,11,2021,12360,Massachusetts
3/27/21,12,2021,14863,Massachusetts
4/3/21,13,2021,13701,Massachusetts
4/10/21,14,2021,16337,Massachusetts
4/17/21,15,2021,13088,Massachusetts
4/24/21,16,2021,10127,Massachusetts
5/1/21,17,2021,8388,Massachusetts
5/8/21,18,2021,6226,Massachusetts
5/15/21,19,2021,4641,Massachusetts
5/22/21,20,2021,3103,Massachusetts
5/29/21,21,2021,1803,Massachusetts
6/5/21,22,2021,1138,Massachusetts
6/12/21,23,2021,792,Massachusetts
6/19/21,24,2021,520,Massachusetts
6/26/21,25,2021,374,Massachusetts
7/3/21,26,2021,369,Massachusetts
7/10/21,27,2021,692,Massachusetts
7/17/21,28,2021,1442,Massachusetts
7/24/21,29,2021,2908,Massachusetts
7/31/21,30,2021,4600,Massachusetts
