date,epiweek,year,cases,geography
3/21/20,11,2020,53,Michigan
3/28/20,12,2020,980,Michigan
4/4/20,13,2020,4453,Michigan
4/11/20,14,2020,10147,Michigan
4/18/20,15,2020,8863,Michigan
4/25/20,16,2020,6853,Michigan
5/2/20,17,2020,6654,Michigan
5/9/20,18,2020,5800,Michigan
5/16/20,19,2020,3313,Michigan
5/23/20,20,2020,3938,Michigan
5/30/20,21,2020,3562,Michigan
6/6/20,22,2020,2739,Michigan
6/13/20,23,2020,7260,Michigan
6/20/20,24,2020,1631,Michigan
6/27/20,25,2020,1627,Michigan
7/4/20,26,2020,2169,Michigan
7/11/20,27,2020,2985,Michigan
7/18/20,28,2020,3909,Michigan
7/25/20,29,2020,4999,Michigan
8/1/20,30,2020,4815,Michigan
8/8/20,31,2020,5107,Michigan
8/15/20,32,2020,4978,Michigan
8/22/20,33,2020,5488,Michigan
8/29/20,34,2020,4552,Michigan
9/5/20,35,2020,5723,Michigan
9/12/20,36,2020,4712,Michigan
9/19/20,37,2020,5765,Michigan
9/26/20,38,2020,5073,Michigan
10/3/20,39,2020,6261,Michigan
10/10/20,40,2020,6878,Michigan
10/17/20,41,2020,8161,Michigan
10/24/20,42,2020,9889,Michigan
10/31/20,43,2020,16178,Michigan
11/7/20,44,2020,21986,Michigan
11/14/20,45,2020,31584,Michigan
11/21/20,46,2020,46807,Michigan
11/28/20,47,2020,52941,Michigan
12/5/20,48,2020,48693,Michigan
12/12/20,49,2020,48318,Michigan
12/19/20,50,2020,38355,Michigan
12/26/20,51,2020,30824,Michigan
1/2/21,52,2020,20091,Michigan
1/9/21,53,2020,11554,Michigan
1/9/21,1,2021,24304,Michigan
1/16/21,2,2021,19881,Michigan
1/23/21,3,2021,14933,Michigan
1/30/21,4,2021,13201,Michigan
2/6/21,5,2021,11614,Michigan
2/13/21,6,2021,8684,Michigan
2/20/21,7,2021,7170,Michigan
2/27/21,8,2021,9195,Michigan
3/6/21,9,2021,10511,Michigan
3/13/21,10,2021,13784,Michigan
3/20/21,11,2021,21231,Michigan
3/27/21,12,2021,32186,Michigan
4/3/21,13,2021,45035,Michigan
4/10/21,14,2021,51525,Michigan
4/17/21,15,2021,53076,Michigan
4/24/21,16,2021,38040,Michigan
5/1/21,17,2021,28325,Michigan
5/8/21,18,2021,21791,Michigan
5/15/21,19,2021,14368,Michigan
5/22/21,20,2021,10034,Michigan
5/29/21,21,2021,5727,Michigan
6/5/21,22,2021,2994,Michigan
6/12/21,23,2021,2032,Michigan
6/19/21,24,2021,1401,Michigan
6/26/21,25,2021,1068,Michigan
7/3/21,26,2021,1281,Michigan
7/10/21,27,2021,1364,Michigan
7/17/21,28,2021,1670,Michigan
7/24/21,29,2021,2907,Michigan
7/31/21,30,2021,4704,Michigan
8/7/21,31,2021,7430,Michigan
8/14/21,32,2021,10059,Michigan
8/21/21,33,2021,11910,Michigan
8/28/21,34,2021,14056,Michigan
9/4/21,35,2021,16185,Michigan
9/11/21,36,2021,17123,Michigan
9/18/21,37,2021,21384,Michigan
9/25/21,38,2021,22966,Michigan
10/2/21,39,2021,26649,Michigan
10/9/21,40,2021,29420,Michigan
10/16/21,41,2021,30612,Michigan
10/23/21,42,2021,27258,Michigan
10/30/21,43,2021,28043,Michigan
11/6/21,44,2021,34474,Michigan
11/13/21,45,2021,37165,Michigan
11/20/21,46,2021,61458,Michigan
11/27/21,47,2021,38744,Michigan
12/4/21,48,2021,69913,Michigan
12/11/21,49,2021,50160,Michigan
12/18/21,50,2021,46458,Michigan
12/25/21,51,2021,31298,Michigan
1/1/22,52,2021,63972,Michigan
1/8/22,1,2022,144436,Michigan
1/8/22,53,2021,8914,Michigan
1/15/22,2,2022,127980,Michigan
1/22/22,3,2022,139809,Michigan
1/29/22,4,2022,110825,Michigan
2/5/22,5,2022,59864,Michigan
2/12/22,6,2022,29875,Michigan
2/19/22,7,2022,18387,Michigan
2/26/22,8,2022,14787,Michigan
3/5/22,9,2022,7864,Michigan
3/12/22,10,2022,5928,Michigan
3/19/22,11,2022,6640,Michigan
3/26/22,12,2022,5645,Michigan
4/2/22,13,2022,4802,Michigan
4/9/22,14,2022,4320,Michigan
4/16/22,15,2022,13473,Michigan
4/23/22,16,2022,10474,Michigan
4/30/22,17,2022,14482,Michigan
5/7/22,18,2022,18945,Michigan
5/14/22,19,2022,27705,Michigan
5/21/22,20,2022,29267,Michigan
5/28/22,21,2022,25968,Michigan
6/4/22,22,2022,19535,Michigan
6/11/22,23,2022,18453,Michigan
6/18/22,24,2022,15578,Michigan
6/25/22,25,2022,10681,Michigan
7/2/22,26,2022,14353,Michigan
7/9/22,27,2022,13102,Michigan
7/16/22,28,2022,16681,Michigan
7/23/22,29,2022,16445,Michigan
7/30/22,30,2022,19653,Michigan
8/6/22,31,2022,20173,Michigan
8/13/22,32,2022,16137,Michigan
8/20/22,33,2022,23165,Michigan
8/27/22,34,2022,19414,Michigan
9/3/22,35,2022,19158,Michigan
9/10/22,36,2022,15854,Michigan
9/17/22,37,2022,18375,Michigan
9/24/22,38,2022,16901,Michigan
10/1/22,39,2022,14678,Michigan
10/8/22,40,2022,12880,Michigan
10/15/22,41,2022,12548,Michigan
10/22/22,42,2022,12414,Michigan
10/29/22,43,2022,12167,Michigan
11/5/22,44,2022,11651,Michigan
11/12/22,45,2022,9992,Michigan
11/19/22,46,2022,12860,Michigan
11/26/22,47,2022,8933,Michigan
12/3/22,48,2022,8831,Michigan
12/10/22,49,2022,2989,Michigan
12/17/22,50,2022,12987,Michigan
12/24/22,51,2022,14287,Michigan
12/31/22,52,2022,10798,Michigan
1/7/23,1,2023,9720,Michigan
1/14/23,2,2023,9870,Michigan
1/21/23,3,2023,9587,Michigan
1/28/23,4,2023,6554,Michigan
2/4/23,5,2023,6009,Michigan
2/11/23,6,2023,5788,Michigan
2/18/23,7,2023,6859,Michigan
2/25/23,8,2023,6537,Michigan
3/4/23,9,2023,7487,Michigan
3/11/23,10,2023,6877,Michigan
3/18/23,11,2023,7430,Michigan
3/25/23,12,2023,5973,Michigan
12/30/23,52,2023,0,Michigan
