date,epiweek,year,cases,geography
3/21/20,11,2020,6,Montana
3/28/20,12,2020,28,Montana
4/4/20,13,2020,127,Montana
4/11/20,14,2020,137,Montana
4/18/20,15,2020,89,Montana
4/25/20,16,2020,46,Montana
5/2/20,17,2020,15,Montana
5/9/20,18,2020,6,Montana
5/16/20,19,2020,4,Montana
5/23/20,20,2020,10,Montana
5/30/20,21,2020,11,Montana
6/6/20,22,2020,36,Montana
6/13/20,23,2020,30,Montana
6/20/20,24,2020,56,Montana
6/27/20,25,2020,116,Montana
7/4/20,26,2020,146,Montana
7/11/20,27,2020,349,Montana
7/18/20,28,2020,546,Montana
7/25/20,29,2020,775,Montana
8/1/20,30,2020,809,Montana
8/8/20,31,2020,851,Montana
8/15/20,32,2020,759,Montana
8/22/20,33,2020,799,Montana
8/29/20,34,2020,693,Montana
9/5/20,35,2020,896,Montana
9/12/20,36,2020,932,Montana
9/19/20,37,2020,765,Montana
9/26/20,38,2020,1288,Montana
10/3/20,39,2020,1801,Montana
10/10/20,40,2020,2612,Montana
10/17/20,41,2020,3995,Montana
10/24/20,42,2020,4088,Montana
10/31/20,43,2020,5059,Montana
11/7/20,44,2020,5615,Montana
11/14/20,45,2020,6184,Montana
11/21/20,46,2020,7479,Montana
11/28/20,47,2020,8522,Montana
12/5/20,48,2020,6121,Montana
12/12/20,49,2020,6074,Montana
12/19/20,50,2020,5428,Montana
12/26/20,51,2020,3867,Montana
1/2/21,52,2020,2610,Montana
1/9/21,53,2020,1921,Montana
1/9/21,1,2021,3943,Montana
1/16/21,2,2021,3069,Montana
1/23/21,3,2021,2269,Montana
1/30/21,4,2021,2299,Montana
2/6/21,5,2021,1852,Montana
2/13/21,6,2021,1612,Montana
2/20/21,7,2021,1354,Montana
2/27/21,8,2021,1220,Montana
3/6/21,9,2021,969,Montana
3/13/21,10,2021,867,Montana
3/20/21,11,2021,1276,Montana
3/27/21,12,2021,1073,Montana
4/3/21,13,2021,966,Montana
4/10/21,14,2021,1081,Montana
4/17/21,15,2021,967,Montana
4/24/21,16,2021,972,Montana
5/1/21,17,2021,936,Montana
5/8/21,18,2021,915,Montana
5/15/21,19,2021,758,Montana
5/22/21,20,2021,524,Montana
5/29/21,21,2021,604,Montana
6/5/21,22,2021,459,Montana
6/12/21,23,2021,502,Montana
6/19/21,24,2021,407,Montana
6/26/21,25,2021,361,Montana
7/3/21,26,2021,345,Montana
7/10/21,27,2021,367,Montana
7/17/21,28,2021,424,Montana
7/24/21,29,2021,592,Montana
7/31/21,30,2021,1116,Montana
8/7/21,31,2021,1515,Montana
8/14/21,32,2021,1979,Montana
8/21/21,33,2021,2456,Montana
8/28/21,34,2021,3300,Montana
9/4/21,35,2021,3877,Montana
9/11/21,36,2021,4232,Montana
9/18/21,37,2021,6005,Montana
9/25/21,38,2021,6339,Montana
10/2/21,39,2021,5976,Montana
10/9/21,40,2021,6692,Montana
10/16/21,41,2021,5995,Montana
10/23/21,42,2021,5910,Montana
10/30/21,43,2021,5284,Montana
11/6/21,44,2021,4609,Montana
11/13/21,45,2021,3946,Montana
11/20/21,46,2021,3622,Montana
11/27/21,47,2021,1993,Montana
12/4/21,48,2021,2236,Montana
12/11/21,49,2021,1484,Montana
12/18/21,50,2021,1040,Montana
12/25/21,51,2021,911,Montana
1/1/22,52,2021,1903,Montana
1/8/22,1,2022,5408,Montana
1/8/22,53,2021,680,Montana
1/15/22,2,2022,9400,Montana
1/22/22,3,2022,10124,Montana
1/29/22,4,2022,16843,Montana
2/5/22,5,2022,11159,Montana
2/12/22,6,2022,6487,Montana
2/19/22,7,2022,5016,Montana
2/26/22,8,2022,3859,Montana
3/5/22,9,2022,5177,Montana
3/12/22,10,2022,626,Montana
3/19/22,11,2022,463,Montana
3/26/22,12,2022,294,Montana
4/2/22,13,2022,225,Montana
4/9/22,14,2022,227,Montana
4/16/22,15,2022,263,Montana
4/23/22,16,2022,378,Montana
4/30/22,17,2022,488,Montana
5/7/22,18,2022,614,Montana
5/14/22,19,2022,613,Montana
5/21/22,20,2022,1102,Montana
5/28/22,21,2022,1287,Montana
6/4/22,22,2022,1553,Montana
6/11/22,23,2022,1901,Montana
6/18/22,24,2022,2078,Montana
6/25/22,25,2022,1983,Montana
7/2/22,26,2022,2110,Montana
7/9/22,27,2022,2209,Montana
7/16/22,28,2022,2691,Montana
7/23/22,29,2022,2274,Montana
7/30/22,30,2022,2255,Montana
8/6/22,31,2022,2101,Montana
8/13/22,32,2022,1867,Montana
8/20/22,33,2022,1835,Montana
8/27/22,34,2022,1723,Montana
9/3/22,35,2022,1397,Montana
9/10/22,36,2022,1061,Montana
9/17/22,37,2022,1284,Montana
9/24/22,38,2022,1368,Montana
10/1/22,39,2022,1383,Montana
10/8/22,40,2022,1085,Montana
10/15/22,41,2022,1036,Montana
10/22/22,42,2022,938,Montana
10/29/22,43,2022,774,Montana
11/5/22,44,2022,841,Montana
11/12/22,45,2022,93,Montana
11/19/22,46,2022,1622,Montana
11/26/22,47,2022,946,Montana
12/3/22,48,2022,949,Montana
12/10/22,49,2022,1129,Montana
12/17/22,50,2022,1075,Montana
12/24/22,51,2022,1039,Montana
12/31/22,52,2022,808,Montana
1/7/23,1,2023,885,Montana
1/14/23,2,2023,770,Montana
1/21/23,3,2023,504,Montana
1/28/23,4,2023,522,Montana
2/4/23,5,2023,609,Montana
2/11/23,6,2023,778,Montana
2/18/23,7,2023,692,Montana
2/25/23,8,2023,827,Montana
3/4/23,9,2023,725,Montana
3/11/23,10,2023,600,Montana
3/18/23,11,2023,670,Montana
3/25/23,12,2023,48,Montana
12/30/23,52,2023,0,Montana
